"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/MockingBird/models/synthesizer/utils/_cmudict.py","call function: 47:14-47:42","call in function: _parse_cmudict@42-54","callee=re.sub","basic block: 46:15-49:22"
"path: /home/sixsquare/codeQL/projects/MockingBird/control/mkgui/app.py","call function: 133:31-133:78","call in function: synthesize@100-151","callee=re.sub","basic block: 132:9-133:90"
"path: /home/sixsquare/codeQL/projects/MockingBird/control/toolbox/__init__.py","call function: 253:33-253:80","call in function: synthesize@231-266","callee=re.sub","basic block: 252:13-253:92"
"path: /home/sixsquare/codeQL/projects/MockingBird/models/synthesizer/utils/cleaners.py","call function: 21:20-21:63","call in function: listcomp@21-21","callee=re.compile","basic block: 21:76-21:69"
"path: /home/sixsquare/codeQL/projects/MockingBird/models/synthesizer/utils/cleaners.py","call function: 45:12-45:43","call in function: expand_abbreviations@43-46","callee=re.sub","basic block: 44:7-45:8"
"path: /home/sixsquare/codeQL/projects/MockingBird/models/synthesizer/utils/cleaners.py","call function: 59:10-59:42","call in function: collapse_whitespace@58-59","callee=re.sub","basic block: 58:25-59:42"
"path: /home/sixsquare/codeQL/projects/MockingBird/control/mkgui/base/core.py","call function: 13:12-13:53","call in function: name_to_title@10-16","callee=re.sub","basic block: 10:19-16:49"
"path: /home/sixsquare/codeQL/projects/MockingBird/control/mkgui/base/core.py","call function: 14:12-14:54","call in function: name_to_title@10-16","callee=re.sub","basic block: 10:19-16:49"
"path: /home/sixsquare/codeQL/projects/MockingBird/gen_voice.py","call function: 84:29-84:76","call in function: generate_wav@52-96","callee=re.sub","basic block: 83:9-84:88"
"path: /home/sixsquare/codeQL/projects/MockingBird/models/synthesizer/utils/numbers.py","call function: 62:10-62:55","call in function: normalize_numbers@61-68","callee=re.sub","basic block: 61:23-68:13"
"path: /home/sixsquare/codeQL/projects/MockingBird/models/synthesizer/utils/numbers.py","call function: 63:10-63:47","call in function: normalize_numbers@61-68","callee=re.sub","basic block: 61:23-68:13"
"path: /home/sixsquare/codeQL/projects/MockingBird/models/synthesizer/utils/numbers.py","call function: 64:10-64:51","call in function: normalize_numbers@61-68","callee=re.sub","basic block: 61:23-68:13"
"path: /home/sixsquare/codeQL/projects/MockingBird/models/synthesizer/utils/numbers.py","call function: 65:10-65:64","call in function: normalize_numbers@61-68","callee=re.sub","basic block: 61:23-68:13"
"path: /home/sixsquare/codeQL/projects/MockingBird/models/synthesizer/utils/numbers.py","call function: 66:10-66:51","call in function: normalize_numbers@61-68","callee=re.sub","basic block: 61:23-68:13"
"path: /home/sixsquare/codeQL/projects/MockingBird/models/synthesizer/utils/numbers.py","call function: 67:10-67:49","call in function: normalize_numbers@61-68","callee=re.sub","basic block: 61:23-68:13"
"path: /home/sixsquare/codeQL/projects/MockingBird/control/mkgui/base/ui/streamlit_ui.py","call function: 848:24-848:44","call in function: getOpyrator@847-861","callee=str.startswith","basic block: 848:24-848:44"
"path: /home/sixsquare/codeQL/projects/MockingBird/control/mkgui/base/ui/streamlit_ui.py","call function: 851:24-851:45","call in function: getOpyrator@847-861","callee=str.startswith","basic block: 851:24-851:45"
"path: /home/sixsquare/codeQL/projects/MockingBird/control/mkgui/base/ui/streamlit_ui.py","call function: 854:24-854:46","call in function: getOpyrator@847-861","callee=str.startswith","basic block: 854:24-854:46"
"path: /home/sixsquare/codeQL/projects/MockingBird/control/mkgui/base/ui/streamlit_ui.py","call function: 857:24-857:50","call in function: getOpyrator@847-861","callee=str.startswith","basic block: 857:24-857:50"
