"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/__init__.py","call function: 13:16-15:5","call in function: __init_logger@10-42","callee=os.path.dirname","basic block: 12:12-42:5"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/__init__.py","call function: 14:9-14:68","call in function: __init_logger@10-42","callee=os.path.dirname","basic block: 12:12-42:5"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/__init__.py","call function: 14:25-14:67","call in function: __init_logger@10-42","callee=os.path.dirname","basic block: 12:12-42:5"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/__init__.py","call function: 14:41-14:66","call in function: __init_logger@10-42","callee=os.path.realpath","basic block: 12:12-42:5"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/__init__.py","call function: 21:25-21:60","call in function: __init_logger@10-42","callee=os.path.relpath","basic block: 17:23-33:22"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/__init__.py","call function: 21:25-21:60","call in function: format_record@17-33","callee=os.path.relpath","basic block: 17:23-33:22"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/config.py","call function: 14:8-14:33","call in function: load_config@12-32","callee=os.path.isdir","basic block: 14:8-14:33"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/config.py","call function: 15:9-15:34","call in function: load_config@12-32","callee=shutil.rmtree","basic block: 15:9-15:34"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/config.py","call function: 17:12-17:38","call in function: load_config@12-32","callee=os.path.isfile","basic block: 17:12-17:38"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/config.py","call function: 19:12-19:39","call in function: load_config@12-32","callee=os.path.isfile","basic block: 18:24-19:39"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/config.py","call function: 20:13-20:54","call in function: load_config@12-32","callee=shutil.copyfile","basic block: 20:13-21:66"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/config.py","call function: 29:14-29:62","call in function: load_config@12-32","callee=open","basic block: 27:5-31:20"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/config/config.py","call function: 36:10-36:49","call in function: save_config@35-41","callee=open","basic block: 36:10-41:33"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/webui/Main.py","call function: 113:30-113:46","call in function: get_all_fonts@111-118","callee=os.walk","basic block: 112:13-113:46"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/webui/Main.py","call function: 123:30-123:46","call in function: get_all_songs@121-127","callee=os.walk","basic block: 122:13-123:46"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/webui/Main.py","call function: 133:16-133:66","call in function: open_task_folder@130-140","callee=os.path.join","basic block: 133:39-133:66"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/webui/Main.py","call function: 134:12-134:31","call in function: open_task_folder@130-140","callee=os.path.exists","basic block: 134:27-134:31"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/webui/Main.py","call function: 168:25-168:60","call in function: init_log@160-189","callee=os.path.relpath","basic block: 164:23-182:22"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/webui/Main.py","call function: 168:25-168:60","call in function: format_record@164-182","callee=os.path.relpath","basic block: 164:23-182:22"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/services/material.py","call function: 151:12-151:35","call in function: save_video@147-194","callee=os.path.exists","basic block: 151:12-151:35"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/services/material.py","call function: 152:9-152:29","call in function: save_video@147-194","callee=os.makedirs","basic block: 152:9-152:29"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/services/material.py","call function: 160:8-160:33","call in function: save_video@147-194","callee=os.path.exists","basic block: 154:25-160:33"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/services/material.py","call function: 169:10-169:31","call in function: save_video@147-194","callee=open","basic block: 165:9-180:33"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/services/material.py","call function: 180:8-180:33","call in function: save_video@147-194","callee=os.path.exists","basic block: 165:9-180:33"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/services/material.py","call function: 190:17-190:37","call in function: save_video@147-194","callee=os.remove","basic block: 190:27-190:37"
"path: /home/sixsquare/codeQL/projects/MoneyPrinterTurbo/app/services/material.py","call function: 235:37-235:69","call in function: download_videos@197-261","callee=os.path.isdir","basic block: 235:37-235:69"
