"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/text-frontend/__main__.py","call function: 17:16-17:41","call in function: _random_message_id@16-17","callee=random.randint","basic block: 17:12-17:42"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/text-frontend/auto_main.py","call function: 16:16-16:22","call in function: _random_message_id@15-16","callee=uuid.uuid4","basic block: 16:12-16:23"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/text-frontend/auto_main.py","call function: 114:62-114:97","call in function: main@27-265","callee=random.randint","basic block: 114:34-115:49"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/text-frontend/auto_main.py","call function: 118:47-118:61","call in function: main@27-265","callee=random.random","basic block: 118:67-118:61"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/text-frontend/auto_main.py","call function: 118:47-118:61","call in function: dictcomp@118-118","callee=random.random","basic block: 118:67-118:61"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/text-frontend/auto_main.py","call function: 119:24-119:38","call in function: main@27-265","callee=random.random","basic block: 119:24-119:44"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/text-frontend/auto_main.py","call function: 231:62-231:97","call in function: main@27-265","callee=random.randint","basic block: 231:34-232:49"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/text-frontend/auto_main.py","call function: 235:47-235:61","call in function: main@27-265","callee=random.random","basic block: 235:67-235:61"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/text-frontend/auto_main.py","call function: 235:47-235:61","call in function: dictcomp@235-235","callee=random.random","basic block: 235:67-235:61"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/text-frontend/auto_main.py","call function: 236:24-236:38","call in function: main@27-265","callee=random.random","basic block: 236:24-236:44"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_eval/manual/create_synth_import.py","call function: 59:40-59:46","call in function: main@39-101","callee=uuid.uuid4","basic block: 55:21-68:36"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_eval/manual/create_synth_import.py","call function: 90:28-90:34","call in function: main@39-101","callee=uuid.uuid4","basic block: 89:26-95:25"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/semantics_ws_qna_oa/data_process.py","call function: 16:22-16:41","call in function: create_qna@14-35","callee=random.randint","basic block: 14:20-35:63"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/semantics_ws_qna_oa/data_process.py","call function: 16:22-16:41","call in function: qna_wrapper@13-37","callee=random.randint","basic block: 14:20-35:63"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/scripts/data_augment/data_augment.py","call function: 100:17-100:60","call in function: parse_single@94-132","callee=random.randint","basic block: 94:22-112:40"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/scripts/data_augment/data_augment.py","call function: 101:17-101:60","call in function: parse_single@94-132","callee=random.randint","basic block: 94:22-112:40"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/scripts/data_augment/data_augment.py","call function: 113:16-113:37","call in function: parse_single@94-132","callee=random.randint","basic block: 112:13-113:42"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/scripts/data_augment/data_augment.py","call function: 119:49-119:86","call in function: parse_single@94-132","callee=random.randint","basic block: 119:38-119:34"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/scripts/data_augment/data_augment.py","call function: 127:20-127:48","call in function: parse_single@94-132","callee=random.randint","basic block: 126:13-128:27"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/dialogue_collator.py","call function: 53:12-53:26","call in function: process_one@51-137","callee=random.random","basic block: 51:21-53:59"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/dialogue_collator.py","call function: 119:22-119:70","call in function: process_one@51-137","callee=random.randint","basic block: 119:22-120:43"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/dialogue_collator.py","call function: 154:79-154:93","call in function: __call__@139-209","callee=random.random","basic block: 154:79-154:116"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/backend/oasst_backend/api/deps.py","call function: 74:19-74:31","call in function: create_api_client@63-89","callee=secrets.token_hex","basic block: 74:19-74:15"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/formatting.py","call function: 83:16-83:23","call in function: system_tag@57-98","callee=random.random","basic block: 82:13-83:42"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/TSSB-3M/generate_dataset.py","call function: 51:11-51:55","call in function: gen_instruction@50-52","callee=random.randint","basic block: 51:11-52:33"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/TSSB-3M/generate_dataset.py","call function: 56:11-56:59","call in function: gen_response_prefix@55-57","callee=random.randint","basic block: 56:11-57:37"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/oasst-shared/oasst_shared/schemas/inference.py","call function: 198:12-198:55","call in function: make_seed@197-198","callee=random.randint","basic block: 198:12-198:55"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/oasst-shared/oasst_shared/schemas/inference.py","call function: 291:58-291:69","call in function: lambda@291-291","callee=uuid.uuid4","basic block: 291:54-291:70"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/soda_synthetic_dialogue/prepare.py","call function: 106:20-106:39","call in function: main@77-241","callee=random.randint","basic block: 101:25-106:44"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/soda_synthetic_dialogue/prepare.py","call function: 119:22-119:41","call in function: main@77-241","callee=random.randint","basic block: 119:22-119:46"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/soda_synthetic_dialogue/prepare.py","call function: 134:22-134:41","call in function: main@77-241","callee=random.randint","basic block: 134:22-134:46"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/soda_synthetic_dialogue/prepare.py","call function: 156:24-156:43","call in function: main@77-241","callee=random.randint","basic block: 156:24-156:48"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/soda_synthetic_dialogue/prepare.py","call function: 158:26-158:45","call in function: main@77-241","callee=random.randint","basic block: 158:26-158:50"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/soda_synthetic_dialogue/prepare.py","call function: 170:22-170:41","call in function: main@77-241","callee=random.randint","basic block: 170:22-170:46"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/soda_synthetic_dialogue/prepare.py","call function: 200:24-200:43","call in function: main@77-241","callee=random.randint","basic block: 197:30-200:48"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/soda_synthetic_dialogue/prepare.py","call function: 204:26-204:45","call in function: main@77-241","callee=random.randint","basic block: 204:26-204:50"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/data/datasets/soda_synthetic_dialogue/prepare.py","call function: 211:26-211:45","call in function: main@77-241","callee=random.randint","basic block: 211:26-211:50"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/backend/oasst_backend/prompt_repository.py","call function: 310:26-310:32","call in function: store_text_reply@215-333","callee=uuid.uuid4","basic block: 307:9-315:48"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/qa_datasets.py","call function: 51:62-51:113","call in function: index_trivia_qa_nocontext@49-51","callee=numpy.random.randint","basic block: 49:31-51:114"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/qa_datasets.py","call function: 58:13-58:79","call in function: index_trivia_qa_context@54-64","callee=numpy.random.randint","basic block: 57:19-57:15"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/qa_datasets.py","call function: 62:43-62:94","call in function: index_trivia_qa_context@54-64","callee=numpy.random.randint","basic block: 62:14-64:43"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/oasst-shared/tests/test_oasst_api_client.py","call function: 59:52-59:58","call in function: test_can_ack_task@58-59","callee=uuid.uuid4","basic block: 58:29-59:77"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/oasst-shared/tests/test_oasst_api_client.py","call function: 64:53-64:59","call in function: test_can_nack_task@63-64","callee=uuid.uuid4","basic block: 63:30-64:79"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/translation.py","call function: 100:12-100:26","call in function: __getitem__@99-109","callee=random.random","basic block: 99:21-100:42"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/translation.py","call function: 101:26-101:46","call in function: __getitem__@99-109","callee=random.randint","basic block: 101:26-101:22"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/translation.py","call function: 103:30-103:50","call in function: __getitem__@99-109","callee=random.randint","basic block: 103:30-103:26"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/translation.py","call function: 120:16-120:30","call in function: __init__@113-128","callee=random.random","basic block: 118:13-120:36"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/translation.py","call function: 145:16-145:30","call in function: __init__@134-151","callee=random.random","basic block: 145:16-145:36"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/custom_datasets/translation.py","call function: 163:16-163:30","call in function: __init__@157-171","callee=random.random","basic block: 161:13-163:36"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/inference/server/oasst_inference_server/models/user.py","call function: 11:49-11:55","call in function: lambda@11-11","callee=uuid.uuid4","basic block: 11:45-11:56"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/utils/utils.py","call function: 112:82-112:96","call in function: __iter__@99-127","callee=random.random","basic block: 112:54-112:97"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/model/model_training/utils/utils.py","call function: 112:82-112:96","call in function: lambda@112-112","callee=random.random","basic block: 112:54-112:97"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/backend/oasst_backend/tree_manager.py","call function: 583:33-583:47","call in function: next_task@408-721","callee=random.random","basic block: 583:33-583:97"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/backend/oasst_backend/tree_manager.py","call function: 608:33-608:47","call in function: next_task@408-721","callee=random.random","basic block: 608:33-608:96"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/backend/oasst_backend/tree_manager.py","call function: 650:65-650:79","call in function: next_task@408-721","callee=random.random","basic block: 650:65-650:115"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/backend/oasst_backend/tree_manager.py","call function: 682:20-682:34","call in function: next_task@408-721","callee=random.random","basic block: 674:17-682:75"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/backend/oasst_backend/tree_manager.py","call function: 842:20-842:34","call in function: _enter_state@828-852","callee=random.random","basic block: 842:20-842:69"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/backend/oasst_backend/tree_manager.py","call function: 1512:34-1512:101","call in function: _insert_default_state@1502-1523","callee=random.randint","basic block: 1512:34-1512:30"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/inference/server/oasst_inference_server/models/worker.py","call function: 48:54-48:60","call in function: lambda@48-48","callee=uuid.uuid4","basic block: 48:50-48:61"
"path: /home/sixsquare/codeQL/projects/Open-Assistant/inference/server/oasst_inference_server/worker_utils.py","call function: 21:58-21:69","call in function: lambda@21-21","callee=uuid.uuid4","basic block: 21:54-21:70"
