"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/OpenBB/build/conda/installer/assets/examples/empty_obbject/empty_obbject/__init__.py","call function: 30:9-30:56","call in function: hello@28-30","callee=print","basic block: 29:9-30:56"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/providers/fmp/openbb_fmp/models/analyst_estimates.py","call function: 74:17-74:65","call in function: aextract_data@53-83","callee=warnings.warn","basic block: 74:17-74:65"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/providers/fmp/openbb_fmp/models/analyst_estimates.py","call function: 74:17-74:65","call in function: aextract_data@53-83","callee=warnings.warn","basic block: 74:17-75:21"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/providers/fmp/openbb_fmp/models/analyst_estimates.py","call function: 74:17-74:65","call in function: get_one@65-76","callee=warnings.warn","basic block: 74:17-74:65"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/providers/fmp/openbb_fmp/models/analyst_estimates.py","call function: 74:17-74:65","call in function: get_one@65-76","callee=warnings.warn","basic block: 74:17-75:21"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/extensions/mcp_server/openbb_mcp_server/utils/app_import.py","call function: 75:13-78:13","call in function: import_app@11-91","callee=print","basic block: 75:13-78:13"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/extensions/mcp_server/openbb_mcp_server/utils/app_import.py","call function: 173:13-173:25","call in function: parse_args@160-244","callee=print","basic block: 173:13-174:23"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/extensions/platform_api/openbb_platform_api/utils/api.py","call function: 140:13-142:13","call in function: get_user_settings@95-203","callee=print","basic block: 139:9-142:13"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/extensions/platform_api/openbb_platform_api/utils/api.py","call function: 160:17-162:17","call in function: get_user_settings@95-203","callee=print","basic block: 160:17-163:23"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/extensions/platform_api/openbb_platform_api/utils/api.py","call function: 247:17-247:49","call in function: get_widgets_json@206-273","callee=print","basic block: 246:25-252:55"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/extensions/platform_api/openbb_platform_api/utils/api.py","call function: 262:21-264:21","call in function: get_widgets_json@206-273","callee=print","basic block: 261:17-267:48"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/extensions/platform_api/openbb_platform_api/utils/api.py","call function: 343:13-346:13","call in function: import_app@276-368","callee=print","basic block: 343:13-346:13"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/extensions/platform_api/openbb_platform_api/utils/api.py","call function: 378:13-378:44","call in function: parse_args@371-474","callee=print","basic block: 378:13-379:23"
"path: /home/sixsquare/codeQL/projects/OpenBB/cli/openbb_cli/argparse_translator/argparse_class_processor.py","call function: 76:21-76:48","call in function: _custom_groups_from_reference@75-81","callee=str.replace","basic block: 75:39-77:77"
"path: /home/sixsquare/codeQL/projects/OpenBB/cli/openbb_cli/argparse_translator/argparse_translator.py","call function: 92:28-92:60","call in function: _update_providers@85-93","callee=re.sub","basic block: 86:13-93:71"
"path: /home/sixsquare/codeQL/projects/OpenBB/cli/openbb_cli/argparse_translator/argparse_translator.py","call function: 92:28-92:60","call in function: _handle_argument_in_groups@82-152","callee=re.sub","basic block: 86:13-93:71"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/providers/tmx/openbb_tmx/models/available_indices.py","call function: 95:28-95:56","call in function: transform_data@67-134","callee=re.sub","basic block: 95:28-97:24"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/providers/tmx/openbb_tmx/models/available_indices.py","call function: 97:28-97:61","call in function: transform_data@67-134","callee=re.sub","basic block: 95:28-97:24"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/obbject_extensions/charting/openbb_charting/core/backend.py","call function: 109:9-112:9","call in function: get_plotly_html@100-114","callee=warnings.warn","basic block: 109:9-114:31"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/obbject_extensions/charting/openbb_charting/core/backend.py","call function: 124:9-127:9","call in function: get_table_html@116-129","callee=warnings.warn","basic block: 124:9-129:31"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/obbject_extensions/charting/openbb_charting/core/backend.py","call function: 185:33-187:9","call in function: send_figure@153-210","callee=re.sub","basic block: 186:29-190:67"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/obbject_extensions/charting/openbb_charting/core/backend.py","call function: 261:21-261:49","call in function: send_table@232-299","callee=re.sub","basic block: 261:21-262:17"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/obbject_extensions/charting/openbb_charting/core/backend.py","call function: 262:21-262:55","call in function: send_table@232-299","callee=re.sub","basic block: 261:21-262:17"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/obbject_extensions/charting/openbb_charting/core/backend.py","call function: 294:23-294:43","call in function: send_table@232-299","callee=json.dumps","basic block: 288:19-299:36"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/obbject_extensions/charting/openbb_charting/core/backend.py","call function: 368:24-368:45","call in function: check_backend@348-382","callee=warnings.warn","basic block: 366:13-368:45"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/obbject_extensions/charting/openbb_charting/core/backend.py","call function: 374:20-374:41","call in function: check_backend@348-382","callee=warnings.warn","basic block: 373:32-374:41"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/obbject_extensions/charting/openbb_charting/core/backend.py","call function: 418:9-418:60","call in function: download_plotly_js@392-418","callee=warnings.warn","basic block: 417:5-418:60"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/providers/yfinance/openbb_yfinance/models/balance_sheet.py","call function: 113:27-113:42","call in function: extract_data@77-115","callee=json.dumps","basic block: 109:49-115:19"
"path: /home/sixsquare/codeQL/projects/OpenBB/openbb_platform/providers/intrinio/openbb_intrinio/models/balance_sheet.py","call function: 443:17-443:78","call in function: aextract_data@426-471","callee=warnings.warn","basic block: 443:17-444:33"
