"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/solvability/prompts/__init__.py","call function: 8:11-8:83","call in function: load_prompt@6-10","callee=jinja2.Environment","basic block: 6:17-10:36"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/solvability/prompts/__init__.py","call function: 9:16-9:47","call in function: load_prompt@6-10","callee=jinja2.Environment.get_template","basic block: 6:17-10:36"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/tests/unit/integrations/jira_dc/conftest.py","call function: 171:12-171:52","call in function: mock_jinja_env@164-171","callee=jinja2.Environment","basic block: 165:5-171:52"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/tests/unit/integrations/jira/conftest.py","call function: 168:12-168:52","call in function: mock_jinja_env@161-168","callee=jinja2.Environment","basic block: 162:5-168:52"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/tests/unit/integrations/linear/conftest.py","call function: 147:12-147:52","call in function: mock_jinja_env@140-147","callee=jinja2.Environment","basic block: 141:5-147:52"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 41:20-44:13","call in function: create_app@16-73","callee=fastapi.responses.HTMLResponse","basic block: 41:20-44:13"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 41:20-44:13","call in function: view_file@28-71","callee=fastapi.responses.HTMLResponse","basic block: 41:20-44:13"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 47:20-50:13","call in function: create_app@16-73","callee=fastapi.responses.HTMLResponse","basic block: 47:20-50:13"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 47:20-50:13","call in function: view_file@28-71","callee=fastapi.responses.HTMLResponse","basic block: 47:20-50:13"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 53:20-55:13","call in function: create_app@16-73","callee=fastapi.responses.HTMLResponse","basic block: 53:20-55:13"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 53:20-55:13","call in function: view_file@28-71","callee=fastapi.responses.HTMLResponse","basic block: 53:20-55:13"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 58:20-61:13","call in function: create_app@16-73","callee=fastapi.responses.HTMLResponse","basic block: 58:20-61:13"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 58:20-61:13","call in function: view_file@28-71","callee=fastapi.responses.HTMLResponse","basic block: 58:20-61:13"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 65:20-65:53","call in function: create_app@16-73","callee=fastapi.responses.HTMLResponse","basic block: 65:41-65:53"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 65:20-65:53","call in function: view_file@28-71","callee=fastapi.responses.HTMLResponse","basic block: 65:41-65:53"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 68:20-71:13","call in function: create_app@16-73","callee=fastapi.responses.HTMLResponse","basic block: 67:9-71:13"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/runtime/file_viewer_server.py","call function: 68:20-71:13","call in function: view_file@28-71","callee=fastapi.responses.HTMLResponse","basic block: 67:9-71:13"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/github/github_manager.py","call function: 48:26-50:9","call in function: __init__@39-50","callee=jinja2.Environment","basic block: 40:9-48:22"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/github/github_view.py","call function: 117:38-117:78","call in function: _get_instructions@116-133","callee=jinja2.Environment.get_template","basic block: 116:33-133:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/github/github_view.py","call function: 125:46-127:9","call in function: _get_instructions@116-133","callee=jinja2.Environment.get_template","basic block: 116:33-133:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/github/github_view.py","call function: 187:38-187:78","call in function: _get_instructions@186-206","callee=jinja2.Environment.get_template","basic block: 186:33-206:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/github/github_view.py","call function: 195:46-197:9","call in function: _get_instructions@186-206","callee=jinja2.Environment.get_template","basic block: 186:33-206:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/github/github_view.py","call function: 214:38-214:82","call in function: _get_instructions@213-232","callee=jinja2.Environment.get_template","basic block: 213:33-232:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/github/github_view.py","call function: 221:46-223:9","call in function: _get_instructions@213-232","callee=jinja2.Environment.get_template","basic block: 213:33-232:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/github/github_view.py","call function: 272:38-272:82","call in function: _get_instructions@271-293","callee=jinja2.Environment.get_template","basic block: 271:33-293:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/github/github_view.py","call function: 279:46-281:9","call in function: _get_instructions@271-293","callee=jinja2.Environment.get_template","basic block: 271:33-293:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/gitlab/gitlab_manager.py","call function: 35:26-37:9","call in function: __init__@32-37","callee=jinja2.Environment","basic block: 32:18-35:22"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/gitlab/gitlab_view.py","call function: 125:46-127:9","call in function: _get_instructions@117-136","callee=jinja2.Environment.get_template","basic block: 117:33-136:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/gitlab/gitlab_view.py","call function: 61:38-61:78","call in function: _get_instructions@60-77","callee=jinja2.Environment.get_template","basic block: 60:33-77:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/gitlab/gitlab_view.py","call function: 68:46-70:9","call in function: _get_instructions@60-77","callee=jinja2.Environment.get_template","basic block: 60:33-77:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/gitlab/gitlab_view.py","call function: 118:38-118:78","call in function: _get_instructions@117-136","callee=jinja2.Environment.get_template","basic block: 117:33-136:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/gitlab/gitlab_view.py","call function: 144:38-144:82","call in function: _get_instructions@143-162","callee=jinja2.Environment.get_template","basic block: 143:33-162:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/gitlab/gitlab_view.py","call function: 151:46-153:9","call in function: _get_instructions@143-162","callee=jinja2.Environment.get_template","basic block: 143:33-162:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/gitlab/gitlab_view.py","call function: 210:38-210:82","call in function: _get_instructions@209-231","callee=jinja2.Environment.get_template","basic block: 209:33-231:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/enterprise/integrations/gitlab/gitlab_view.py","call function: 217:46-219:9","call in function: _get_instructions@209-231","callee=jinja2.Environment.get_template","basic block: 209:33-231:59"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/resolver/interfaces/issue_definitions.py","call function: 160:28-165:9","call in function: get_instruction@115-171","callee=jinja2.Template.render","basic block: 160:28-171:66"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/resolver/interfaces/issue_definitions.py","call function: 167:37-169:9","call in function: get_instruction@115-171","callee=jinja2.Template.render","basic block: 160:28-171:66"
"path: /home/sixsquare/codeQL/projects/OpenHands/openhands/resolver/interfaces/issue_definitions.py","call function: 203:18-209:9","call in function: _check_review_thread@184-211","callee=jinja2.Template.render","basic block: 208:13-211:52"
