"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/OpenManus/protocol/a2a/app/agent_executor.py","call function: 42:13-42:48","call in function: execute@29-64","callee=print","basic block: 42:13-42:48"
"path: /home/sixsquare/codeQL/projects/OpenManus/protocol/a2a/app/agent_executor.py","call function: 44:13-44:48","call in function: execute@29-64","callee=print","basic block: 43:9-45:84"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/tool/base.py","call function: 159:20-159:45","call in function: success_response@147-161","callee=json.dumps","basic block: 159:20-159:16"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/agent/base.py","call function: 140:17-140:83","call in function: run@116-154","callee=loguru.logger.info","basic block: 139:17-144:34"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/agent/base.py","call function: 168:9-168:83","call in function: handle_stuck_state@163-168","callee=loguru.logger.warning","basic block: 163:28-168:83"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/agent/browser.py","call function: 31:13-31:88","call in function: get_browser_state@24-45","callee=loguru.logger.warning","basic block: 31:13-32:23"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/agent/browser.py","call function: 36:17-36:68","call in function: get_browser_state@24-45","callee=loguru.logger.debug","basic block: 36:17-36:68"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/agent/browser.py","call function: 44:13-44:66","call in function: get_browser_state@24-45","callee=loguru.logger.debug","basic block: 43:9-45:23"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/bedrock.py","call function: 45:13-45:60","call in function: __init__@39-46","callee=print","basic block: 44:9-46:23"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/bedrock.py","call function: 156:42-156:78","call in function: _convert_bedrock_response_to_openai_format@134-193","callee=json.dumps","basic block: 148:40-159:62"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/bedrock.py","call function: 263:21-265:21","call in function: _invoke_bedrock_stream@220-298","callee=print","basic block: 262:21-265:21"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/bedrock.py","call function: 285:21-289:21","call in function: _invoke_bedrock_stream@220-298","callee=print","basic block: 282:21-289:21"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/bedrock.py","call function: 294:9-294:15","call in function: _invoke_bedrock_stream@220-298","callee=print","basic block: 294:9-298:30"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/tool/chart_visualization/test/chart_demo.py","call function: 182:9-182:58","call in function: main@180-187","callee=loguru.logger.info","basic block: 181:9-187:52"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/tool/chart_visualization/test/chart_demo.py","call function: 187:9-187:52","call in function: main@180-187","callee=loguru.logger.info","basic block: 181:9-187:52"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/tool/search/bing_search.py","call function: 133:13-133:54","call in function: _parse_html@77-134","callee=loguru.logger.warning","basic block: 132:9-134:27"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/tool/browser_use_tool.py","call function: 535:24-535:75","call in function: get_current_state@479-539","callee=json.dumps","basic block: 535:35-535:75"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/tool/crawl4ai.py","call function: 96:17-96:61","call in function: execute@65-258","callee=loguru.logger.warning","basic block: 96:17-96:61"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/tool/crawl4ai.py","call function: 139:25-139:62","call in function: execute@65-258","callee=loguru.logger.info","basic block: 139:25-139:62"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/tool/crawl4ai.py","call function: 184:29-186:29","call in function: execute@65-258","callee=loguru.logger.info","basic block: 184:29-186:29"
"path: /home/sixsquare/codeQL/projects/OpenManus/app/tool/crawl4ai.py","call function: 200:29-200:70","call in function: execute@65-258","callee=loguru.logger.warning","basic block: 200:29-200:70"
