"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 37:21-37:45","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 23:17-46:43"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 37:48-37:72","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 23:17-46:43"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 38:29-38:53","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 23:17-46:43"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 38:56-38:80","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 23:17-46:43"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 40:18-40:42","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 23:17-46:43"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 40:53-40:77","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 23:17-46:43"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 42:21-42:45","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 23:17-46:43"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 42:56-42:80","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 23:17-46:43"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 51:33-51:57","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 46:9-60:9"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 52:17-52:41","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 46:9-60:9"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 57:33-57:57","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 46:9-60:9"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 58:25-58:49","call in function: tia_distort@23-65","callee=numpy.random.randint","basic block: 46:9-60:9"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 90:16-90:40","call in function: tia_stretch@68-99","callee=numpy.random.randint","basic block: 89:9-94:53"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 115:24-115:48","call in function: tia_perspective@102-123","callee=numpy.random.randint","basic block: 102:21-123:14"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 116:28-116:52","call in function: tia_perspective@102-123","callee=numpy.random.randint","basic block: 102:21-123:14"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 117:36-117:60","call in function: tia_perspective@102-123","callee=numpy.random.randint","basic block: 102:21-123:14"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/text_image_aug/augment.py","call function: 118:32-118:56","call in function: tia_perspective@102-123","callee=numpy.random.randint","basic block: 102:21-123:14"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/benchmark/PaddleOCR_DBNet/base/base_dataset.py","call function: 83:37-83:69","call in function: __getitem__@61-83","callee=numpy.random.randint","basic block: 82:9-83:70"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/abinet_aug.py","call function: 42:32-42:65","call in function: get_interpolation@39-55","callee=random.randint","basic block: 41:19-42:21"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/abinet_aug.py","call function: 381:18-381:32","call in function: __init__@371-389","callee=random.random","basic block: 372:9-382:24"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/abinet_aug.py","call function: 392:12-392:26","call in function: __call__@391-395","callee=random.random","basic block: 391:18-392:35"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/abinet_aug.py","call function: 414:12-414:26","call in function: __call__@413-417","callee=random.random","basic block: 413:18-414:35"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/abinet_aug.py","call function: 428:12-428:26","call in function: __call__@427-431","callee=random.random","basic block: 427:18-428:35"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/abinet_aug.py","call function: 447:12-447:26","call in function: __call__@446-452","callee=random.random","basic block: 446:18-447:35"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/abinet_aug.py","call function: 472:12-472:26","call in function: __call__@471-477","callee=random.random","basic block: 471:18-472:35"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/abinet_aug.py","call function: 503:12-503:26","call in function: __call__@502-512","callee=random.random","basic block: 502:18-503:35"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/abinet_aug.py","call function: 506:56-506:75","call in function: __call__@502-512","callee=random.randint","basic block: 505:17-507:19"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/ppocr/data/imaug/abinet_aug.py","call function: 509:39-509:58","call in function: __call__@502-512","callee=random.randint","basic block: 509:23-509:19"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/benchmark/PaddleOCR_DBNet/data_loader/modules/augment.py","call function: 24:12-24:26","call in function: __call__@18-29","callee=random.random","basic block: 18:18-24:45"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/benchmark/PaddleOCR_DBNet/data_loader/modules/augment.py","call function: 48:12-48:26","call in function: __call__@42-60","callee=random.random","basic block: 42:18-48:45"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/benchmark/PaddleOCR_DBNet/data_loader/modules/augment.py","call function: 95:12-95:26","call in function: __call__@89-141","callee=random.random","basic block: 89:18-95:45"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/benchmark/PaddleOCR_DBNet/data_loader/modules/augment.py","call function: 178:12-178:26","call in function: __call__@172-201","callee=random.random","basic block: 172:18-178:45"
"path: /home/sixsquare/codeQL/projects/PaddleOCR/benchmark/PaddleOCR_DBNet/data_loader/modules/augment.py","call function: 268:12-268:26","call in function: __call__@262-280","callee=random.random","basic block: 262:18-268:45"
