"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 67:9-67:38","call in function: exploit@64-142","callee=print","basic block: 67:9-68:36"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 68:9-68:36","call in function: exploit@64-142","callee=print","basic block: 67:9-68:36"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 140:9-140:43","call in function: exploit@64-142","callee=print","basic block: 139:5-141:14"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 147:5-147:34","call in function: check@145-272","callee=print","basic block: 145:11-150:33"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 152:9-152:55","call in function: check@145-272","callee=print","basic block: 151:18-153:22"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 284:13-284:25","call in function: main@275-318","callee=print","basic block: 284:13-284:25"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 287:13-287:38","call in function: main@275-318","callee=print","basic block: 286:13-288:99"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 288:13-288:99","call in function: main@275-318","callee=print","basic block: 286:13-288:99"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 301:13-301:68","call in function: main@275-318","callee=print","basic block: 300:9-303:19"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 302:13-302:41","call in function: main@275-318","callee=print","basic block: 300:9-303:19"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 312:17-312:29","call in function: main@275-318","callee=print","basic block: 312:17-312:29"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 315:17-315:42","call in function: main@275-318","callee=print","basic block: 314:17-316:103"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 316:17-316:103","call in function: main@275-318","callee=print","basic block: 314:17-316:103"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2017-9805.py","call function: 318:5-318:22","call in function: main@275-318","callee=print","basic block: 318:5-318:22"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2018-11776.py","call function: 147:5-147:44","call in function: check@142-167","callee=print","basic block: 142:11-152:43"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2018-11776.py","call function: 148:5-148:32","call in function: check@142-167","callee=print","basic block: 142:11-152:43"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2018-11776.py","call function: 149:5-149:66","call in function: check@142-167","callee=print","basic block: 142:11-152:43"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2018-11776.py","call function: 154:9-154:68","call in function: check@142-167","callee=print","basic block: 152:9-158:27"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2018-11776.py","call function: 160:13-160:47","call in function: check@142-167","callee=print","basic block: 159:9-161:20"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2018-11776.py","call function: 164:17-164:48","call in function: check@142-167","callee=print","basic block: 164:17-165:39"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2018-11776.py","call function: 166:5-166:38","call in function: check@142-167","callee=print","basic block: 166:5-167:16"
"path: /home/sixsquare/codeQL/projects/PayloadsAllTheThings/CVE Exploits/Apache Struts 2 CVE-2018-11776.py","call function: 175:9-175:46","call in function: exploit@170-192","callee=print","basic block: 175:9-176:17"
