"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/Python/ciphers/a1z26.py","call function: 29:22-29:33","call in function: main@28-31","callee=input","basic block: 29:15-31:38"
"path: /home/sixsquare/codeQL/projects/Python/ciphers/affine_cipher.py","call function: 92:15-92:38","call in function: main@85-102","callee=input","basic block: 86:5-96:27"
"path: /home/sixsquare/codeQL/projects/Python/ciphers/affine_cipher.py","call function: 93:15-93:48","call in function: main@85-102","callee=input","basic block: 86:5-96:27"
"path: /home/sixsquare/codeQL/projects/Python/ciphers/affine_cipher.py","call function: 94:12-94:43","call in function: main@85-102","callee=input","basic block: 86:5-96:27"
"path: /home/sixsquare/codeQL/projects/Python/maths/special_numbers/armstrong_numbers.py","call function: 89:15-89:77","call in function: main@85-92","callee=input","basic block: 86:5-90:49"
"path: /home/sixsquare/codeQL/projects/Python/graphs/basic_graphs.py","call function: 5:12-5:25","call in function: _input@4-5","callee=input","basic block: 4:12-5:44"
"path: /home/sixsquare/codeQL/projects/Python/graphs/basic_graphs.py","call function: 239:13-239:19","call in function: adjm@219-243","callee=input","basic block: 220:5-241:21"
"path: /home/sixsquare/codeQL/projects/Python/graphs/basic_graphs.py","call function: 242:33-242:39","call in function: adjm@219-243","callee=input","basic block: 241:9-242:58"
"path: /home/sixsquare/codeQL/projects/Python/graphs/basic_graphs.py","call function: 333:27-333:33","call in function: edglist@313-337","callee=input","basic block: 314:5-335:21"
"path: /home/sixsquare/codeQL/projects/Python/graphs/basic_graphs.py","call function: 336:37-336:43","call in function: edglist@313-337","callee=input","basic block: 335:9-336:57"
"path: /home/sixsquare/codeQL/projects/Python/searches/binary_tree_traversal.py","call function: 19:13-19:55","call in function: build_tree@17-39","callee=input","basic block: 18:5-22:20"
"path: /home/sixsquare/codeQL/projects/Python/searches/binary_tree_traversal.py","call function: 26:17-26:26","call in function: build_tree@17-39","callee=input","basic block: 24:22-26:42"
"path: /home/sixsquare/codeQL/projects/Python/searches/binary_tree_traversal.py","call function: 33:17-33:26","call in function: build_tree@17-39","callee=input","basic block: 29:21-33:42"
"path: /home/sixsquare/codeQL/projects/Python/ciphers/brute_force_caesar_cipher.py","call function: 49:15-49:42","call in function: main@48-51","callee=input","basic block: 49:15-51:20"
"path: /home/sixsquare/codeQL/projects/Python/maths/collatz_sequence.py","call function: 60:13-60:34","call in function: main@59-63","callee=input","basic block: 60:9-63:67"
"path: /home/sixsquare/codeQL/projects/Python/web_programming/download_images_from_google_query.py","call function: 59:32-59:66","call in function: download_images_from_google_query@24-102","callee=json.loads","basic block: 24:39-65:36"
"path: /home/sixsquare/codeQL/projects/Python/dynamic_programming/fibonacci.py","call function: 37:23-37:34","call in function: main@27-47","callee=input","basic block: 36:5-38:37"
"path: /home/sixsquare/codeQL/projects/Python/maths/greatest_common_divisor.py","call function: 64:16-64:67","call in function: main@59-73","callee=input","basic block: 60:5-64:67"
"path: /home/sixsquare/codeQL/projects/Python/other/guess_the_number_search.py","call function: 158:17-158:45","call in function: main@154-161","callee=input","basic block: 155:5-161:42"
"path: /home/sixsquare/codeQL/projects/Python/other/guess_the_number_search.py","call function: 159:18-159:45","call in function: main@154-161","callee=input","basic block: 155:5-161:42"
"path: /home/sixsquare/codeQL/projects/Python/other/guess_the_number_search.py","call function: 160:17-160:48","call in function: main@154-161","callee=input","basic block: 155:5-161:42"
"path: /home/sixsquare/codeQL/projects/Python/ciphers/hill_cipher.py","call function: 194:13-194:60","call in function: main@193-213","callee=input","basic block: 194:9-198:21"
"path: /home/sixsquare/codeQL/projects/Python/ciphers/hill_cipher.py","call function: 199:32-199:38","call in function: main@193-213","callee=input","basic block: 198:9-200:31"
"path: /home/sixsquare/codeQL/projects/Python/ciphers/hill_cipher.py","call function: 205:14-205:48","call in function: main@193-213","callee=input","basic block: 202:10-206:20"
"path: /home/sixsquare/codeQL/projects/Python/ciphers/hill_cipher.py","call function: 207:18-207:64","call in function: main@193-213","callee=input","basic block: 207:18-209:33"
"path: /home/sixsquare/codeQL/projects/Python/ciphers/hill_cipher.py","call function: 211:18-211:64","call in function: main@193-213","callee=input","basic block: 211:18-213:33"
"path: /home/sixsquare/codeQL/projects/Python/web_programming/instagram_crawler.py","call function: 28:12-28:56","call in function: extract_user_profile@23-29","callee=json.loads","basic block: 23:26-29:66"
"path: /home/sixsquare/codeQL/projects/Python/machine_learning/linear_discriminant_analysis.py","call function: 274:37-274:52","call in function: valid_input@255-283","callee=input","basic block: 272:5-274:52"
"path: /home/sixsquare/codeQL/projects/Python/machine_learning/linear_discriminant_analysis.py","call function: 400:12-400:62","call in function: main@287-403","callee=input","basic block: 383:9-400:85"
"path: /home/sixsquare/codeQL/projects/Python/matrix/matrix_based_game.py","call function: 276:19-276:41","call in function: listcomp@276-276","callee=input","basic block: 276:47-276:41"
"path: /home/sixsquare/codeQL/projects/Python/other/nested_brackets.py","call function: 65:9-65:45","call in function: main@64-66","callee=input","basic block: 65:9-66:42"
"path: /home/sixsquare/codeQL/projects/Python/maths/numerical_analysis/newton_forward_interpolation.py","call function: 24:13-24:50","call in function: main@23-53","callee=input","basic block: 24:9-26:21"
