"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/synthesizer/utils/_cmudict.py","call function: 20:12-20:49","call in function: __init__@18-26","callee=open","basic block: 20:12-21:15"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/toolbox/__init__.py","call function: 143:24-143:60","call in function: load_from_browser@137-160","callee=pathlib.Path.relative_to","basic block: 139:21-147:53"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/vocoder/models/fatchord_version.py","call function: 412:14-412:28","call in function: log@411-413","callee=open","basic block: 411:13-413:30"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/encoder/data_objects/speaker_verification_dataset.py","call function: 13:36-13:54","call in function: __init__@11-18","callee=pathlib.Path.glob","basic block: 11:18-14:33"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/encoder/preprocess.py","call function: 21:26-21:85","call in function: __init__@20-27","callee=open","basic block: 20:18-27:26"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/encoder/preprocess.py","call function: 68:29-68:66","call in function: _preprocess_speaker@66-115","callee=pathlib.Path.relative_to","basic block: 66:25-78:29"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/encoder/preprocess.py","call function: 91:25-91:63","call in function: _preprocess_speaker@66-115","callee=pathlib.Path.glob","basic block: 90:9-91:63"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/synthesizer/synthesizer_dataset.py","call function: 12:14-12:37","call in function: __init__@9-24","callee=pathlib.Path.open","basic block: 9:18-24:60"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/vocoder/vocoder_dataset.py","call function: 13:14-13:37","call in function: __init__@10-22","callee=pathlib.Path.open","basic block: 10:18-22:60"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/synthesizer/models/tacotron.py","call function: 490:14-490:28","call in function: log@489-491","callee=open","basic block: 489:13-491:30"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/synthesizer/train.py","call function: 29:5-29:35","call in function: train@27-234","callee=pathlib.Path.mkdir","basic block: 27:11-54:32"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/synthesizer/train.py","call function: 92:14-92:62","call in function: train@27-234","callee=open","basic block: 87:9-93:33"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/toolbox/ui.py","call function: 314:35-314:83","call in function: populate_browser@271-316","callee=pathlib.Path.glob","basic block: 313:17-314:84"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/toolbox/ui.py","call function: 336:31-336:61","call in function: populate_models@334-350","callee=pathlib.Path.glob","basic block: 334:25-337:35"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/toolbox/ui.py","call function: 342:35-342:69","call in function: populate_models@334-350","callee=pathlib.Path.glob","basic block: 339:9-343:39"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/toolbox/ui.py","call function: 348:31-348:61","call in function: populate_models@334-350","callee=pathlib.Path.glob","basic block: 345:9-350:60"
