"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/vocoder/inference.py","call function: 36:18-36:51","call in function: load_model@8-38","callee=torch.load","basic block: 34:8-38:17"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/synthesizer/hparams.py","call function: 18:36-18:74","call in function: parse@10-19","callee=ast.literal_eval","basic block: 17:17-18:32"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/encoder/inference.py","call function: 32:18-32:51","call in function: load_model@14-35","callee=torch.load","basic block: 31:14-35:96"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/vocoder/models/fatchord_version.py","call function: 416:22-416:37","call in function: load@415-422","callee=torch.load","basic block: 415:14-417:42"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/synthesizer/preprocess.py","call function: 235:11-235:28","call in function: embed_utterance@229-238","callee=numpy.load","basic block: 234:30-238:51"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/encoder/data_objects/utterance.py","call function: 10:16-10:41","call in function: get_frames@9-10","callee=numpy.load","basic block: 9:20-10:41"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/synthesizer/synthesizer_dataset.py","call function: 33:15-33:31","call in function: __getitem__@26-44","callee=numpy.load","basic block: 32:32-44:76"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/synthesizer/synthesizer_dataset.py","call function: 36:17-36:35","call in function: __getitem__@26-44","callee=numpy.load","basic block: 32:32-44:76"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/vocoder/vocoder_dataset.py","call function: 28:15-28:31","call in function: __getitem__@24-52","callee=numpy.load","basic block: 24:21-32:31"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/vocoder/vocoder_dataset.py","call function: 31:15-31:31","call in function: __getitem__@24-52","callee=numpy.load","basic block: 24:21-32:31"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/synthesizer/models/tacotron.py","call function: 496:22-496:63","call in function: load@493-500","callee=torch.load","basic block: 493:14-499:42"
"path: /home/sixsquare/codeQL/projects/Real-Time-Voice-Cloning/encoder/train.py","call function: 51:26-51:48","call in function: train@18-125","callee=torch.load","basic block: 50:13-55:43"
