"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/__init__.py","call function: 153:10-153:51","call in function: load_attention_mask_meta_data@151-160","callee=open","basic block: 151:35-157:21"
"path: /home/sixsquare/codeQL/projects/TTS/notebooks/dataset_analysis/analyze.py","call function: 46:10-46:42","call in function: process_meta_data@42-67","callee=open","basic block: 42:23-48:23"
"path: /home/sixsquare/codeQL/projects/TTS/notebooks/dataset_analysis/analyze.py","call function: 95:10-95:48","call in function: save_training@87-97","callee=open","basic block: 94:5-96:23"
"path: /home/sixsquare/codeQL/projects/TTS/notebooks/dataset_analysis/analyze.py","call function: 159:10-159:48","call in function: plot_phonemes@154-186","callee=open","basic block: 154:19-162:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/api.py","call function: 413:14-413:69","call in function: tts_with_vc@381-421","callee=tempfile.NamedTemporaryFile","basic block: 382:9-418:39"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/utils/text/cmudict.py","call function: 98:18-98:55","call in function: __init__@96-104","callee=open","basic block: 98:18-99:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/utils/download.py","call function: 95:14-95:33","call in function: download_url@56-106","callee=open","basic block: 95:14-96:61"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/utils/download.py","call function: 100:10-100:29","call in function: download_url@56-106","callee=open","basic block: 100:10-101:86"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/utils/download.py","call function: 104:10-104:29","call in function: download_url@56-106","callee=open","basic block: 104:10-105:21"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/utils/download.py","call function: 104:10-104:29","call in function: download_url@56-106","callee=open","basic block: 104:10-105:76"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/bin/extract_tts_spectrograms.py","call function: 219:10-219:76","call in function: extract_spectrograms@162-221","callee=open","basic block: 219:10-220:35"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 21:10-21:45","call in function: cml_tts@16-52","callee=open","basic block: 16:13-24:41"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 59:10-59:45","call in function: coqui@55-90","callee=open","basic block: 55:11-62:41"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 100:10-100:46","call in function: tweb@93-106","callee=open","basic block: 93:10-101:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 114:10-114:46","call in function: mozilla@109-121","callee=open","basic block: 109:13-115:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 129:10-129:51","call in function: mozilla_de@124-137","callee=open","basic block: 124:16-130:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 173:14-173:50","call in function: mailabs@140-188","callee=open","basic block: 172:9-174:27"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 197:10-197:46","call in function: ljspeech@191-203","callee=open","basic block: 191:14-198:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 211:10-211:46","call in function: ljspeech_test@206-223","callee=open","basic block: 206:19-213:39"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 232:10-232:46","call in function: thorsten@226-238","callee=open","basic block: 226:14-233:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 264:10-264:46","call in function: ruslan@258-270","callee=open","basic block: 258:12-265:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 278:10-278:46","call in function: css10@273-284","callee=open","basic block: 273:11-279:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 292:10-292:46","call in function: nancy@287-298","callee=open","basic block: 287:11-293:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 305:10-305:46","call in function: common_voice@301-320","callee=open","basic block: 301:18-306:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 334:14-334:51","call in function: libri_tts@323-356","callee=open","basic block: 332:9-335:27"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 364:10-364:46","call in function: custom_turkish@359-374","callee=open","basic block: 359:20-365:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 382:10-382:46","call in function: brspeech@378-395","callee=open","basic block: 378:14-383:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 429:14-429:51","call in function: vctk@398-442","callee=open","basic block: 429:14-432:31"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 456:14-456:51","call in function: vctk_old@445-462","callee=open","basic block: 456:14-461:9"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 478:18-478:54","call in function: synpaflex@465-481","callee=open","basic block: 478:18-480:118"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 496:14-496:51","call in function: open_bible@484-503","callee=open","basic block: 496:14-499:34"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 509:10-509:73","call in function: mls@506-522","callee=open","basic block: 506:9-510:24"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 549:14-549:56","call in function: _voxcel_x@540-572","callee=open","basic block: 549:14-550:64"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 566:14-566:55","call in function: _voxcel_x@540-572","callee=open","basic block: 566:14-568:31"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 571:10-571:51","call in function: _voxcel_x@540-572","callee=open","basic block: 571:10-572:60"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 579:10-579:46","call in function: emotion@575-594","callee=open","basic block: 575:13-580:23"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 609:10-609:46","call in function: baker@597-614","callee=open","basic block: 597:11-610:23"
