"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/vc/modules/freevc/wavlm/__init__.py","call function: 26:18-26:75","call in function: get_wavlm@12-31","callee=torch.load","basic block: 26:18-31:16"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/config/__init__.py","call function: 21:12-21:32","call in function: read_json_with_comments@14-21","callee=json.loads","basic block: 14:29-21:32"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/config/__init__.py","call function: 85:20-85:36","call in function: load_config@68-100","callee=yaml.safe_load","basic block: 84:14-85:16"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/config/__init__.py","call function: 89:24-89:35","call in function: load_config@68-100","callee=json.load","basic block: 89:34-89:35"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/layers/tortoise/audio_utils.py","call function: 124:22-124:41","call in function: load_voice@117-130","callee=torch.load","basic block: 124:16-124:41"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/layers/tortoise/arch_utils.py","call function: 336:34-336:46","call in function: __init__@300-338","callee=torch.load","basic block: 335:18-336:30"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/dataset.py","call function: 247:16-247:33","call in function: get_attn_mask@246-247","callee=numpy.load","basic block: 246:23-247:33"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/dataset.py","call function: 628:19-628:37","call in function: compute_or_load@620-632","callee=numpy.load","basic block: 628:27-628:37"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/dataset.py","call function: 778:17-778:54","call in function: load_stats@776-780","callee=numpy.load","basic block: 776:20-780:16"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/dataset.py","call function: 804:21-804:39","call in function: compute_or_load@796-805","callee=numpy.load","basic block: 804:21-804:17"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/dataset.py","call function: 930:17-930:54","call in function: load_stats@928-932","callee=numpy.load","basic block: 928:20-932:16"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/dataset.py","call function: 956:22-956:41","call in function: compute_or_load@948-957","callee=numpy.load","basic block: 956:22-956:18"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/layers/xtts/dvae.py","call function: 46:21-46:67","call in function: dvae_wav_to_mel@27-48","callee=torch.load","basic block: 46:21-46:17"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/utils/fairseq.py","call function: 5:11-5:71","call in function: rehash_fairseq_vits_checkpoint@4-48","callee=torch.load","basic block: 4:36-7:27"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/models/delightful_tts.py","call function: 366:21-366:39","call in function: compute_or_load@358-367","callee=numpy.load","basic block: 366:21-366:17"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/models/delightful_tts.py","call function: 443:20-443:43","call in function: load_or_compute_attn_prior@438-449","callee=numpy.load","basic block: 443:20-443:43"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 28:16-28:71","call in function: cml_tts@16-52","callee=pandas.read_csv","basic block: 28:16-29:77"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 66:16-66:71","call in function: coqui@55-90","callee=pandas.read_csv","basic block: 66:16-67:69"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/datasets/formatters.py","call function: 245:16-245:33","call in function: sam_accenture@241-255","callee=xml.etree.ElementTree.parse","basic block: 241:19-248:44"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/vocoder/datasets/gan_dataset.py","call function: 128:23-128:40","call in function: load_item@107-152","callee=numpy.load","basic block: 127:25-129:26"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/layers/xtts/hifigan_decoder.py","call function: 330:17-330:77","call in function: load_checkpoint@327-335","callee=torch.load","basic block: 328:9-332:15"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/layers/xtts/trainer/gpt_trainer.py","call function: 92:30-92:99","call in function: __init__@70-196","callee=torch.load","basic block: 92:30-94:47"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/layers/xtts/trainer/gpt_trainer.py","call function: 185:31-185:101","call in function: __init__@70-196","callee=torch.load","basic block: 185:31-194:39"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/utils/io.py","call function: 51:20-51:69","call in function: load_fsspec@27-54","callee=torch.load","basic block: 46:14-51:69"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/utils/io.py","call function: 54:20-54:69","call in function: load_fsspec@27-54","callee=torch.load","basic block: 53:14-54:69"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/layers/bark/inference_funcs.py","call function: 52:17-52:33","call in function: load_npz@51-56","callee=numpy.load","basic block: 51:14-56:33"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/layers/bark/load_model.py","call function: 121:18-121:59","call in function: load_model@94-160","callee=torch.load","basic block: 121:18-124:43"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/utils/managers.py","call function: 17:20-17:31","call in function: load_file@14-22","callee=json.load","basic block: 16:14-17:31"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/utils/managers.py","call function: 20:20-20:52","call in function: load_file@14-22","callee=torch.load","basic block: 19:14-20:52"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/utils/managers.py","call function: 50:20-50:31","call in function: _load_json@48-50","callee=json.load","basic block: 48:20-50:31"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/utils/manage.py","call function: 357:28-357:39","call in function: check_if_configs_are_equal@355-369","callee=json.load","basic block: 355:36-359:39"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/utils/manage.py","call function: 365:29-365:40","call in function: check_if_configs_are_equal@355-369","callee=json.load","basic block: 364:14-367:44"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/models/neuralhmm_tts.py","call function: 107:31-107:76","call in function: preprocess_batch@105-111","callee=torch.load","basic block: 107:31-108:49"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/models/neuralhmm_tts.py","call function: 289:26-289:81","call in function: on_init_start@263-301","callee=torch.load","basic block: 286:13-295:105"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/models/overflow.py","call function: 120:31-120:76","call in function: preprocess_batch@118-124","callee=torch.load","basic block: 120:31-121:49"
"path: /home/sixsquare/codeQL/projects/TTS/TTS/tts/models/overflow.py","call function: 305:26-305:81","call in function: on_init_start@279-317","callee=torch.load","basic block: 302:13-311:105"
