"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/tag_pages/ScreenshotOCR.py","call function: 81:12-81:38","call in function: _msn@71-85","callee=str.startswith","basic block: 71:14-81:38"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/tag_pages/BatchOCR.py","call function: 42:12-42:43","call in function: msnPaths@24-46","callee=str.startswith","basic block: 40:41-42:43"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/tag_pages/BatchDOC.py","call function: 153:12-153:32","call in function: _runNewDoc@128-157","callee=str.startswith","basic block: 144:13-153:32"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/cmd_server.py","call function: 161:20-161:36","call in function: getModuleFuncsHelp@148-164","callee=str.startswith","basic block: 159:13-161:36"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/doc_server.py","call function: 143:12-143:30","call in function: __init__@91-163","callee=str.startswith","basic block: 143:12-143:30"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/doc_server.py","call function: 422:34-422:73","call in function: init@384-580","callee=re.sub","basic block: 416:30-425:51"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/doc_server.py","call function: 422:34-422:73","call in function: _upload@407-504","callee=re.sub","basic block: 416:30-425:51"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/doc_server.py","call function: 422:34-422:73","call in function: filename_convert@416-427","callee=re.sub","basic block: 416:30-425:51"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/platform/linux/linux_api.py","call function: 141:12-141:30","call in function: getKeyName@135-147","callee=str.startswith","basic block: 141:12-141:30"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/platform/linux/linux_api.py","call function: 141:36-141:52","call in function: getKeyName@135-147","callee=str.endswith","basic block: 141:36-141:52"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/platform/linux/linux_api.py","call function: 143:12-143:33","call in function: getKeyName@135-147","callee=str.startswith","basic block: 143:12-143:33"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/mission/mission.py","call function: 168:12-168:38","call in function: addMissionWait@137-177","callee=str.startswith","basic block: 140:19-168:38"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/bottle.py","call function: 301:12-305:5","call in function: _re_flatten@296-305","callee=re.sub","basic block: 301:12-305:5"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/bottle.py","call function: 399:28-399:41","call in function: add@373-448","callee=re.escape","basic block: 399:17-400:43"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/bottle.py","call function: 412:26-412:55","call in function: add@373-448","callee=re.compile","basic block: 412:26-412:55"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/bottle.py","call function: 458:24-458:43","call in function: _compile@450-460","callee=re.compile","basic block: 454:13-460:48"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/bottle.py","call function: 2640:17-2640:55","call in function: filename@2626-2642","callee=re.sub","basic block: 2638:17-2642:26"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/bottle.py","call function: 2641:17-2641:45","call in function: filename@2626-2642","callee=re.sub","basic block: 2638:17-2642:26"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/bottle.py","call function: 2886:17-2886:41","call in function: cookie_is_encoded@2884-2886","callee=str.startswith","basic block: 2884:23-2886:41"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/bottle.py","call function: 3885:25-3885:52","call in function: set_syntax@3877-3887","callee=re.compile","basic block: 3885:58-3885:52"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/bottle.py","call function: 3885:25-3885:52","call in function: listcomp@3885-3885","callee=re.compile","basic block: 3885:58-3885:52"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/server/bottle.py","call function: 4017:17-4017:63","call in function: fix_backward_compatibility@4006-4024","callee=re.match","basic block: 4017:17-4018:16"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/dev-tools/i18n/plugins_tr.py","call function: 15:19-15:46","call in function: extract_strings_from_file@9-20","callee=re.findall","basic block: 9:31-17:28"
"path: /home/sixsquare/codeQL/projects/Umi-OCR/UmiOCR-data/py_src/utils/utils.py","call function: 20:8-20:29","call in function: allowedFileName@18-23","callee=re.search","basic block: 18:21-20:29"
