"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/src/utils/display.py","call function: 232:5-232:52","call in function: print_backtest_results@229-306","callee=os.system","basic block: 232:15-238:25"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/src/utils/ollama.py","call function: 26:22-26:115","call in function: is_ollama_installed@20-37","callee=subprocess.run","basic block: 26:82-26:115"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/src/utils/ollama.py","call function: 32:22-32:127","call in function: is_ollama_installed@20-37","callee=subprocess.run","basic block: 32:82-32:127"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/src/utils/ollama.py","call function: 74:13-74:97","call in function: start_ollama_server@64-92","callee=subprocess.Popen","basic block: 74:75-74:97"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/src/utils/ollama.py","call function: 76:13-76:109","call in function: start_ollama_server@64-92","callee=subprocess.Popen","basic block: 76:75-76:109"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/src/utils/ollama.py","call function: 133:39-133:176","call in function: install_ollama@95-185","callee=subprocess.run","basic block: 133:143-133:176"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/src/utils/ollama.py","call function: 149:31-149:168","call in function: install_ollama@95-185","callee=subprocess.run","basic block: 149:135-149:168"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/src/utils/ollama.py","call function: 200:19-208:9","call in function: download_model@188-289","callee=subprocess.Popen","basic block: 203:13-208:9"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/src/utils/ollama.py","call function: 361:19-361:121","call in function: delete_model@342-371","callee=subprocess.run","basic block: 361:88-361:121"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/app/backend/services/ollama_service.py","call function: 202:22-202:116","call in function: _is_ollama_installed@195-205","callee=subprocess.run","basic block: 202:70-202:116"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/app/backend/services/ollama_service.py","call function: 252:13-252:98","call in function: _start_ollama_process@245-258","callee=subprocess.Popen","basic block: 252:63-252:98"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/app/backend/services/ollama_service.py","call function: 308:22-313:13","call in function: _stop_unix_process@305-323","callee=subprocess.run","basic block: 311:17-313:13"
"path: /home/sixsquare/codeQL/projects/ai-hedge-fund/app/backend/services/ollama_service.py","call function: 328:13-332:13","call in function: _stop_windows_process@325-337","callee=subprocess.run","basic block: 331:17-332:13"
