"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/aider/aider/analytics.py","call function: 250:22-250:44","call in function: event@213-254","callee=open","basic block: 250:41-250:44"
"path: /home/sixsquare/codeQL/projects/aider/scripts/30k-image.py","call function: 39:10-39:30","call in function: embed_font@26-43","callee=open","basic block: 39:10-43:54"
"path: /home/sixsquare/codeQL/projects/aider/scripts/30k-image.py","call function: 200:14-200:35","call in function: generate_celebration_svg@133-204","callee=open","basic block: 200:14-202:56"
"path: /home/sixsquare/codeQL/projects/aider/scripts/blame.py","call function: 174:18-174:39","call in function: main@145-222","callee=open","basic block: 174:18-175:52"
"path: /home/sixsquare/codeQL/projects/aider/scripts/blame.py","call function: 216:14-216:35","call in function: main@145-222","callee=open","basic block: 216:14-217:32"
"path: /home/sixsquare/codeQL/projects/aider/scripts/clean_metadata.py","call function: 98:14-98:33","call in function: remove_block_surgically@94-122","callee=open","basic block: 94:29-98:33"
"path: /home/sixsquare/codeQL/projects/aider/scripts/clean_metadata.py","call function: 116:14-116:33","call in function: remove_block_surgically@94-122","callee=open","basic block: 111:20-116:33"
"path: /home/sixsquare/codeQL/projects/aider/scripts/clean_metadata.py","call function: 140:14-140:36","call in function: main@125-254","callee=open","basic block: 139:5-140:36"
"path: /home/sixsquare/codeQL/projects/aider/scripts/clean_metadata.py","call function: 151:14-151:34","call in function: main@125-254","callee=open","basic block: 141:13-151:34"
"path: /home/sixsquare/codeQL/projects/aider/scripts/dl_icons.py","call function: 40:10-40:32","call in function: download_icon@28-44","callee=open","basic block: 39:19-44:15"
"path: /home/sixsquare/codeQL/projects/aider/aider/diffs.py","call function: 14:10-14:47","call in function: main@7-23","callee=open","basic block: 12:31-20:37"
"path: /home/sixsquare/codeQL/projects/aider/aider/diffs.py","call function: 17:10-17:50","call in function: main@7-23","callee=open","basic block: 12:31-20:37"
"path: /home/sixsquare/codeQL/projects/aider/benchmark/benchmark.py","call function: 723:10-723:26","call in function: run_test_real@679-978","callee=open","basic block: 723:10-751:35"
"path: /home/sixsquare/codeQL/projects/aider/aider/editor.py","call function: 60:20-60:45","call in function: write_temp_file@41-67","callee=tempfile.mkstemp","basic block: 60:20-62:15"
"path: /home/sixsquare/codeQL/projects/aider/aider/editor.py","call function: 135:10-135:28","call in function: pipe_editor@115-147","callee=open","basic block: 115:17-138:10"
"path: /home/sixsquare/codeQL/projects/aider/aider/coders/editblock_coder.py","call function: 371:9-371:21","call in function: do_replace@364-383","callee=pathlib.Path.touch","basic block: 371:9-372:15"
"path: /home/sixsquare/codeQL/projects/aider/aider/history.py","call function: 135:10-135:33","call in function: main@126-139","callee=open","basic block: 127:14-139:17"
"path: /home/sixsquare/codeQL/projects/aider/aider/commands.py","call function: 841:21-841:33","call in function: cmd_add@799-893","callee=pathlib.Path.touch","basic block: 841:21-841:33"
"path: /home/sixsquare/codeQL/projects/aider/aider/commands.py","call function: 1277:28-1277:45","call in function: cmd_paste@1260-1308","callee=tempfile.mkdtemp","basic block: 1277:28-1277:45"
"path: /home/sixsquare/codeQL/projects/aider/aider/commands.py","call function: 1454:18-1454:85","call in function: cmd_load@1447-1474","callee=open","basic block: 1454:42-1454:85"
"path: /home/sixsquare/codeQL/projects/aider/aider/commands.py","call function: 1486:18-1486:67","call in function: cmd_save@1479-1504","callee=open","basic block: 1486:42-1486:67"
"path: /home/sixsquare/codeQL/projects/aider/aider/coders/base_coder.py","call function: 838:18-838:34","call in function: get_images_message@817-857","callee=open","basic block: 838:18-843:45"
"path: /home/sixsquare/codeQL/projects/aider/scripts/homepage.py","call function: 51:14-51:34","call in function: read_from_cache@40-64","callee=open","basic block: 50:5-51:34"
"path: /home/sixsquare/codeQL/projects/aider/scripts/homepage.py","call function: 79:14-79:34","call in function: write_to_cache@67-85","callee=open","basic block: 76:13-79:34"
"path: /home/sixsquare/codeQL/projects/aider/scripts/homepage.py","call function: 222:14-222:34","call in function: get_latest_release_aider_percentage@208-255","callee=open","basic block: 209:5-222:34"
"path: /home/sixsquare/codeQL/projects/aider/scripts/homepage.py","call function: 426:14-426:53","call in function: get_testimonials_js@413-527","callee=open","basic block: 414:5-426:53"
"path: /home/sixsquare/codeQL/projects/aider/aider/io.py","call function: 134:22-134:61","call in function: tokenize@127-146","callee=open","basic block: 134:39-134:61"
"path: /home/sixsquare/codeQL/projects/aider/aider/io.py","call function: 437:18-437:42","call in function: read_image@435-451","callee=open","basic block: 437:38-437:42"
"path: /home/sixsquare/codeQL/projects/aider/aider/io.py","call function: 458:18-458:65","call in function: read_text@453-476","callee=open","basic block: 458:43-458:65"
"path: /home/sixsquare/codeQL/projects/aider/aider/io.py","call function: 493:22-493:91","call in function: write_text@478-507","callee=open","basic block: 493:71-493:91"
"path: /home/sixsquare/codeQL/projects/aider/aider/io.py","call function: 760:18-760:67","call in function: log_llm_history@754-765","callee=open","basic block: 760:46-760:67"
"path: /home/sixsquare/codeQL/projects/aider/aider/io.py","call function: 1131:22-1131:94","call in function: append_chat_history@1117-1136","callee=pathlib.Path.open","basic block: 1131:55-1131:94"
"path: /home/sixsquare/codeQL/projects/aider/scripts/logo_svg.py","call function: 28:10-28:65","call in function: subset_font@16-54","callee=tempfile.NamedTemporaryFile","basic block: 16:17-54:20"
"path: /home/sixsquare/codeQL/projects/aider/scripts/logo_svg.py","call function: 48:10-48:29","call in function: subset_font@16-54","callee=open","basic block: 16:17-54:20"
"path: /home/sixsquare/codeQL/projects/aider/scripts/logo_svg.py","call function: 115:14-115:35","call in function: generate_svg_with_embedded_font@57-119","callee=open","basic block: 115:14-117:49"
"path: /home/sixsquare/codeQL/projects/aider/aider/main.py","call function: 48:22-48:43","call in function: check_config_files_for_yes@43-57","callee=open","basic block: 47:13-48:43"
