"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py3.x/ml/3.DecisionTree/DTSklearn.py","call function: 16:10-16:45","call in function: createDataSet@12-32","callee=open","basic block: 13:5-17:25"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py2.x/ml/3.DecisionTree/DTSklearn.py","call function: 17:10-17:45","call in function: createDataSet@13-33","callee=open","basic block: 14:5-18:25"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py2.x/ml/3.DecisionTree/DecisionTree.py","call function: 294:10-294:29","call in function: storeTree@291-301","callee=open","basic block: 291:15-301:34"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py2.x/ml/3.DecisionTree/DecisionTree.py","call function: 300:10-300:29","call in function: storeTree@291-301","callee=open","basic block: 291:15-301:34"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py2.x/ml/3.DecisionTree/DecisionTree.py","call function: 307:10-307:28","call in function: grabTree@305-308","callee=open","basic block: 305:14-308:26"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py2.x/ml/3.DecisionTree/DecisionTree.py","call function: 350:10-350:47","call in function: ContactLensesTest@339-359","callee=open","basic block: 340:5-359:33"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py3.x/ml/3.DecisionTree/DecisionTree.py","call function: 321:10-321:29","call in function: storeTree@309-328","callee=open","basic block: 309:15-328:34"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py3.x/ml/3.DecisionTree/DecisionTree.py","call function: 327:10-327:29","call in function: storeTree@309-328","callee=open","basic block: 309:15-328:34"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py3.x/ml/3.DecisionTree/DecisionTree.py","call function: 342:10-342:29","call in function: grabTree@332-343","callee=open","basic block: 332:14-343:26"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py3.x/ml/3.DecisionTree/DecisionTree.py","call function: 390:10-390:47","call in function: ContactLensesTest@379-399","callee=open","basic block: 380:5-399:33"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py3.x/ml/16.RecommenderSystems/RS-itemcf.py","call function: 49:14-49:32","call in function: loadfile@41-55","callee=open","basic block: 41:18-50:36"
"path: /home/sixsquare/codeQL/projects/ailearning/src/py3.x/ml/16.RecommenderSystems/RS-usercf.py","call function: 52:14-52:32","call in function: loadfile@44-58","callee=open","basic block: 44:18-53:36"
