"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/airflow/providers/openlineage/tests/system/openlineage/expected_events/__init__.py","call function: 69:12-69:31","call in function: get_expected_event_file_path@29-75","callee=os.path.exists","basic block: 68:9-69:31"
"path: /home/sixsquare/codeQL/projects/airflow/airflow-core/tests/unit/cli/commands/_common_cli_classes.py","call function: 89:12-89:47","call in function: _clean_pidfiles@86-94","callee=os.path.exists","basic block: 86:25-89:47"
"path: /home/sixsquare/codeQL/projects/airflow/airflow-core/tests/unit/cli/commands/_common_cli_classes.py","call function: 91:13-91:43","call in function: _clean_pidfiles@86-94","callee=os.remove","basic block: 90:13-91:43"
"path: /home/sixsquare/codeQL/projects/airflow/airflow-core/tests/unit/cli/commands/_common_cli_classes.py","call function: 92:12-92:42","call in function: _clean_pidfiles@86-94","callee=os.path.exists","basic block: 92:12-92:42"
"path: /home/sixsquare/codeQL/projects/airflow/airflow-core/tests/unit/cli/commands/_common_cli_classes.py","call function: 94:13-94:38","call in function: _clean_pidfiles@86-94","callee=os.remove","basic block: 93:13-94:38"
"path: /home/sixsquare/codeQL/projects/airflow/airflow-core/tests/unit/cli/commands/_common_cli_classes.py","call function: 100:22-100:34","call in function: _wait_pidfile@96-106","callee=open","basic block: 98:9-100:34"
"path: /home/sixsquare/codeQL/projects/airflow/dev/breeze/src/airflow_breeze/utils/add_back_references.py","call function: 37:25-37:70","call in function: download_file@35-48","callee=tempfile.mkdtemp","basic block: 37:49-37:70"
"path: /home/sixsquare/codeQL/projects/airflow/dev/breeze/src/airflow_breeze/utils/add_back_references.py","call function: 53:10-53:25","call in function: construct_old_to_new_tuple_mapping@51-61","callee=pathlib.Path.open","basic block: 51:40-54:21"
"path: /home/sixsquare/codeQL/projects/airflow/dev/breeze/src/airflow_breeze/utils/add_back_references.py","call function: 75:12-75:24","call in function: crete_redirect_html_if_not_exist@74-80","callee=pathlib.Path.exists","basic block: 74:38-75:24"
"path: /home/sixsquare/codeQL/projects/airflow/dev/breeze/src/airflow_breeze/utils/add_back_references.py","call function: 77:9-77:32","call in function: crete_redirect_html_if_not_exist@74-80","callee=pathlib.Path.write_text","basic block: 76:9-78:78"
"path: /home/sixsquare/codeQL/projects/airflow/dev/breeze/src/airflow_breeze/utils/add_back_references.py","call function: 91:23-91:43","call in function: create_back_reference_html@83-95","callee=pathlib.Path.iterdir","basic block: 89:27-91:43"
