"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/cfr/kuhn/__init__.py","call function: 189:16-189:33","call in function: __repr__@185-189","callee=repr","basic block: 185:18-189:33"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/experiments/arithmetic_dataset.py","call function: 255:5-255:58","call in function: _test@249-255","callee=print","basic block: 250:5-255:58"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/transformers/retro/dataset.py","call function: 95:17-95:35","call in function: build_dataset@27-95","callee=json.dumps","basic block: 94:10-95:36"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/rwkv/experiment.py","call function: 111:5-111:102","call in function: _configure_optimizers@96-120","callee=print","basic block: 96:27-115:31"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/rwkv/experiment.py","call function: 112:5-112:110","call in function: _configure_optimizers@96-120","callee=print","basic block: 96:27-115:31"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/rwkv/experiment.py","call function: 118:5-118:44","call in function: _configure_optimizers@96-120","callee=print","basic block: 116:18-120:20"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/rwkv/experiment.py","call function: 128:5-128:21","call in function: main@123-164","callee=print","basic block: 125:5-164:18"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/rwkv/experiment.py","call function: 157:5-157:21","call in function: main@123-164","callee=print","basic block: 125:5-164:18"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/neox/evaluation/half_precision.py","call function: 43:5-43:73","call in function: main@21-43","callee=print","basic block: 23:14-43:73"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/cfr/infoset_saver.py","call function: 18:21-18:36","call in function: save@13-20","callee=json.dumps","basic block: 13:14-20:24"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/neox/samples/llm_int8.py","call function: 61:5-61:38","call in function: generate@25-86","callee=print","basic block: 57:13-76:26"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/neox/evaluation/llm_int8.py","call function: 49:5-49:64","call in function: main@22-49","callee=print","basic block: 46:13-49:64"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/labml_nn/optimizers/performance_test.py","call function: 31:5-31:22","call in function: test@29-51","callee=print","basic block: 30:19-41:27"
"path: /home/sixsquare/codeQL/projects/annotated_deep_learning_paper_implementations/utils/papers_list.py","call function: 89:17-89:43","call in function: main@73-89","callee=json.dumps","basic block: 86:5-89:44"
