"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/plugins/shell/__init__.py","call function: 84:68-84:91","call in function: _generate_temp_dir_name@83-84","callee=secrets.randbelow","basic block: 84:16-84:92"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/plugins/become/__init__.py","call function: 22:20-22:42","call in function: _gen_id@20-22","callee=secrets.choice","basic block: 22:48-22:42"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/plugins/become/__init__.py","call function: 22:20-22:42","call in function: genexpr@22-22","callee=secrets.choice","basic block: 22:48-22:42"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/plugins/action/__init__.py","call function: 1113:29-1113:59","call in function: _execute_module@998-1197","callee=secrets.randbelow","basic block: 1105:54-1120:33"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/parsing/vault/__init__.py","call function: 768:33-768:81","call in function: _shred_file_custom@744-779","callee=random.randint","basic block: 765:21-771:64"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/parsing/vault/__init__.py","call function: 769:28-769:48","call in function: _shred_file_custom@744-779","callee=os.urandom","basic block: 765:21-771:64"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/parsing/vault/__init__.py","call function: 1165:18-1165:88","call in function: _encrypt_cryptography@1164-1176","callee=cryptography.hazmat.primitives.ciphers.Cipher","basic block: 1164:31-1176:93"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/parsing/vault/__init__.py","call function: 1165:27-1165:48","call in function: _encrypt_cryptography@1164-1176","callee=cryptography.hazmat.primitives.ciphers.algorithms.AES","basic block: 1164:31-1176:93"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/parsing/vault/__init__.py","call function: 1165:51-1165:65","call in function: _encrypt_cryptography@1164-1176","callee=cryptography.hazmat.primitives.ciphers.modes.CTR","basic block: 1164:31-1176:93"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/parsing/vault/__init__.py","call function: 1182:27-1182:40","call in function: _get_salt@1179-1183","callee=os.urandom","basic block: 1182:27-1182:23"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/parsing/vault/__init__.py","call function: 1223:18-1223:88","call in function: _decrypt_cryptography@1213-1230","callee=cryptography.hazmat.primitives.ciphers.Cipher","basic block: 1223:18-1230:26"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/parsing/vault/__init__.py","call function: 1223:27-1223:48","call in function: _decrypt_cryptography@1213-1230","callee=cryptography.hazmat.primitives.ciphers.algorithms.AES","basic block: 1223:18-1230:26"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/parsing/vault/__init__.py","call function: 1223:51-1223:65","call in function: _decrypt_cryptography@1213-1230","callee=cryptography.hazmat.primitives.ciphers.modes.CTR","basic block: 1223:18-1230:26"
"path: /home/sixsquare/codeQL/projects/ansible/test/support/windows-integration/collections/ansible_collections/ansible/windows/plugins/plugin_utils/_reboot.py","call function: 211:43-211:54","call in function: reboot_host@70-283","callee=uuid.uuid4","basic block: 211:32-212:20"
"path: /home/sixsquare/codeQL/projects/ansible/test/support/windows-integration/collections/ansible_collections/ansible/windows/plugins/plugin_utils/_reboot.py","call function: 406:26-406:48","call in function: _do_until_success_or_condition@369-433","callee=random.randint","basic block: 406:26-408:42"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/module_utils/api.py","call function: 133:15-133:78","call in function: generate_jittered_backoff@123-133","callee=secrets.randbelow","basic block: 132:9-133:78"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/modules/apt_repository.py","call function: 727:29-727:51","call in function: main@610-759","callee=secrets.randbelow","basic block: 727:47-727:51"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/modules/apt.py","call function: 1412:33-1412:55","call in function: main@1221-1577","callee=secrets.randbelow","basic block: 1412:51-1412:55"
"path: /home/sixsquare/codeQL/projects/ansible/test/lib/ansible_test/_internal/commands/integration/cloud/aws.py","call function: 110:25-110:36","call in function: get_environment_config@103-127","callee=uuid.uuid4","basic block: 103:32-118:44"
"path: /home/sixsquare/codeQL/projects/ansible/test/integration/targets/inventory_cache/plugins/inventory/cache_host.py","call function: 50:41-50:61","call in function: parse@31-55","callee=random.randint","basic block: 50:20-50:16"
"path: /home/sixsquare/codeQL/projects/ansible/test/integration/targets/inventory_cache/plugins/inventory/cache_host.py","call function: 50:41-50:61","call in function: parse@31-55","callee=random.randint","basic block: 49:12-54:23"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/module_utils/connection.py","call function: 88:17-88:28","call in function: request_builder@87-92","callee=uuid.uuid4","basic block: 87:21-92:14"
"path: /home/sixsquare/codeQL/projects/ansible/test/lib/ansible_test/_internal/containers.py","call function: 697:65-697:92","call in function: register@681-723","callee=random.randint","basic block: 697:65-697:92"
"path: /home/sixsquare/codeQL/projects/ansible/test/lib/ansible_test/_internal/containers.py","call function: 697:65-697:92","call in function: genexpr@697-697","callee=random.randint","basic block: 697:65-697:92"
"path: /home/sixsquare/codeQL/projects/ansible/test/lib/ansible_test/_internal/containers.py","call function: 776:17-776:28","call in function: create_hosts_entries@773-787","callee=uuid.uuid4","basic block: 773:26-778:37"
"path: /home/sixsquare/codeQL/projects/ansible/test/lib/ansible_test/_internal/core_ci.py","call function: 194:36-194:47","call in function: __init__@142-200","callee=uuid.uuid4","basic block: 193:28-197:51"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/utils/display.py","call function: 872:26-872:66","call in function: banner_cowsay@863-878","callee=secrets.choice","basic block: 872:26-872:22"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/modules/known_hosts.py","call function: 294:16-294:29","call in function: hash_host_key@293-300","callee=os.urandom","basic block: 293:19-298:31"
"path: /home/sixsquare/codeQL/projects/ansible/test/lib/ansible_test/_internal/ci/local.py","call function: 66:13-66:46","call in function: generate_resource_prefix@63-70","callee=random.randint","basic block: 63:34-70:21"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/executor/powershell/module_manifest.py","call function: 483:37-483:67","call in function: _create_powershell_wrapper@372-539","callee=secrets.randbelow","basic block: 477:9-497:9"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/cli/pull.py","call function: 173:24-173:60","call in function: post_process_args@160-187","callee=secrets.randbelow","basic block: 173:24-173:60"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/plugins/lookup/random_choice.py","call function: 48:24-48:44","call in function: run@43-52","callee=secrets.choice","basic block: 48:39-48:44"
"path: /home/sixsquare/codeQL/projects/ansible/lib/ansible/plugins/action/reboot.py","call function: 307:30-307:52","call in function: do_until_success_or_timeout@285-329","callee=secrets.randbelow","basic block: 307:30-309:46"
"path: /home/sixsquare/codeQL/projects/ansible/packaging/release.py","call function: 1178:37-1178:56","call in function: create_release_pr@1172-1188","callee=secrets.token_hex","basic block: 1172:23-1188:27"
"path: /home/sixsquare/codeQL/projects/ansible/packaging/release.py","call function: 1380:37-1380:56","call in function: create_post_pr@1374-1386","callee=secrets.token_hex","basic block: 1374:20-1386:27"
"path: /home/sixsquare/codeQL/projects/ansible/test/integration/targets/ansible-test-container/runme.py","call function: 873:83-873:102","call in function: configure_root_user@867-881","callee=secrets.token_hex","basic block: 873:29-881:13"
"path: /home/sixsquare/codeQL/projects/ansible/test/integration/targets/ansible-test-container/runme.py","call function: 886:87-886:106","call in function: configure_unprivileged_user@884-912","callee=secrets.token_hex","basic block: 884:37-893:57"
"path: /home/sixsquare/codeQL/projects/ansible/test/lib/ansible_test/_internal/ssh.py","call function: 144:28-144:55","call in function: collect_port_forwards@105-152","callee=random.randint","basic block: 143:23-144:24"
"path: /home/sixsquare/codeQL/projects/ansible/test/units/galaxy/test_collection.py","call function: 104:12-104:24","call in function: tmp_tarfile@99-124","callee=os.urandom","basic block: 99:17-124:64"
"path: /home/sixsquare/codeQL/projects/ansible/test/units/galaxy/test_collection.py","call function: 959:12-959:24","call in function: test_extract_tar_file_outside_dir@955-973","callee=os.urandom","basic block: 955:39-973:115"
"path: /home/sixsquare/codeQL/projects/ansible/test/units/parsing/vault/test_vault.py","call function: 516:18-516:31","call in function: test_create_key_cryptography@514-518","callee=os.urandom","basic block: 514:38-518:56"
