"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/local/__init__.py","call function: 178:16-178:39","call in function: __init__@147-220","callee=pathlib.Path.resolve","basic block: 178:16-178:63"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/local/__init__.py","call function: 188:13-188:47","call in function: __init__@147-220","callee=pathlib.Path.mkdir","basic block: 188:13-188:47"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/local/__init__.py","call function: 255:34-255:62","call in function: work_dir@248-257","callee=tempfile.TemporaryDirectory","basic block: 255:34-256:29"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/local/__init__.py","call function: 399:44-399:94","call in function: _execute_code_dont_check_setup@341-474","callee=os.path.abspath","basic block: 399:44-400:27"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/local/__init__.py","call function: 405:21-405:70","call in function: _execute_code_dont_check_setup@341-474","callee=os.path.abspath","basic block: 405:21-405:70"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/local/__init__.py","call function: 491:30-491:58","call in function: start@483-492","callee=tempfile.TemporaryDirectory","basic block: 491:30-491:26"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/__main__.py","call function: 34:12-34:36","call in function: edit_config_file@33-39","callee=os.path.exists","basic block: 33:22-34:36"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/__main__.py","call function: 35:14-35:33","call in function: edit_config_file@33-39","callee=open","basic block: 35:14-37:55"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/__main__.py","call function: 110:19-110:54","call in function: main@42-120","callee=os.path.join","basic block: 95:16-111:53"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/__main__.py","call function: 114:29-114:61","call in function: main@42-120","callee=os.path.join","basic block: 113:21-115:43"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/__main__.py","call function: 117:29-117:58","call in function: main@42-120","callee=os.path.expanduser","basic block: 117:29-120:44"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/__main__.py","call function: 118:9-118:53","call in function: main@42-120","callee=os.makedirs","basic block: 117:29-120:44"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/__main__.py","call function: 119:30-119:70","call in function: main@42-120","callee=os.path.join","basic block: 117:29-120:44"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/azure/_azure_container_code_executor.py","call function: 121:13-121:61","call in function: __init__@91-150","callee=pathlib.Path.mkdir","basic block: 121:13-121:61"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/azure/_azure_container_code_executor.py","call function: 124:30-124:58","call in function: __init__@91-150","callee=tempfile.TemporaryDirectory","basic block: 124:30-126:60"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/azure/_azure_container_code_executor.py","call function: 126:13-126:60","call in function: __init__@91-150","callee=pathlib.Path.mkdir","basic block: 124:30-126:60"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/azure/_azure_container_code_executor.py","call function: 328:34-328:60","call in function: upload_files@310-352","callee=os.path.basename","basic block: 323:24-342:41"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/agents/azure/_azure_ai_agent.py","call function: 600:25-600:51","call in function: _upload_files@565-618","callee=os.path.basename","basic block: 599:13-610:49"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_config.py","call function: 31:17-31:49","call in function: get_gitty_dir@28-34","callee=os.path.join","basic block: 29:5-32:36"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_config.py","call function: 32:12-32:36","call in function: get_gitty_dir@28-34","callee=os.path.exists","basic block: 29:5-32:36"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_config.py","call function: 33:9-33:30","call in function: get_gitty_dir@28-34","callee=os.makedirs","basic block: 33:9-33:30"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/_common.py","call function: 104:16-104:33","call in function: get_file_name_from_content@96-111","callee=pathlib.Path.is_absolute","basic block: 100:20-104:33"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/_common.py","call function: 106:16-106:29","call in function: get_file_name_from_content@96-111","callee=pathlib.Path.resolve","basic block: 106:16-109:28"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/_common.py","call function: 108:37-108:60","call in function: get_file_name_from_content@96-111","callee=pathlib.Path.resolve","basic block: 106:16-109:28"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_db.py","call function: 16:12-16:35","call in function: init_db@15-26","callee=sqlite3.connect","basic block: 15:13-26:16"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_db.py","call function: 30:12-30:35","call in function: update_issue@29-40","callee=sqlite3.connect","basic block: 29:18-40:16"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_db.py","call function: 44:25-44:57","call in function: update_chroma@43-67","callee=os.path.join","basic block: 43:19-47:49"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_db.py","call function: 51:12-51:35","call in function: update_chroma@43-67","callee=sqlite3.connect","basic block: 51:12-59:44"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_db.py","call function: 80:19-80:54","call in function: fetch_and_update_issues@71-170","callee=os.path.join","basic block: 79:21-80:15"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_db.py","call function: 98:12-98:35","call in function: fetch_and_update_issues@71-170","callee=sqlite3.connect","basic block: 90:9-109:53"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_db.py","call function: 144:25-144:57","call in function: fetch_and_update_issues@71-170","callee=os.path.join","basic block: 138:5-148:49"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_db.py","call function: 152:12-152:35","call in function: fetch_and_update_issues@71-170","callee=sqlite3.connect","basic block: 152:12-161:44"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/docker/_docker_code_executor.py","call function: 192:16-192:33","call in function: __init__@158-247","callee=pathlib.Path.resolve","basic block: 192:16-192:57"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/docker/_docker_code_executor.py","call function: 200:13-200:61","call in function: __init__@158-247","callee=pathlib.Path.mkdir","basic block: 198:30-200:61"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/docker/_docker_code_executor.py","call function: 503:30-503:58","call in function: start@495-571","callee=tempfile.TemporaryDirectory","basic block: 503:30-505:52"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/docker/_docker_code_executor.py","call function: 505:13-505:52","call in function: start@495-571","callee=pathlib.Path.mkdir","basic block: 503:30-505:52"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/experimental/task_centric_memory/utils/_functions.py","call function: 79:37-79:54","call in function: hash_directory@71-96","callee=os.walk","basic block: 71:20-79:55"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/experimental/task_centric_memory/utils/_functions.py","call function: 86:25-86:53","call in function: hash_directory@71-96","callee=os.path.join","basic block: 85:13-90:42"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/experimental/task_centric_memory/utils/_functions.py","call function: 90:22-90:42","call in function: hash_directory@71-96","callee=open","basic block: 85:13-90:42"
"path: /home/sixsquare/codeQL/projects/autogen/python/samples/gitty/src/gitty/_github.py","call function: 24:36-24:68","call in function: get_related_issues@23-38","callee=os.path.join","basic block: 23:24-26:42"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/docker_jupyter/_docker_jupyter.py","call function: 177:18-177:46","call in function: __init__@158-186","callee=tempfile.TemporaryDirectory","basic block: 177:18-179:53"
"path: /home/sixsquare/codeQL/projects/autogen/python/packages/autogen-ext/src/autogen_ext/code_executors/docker_jupyter/_docker_jupyter.py","call function: 179:17-179:53","call in function: __init__@158-186","callee=pathlib.Path.mkdir","basic block: 177:18-179:53"
