"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/single_agent_apps/ai_consultant_agent/ai_consultant_agent.py","call function: 200:20-202:107","call in function: perplexity_search@193-212","callee=requests.post","basic block: 202:22-202:107"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/starter_ai_agents/ai_data_visualisation_agent/ai_data_visualisation_agent.py","call function: 130:14-130:39","call in function: main@90-175","callee=pandas.read_csv","basic block: 130:14-133:20"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/starter_ai_agents/ai_data_analysis_agent/ai_data_analyst.py","call function: 16:18-16:88","call in function: preprocess_and_save@12-47","callee=pandas.read_csv","basic block: 16:30-16:88"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/single_agent_apps/ai_lead_generation_agent/ai_lead_generation_agent.py","call function: 37:16-37:64","call in function: search_for_urls@23-43","callee=requests.post","basic block: 23:21-38:34"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/single_agent_apps/ai_recipe_meal_planning_agent/ai_recipe_meal_planning_agent.py","call function: 38:20-38:63","call in function: search_recipes@21-65","callee=requests.get","basic block: 38:33-38:63"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/single_agent_apps/ai_recipe_meal_planning_agent/ai_recipe_meal_planning_agent.py","call function: 45:31-45:106","call in function: search_recipes@21-65","callee=requests.get","basic block: 45:64-45:106"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/single_agent_apps/ai_recipe_meal_planning_agent/ai_recipe_meal_planning_agent.py","call function: 84:27-84:84","call in function: analyze_nutrition@68-129","callee=requests.get","basic block: 84:40-84:84"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/multi_agent_apps/ai_financial_coach_agent/ai_financial_coach_agent.py","call function: 520:14-520:64","call in function: parse_csv_transactions@516-546","callee=pandas.read_csv","basic block: 520:14-520:64"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/multi_agent_apps/ai_financial_coach_agent/ai_financial_coach_agent.py","call function: 559:14-559:43","call in function: validate_csv_format@548-580","callee=pandas.read_csv","basic block: 559:14-559:43"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_recruitment_agent_team/ai_recruitment_agent_team.py","call function: 35:24-35:123","call in function: get_access_token@27-48","callee=requests.post","basic block: 35:88-35:123"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/multi_agent_apps/ai_news_and_podcast_agents/beifong/bootstrap_demo.py","call function: 26:16-26:45","call in function: download_file@22-38","callee=requests.get","basic block: 22:19-35:69"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/multi_agent_apps/agent_teams/ai_competitor_intelligence_agent_team/competitor_agent_team.py","call function: 138:32-138:91","call in function: get_competitor_urls@100-166","callee=requests.post","basic block: 138:46-138:91"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/rag_tutorials/contextualai_rag_agent/contextualai_rag_agent.py","call function: 123:20-123:65","call in function: wait_until_documents_ready@117-130","callee=requests.get","basic block: 123:33-123:65"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/multi_agent_apps/ai_news_and_podcast_agents/beifong/utils/crawl_url.py","call function: 66:16-66:61","call in function: get_web_data@64-70","callee=requests.get","basic block: 64:18-70:51"
"path: /home/sixsquare/codeQL/projects/awesome-llm-apps/advanced_ai_agents/multi_agent_apps/ai_news_and_podcast_agents/beifong/integrations/slack/chat.py","call function: 110:24-110:54","call in function: __init__@108-110","callee=aiohttp.ClientTimeout","basic block: 108:18-110:20"
