"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier_with_tfhub.py","call function: 267:24-267:73","call in function: main@158-306","callee=os.path.join","basic block: 258:27-270:38"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier_with_tfhub.py","call function: 281:20-281:70","call in function: main@158-306","callee=os.path.join","basic block: 281:20-301:30"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier_with_tfhub.py","call function: 298:27-298:76","call in function: main@158-306","callee=os.path.join","basic block: 281:20-301:30"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 216:9-217:61","call in function: get_train_examples@213-230","callee=os.path.join","basic block: 213:26-219:37"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 234:28-234:65","call in function: get_dev_examples@232-248","callee=os.path.join","basic block: 232:24-236:37"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 261:24-261:58","call in function: get_train_examples@258-261","callee=os.path.join","basic block: 258:26-261:69"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 266:24-266:64","call in function: get_dev_examples@263-267","callee=os.path.join","basic block: 263:24-267:22"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 272:24-272:65","call in function: get_test_examples@269-272","callee=os.path.join","basic block: 269:25-272:75"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 302:24-302:58","call in function: get_train_examples@299-302","callee=os.path.join","basic block: 299:26-302:69"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 307:24-307:56","call in function: get_dev_examples@304-307","callee=os.path.join","basic block: 304:24-307:65"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 312:24-312:57","call in function: get_test_examples@309-312","callee=os.path.join","basic block: 309:25-312:67"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 342:24-342:58","call in function: get_train_examples@339-342","callee=os.path.join","basic block: 339:26-342:69"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 347:24-347:56","call in function: get_dev_examples@344-347","callee=os.path.join","basic block: 344:24-347:65"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 352:24-352:57","call in function: get_test_examples@349-352","callee=os.path.join","basic block: 349:25-352:67"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 868:18-868:66","call in function: main@783-972","callee=os.path.join","basic block: 868:18-880:71"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 894:17-894:64","call in function: main@783-972","callee=os.path.join","basic block: 894:17-908:20"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 921:24-921:73","call in function: main@783-972","callee=os.path.join","basic block: 912:27-924:38"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 939:20-939:70","call in function: main@783-972","callee=os.path.join","basic block: 939:20-950:50"
"path: /home/sixsquare/codeQL/projects/bert/run_classifier.py","call function: 959:27-959:76","call in function: main@783-972","callee=os.path.join","basic block: 950:30-963:46"
"path: /home/sixsquare/codeQL/projects/bert/run_pretraining.py","call function: 481:24-481:73","call in function: main@406-486","callee=os.path.join","basic block: 469:5-484:38"
"path: /home/sixsquare/codeQL/projects/bert/tokenization_test.py","call function: 33:10-33:50","call in function: test_full_tokenizer@28-49","callee=tempfile.NamedTemporaryFile","basic block: 28:27-34:16"
"path: /home/sixsquare/codeQL/projects/bert/tokenization_test.py","call function: 43:5-43:25","call in function: test_full_tokenizer@28-49","callee=os.unlink","basic block: 40:20-49:69"
"path: /home/sixsquare/codeQL/projects/bert/run_squad.py","call function: 1191:18-1191:66","call in function: main@1126-1276","callee=os.path.join","basic block: 1190:20-1215:71"
"path: /home/sixsquare/codeQL/projects/bert/run_squad.py","call function: 1222:18-1222:65","call in function: main@1126-1276","callee=os.path.join","basic block: 1218:21-1257:53"
"path: /home/sixsquare/codeQL/projects/bert/run_squad.py","call function: 1269:30-1269:79","call in function: main@1126-1276","callee=os.path.join","basic block: 1269:30-1276:67"
"path: /home/sixsquare/codeQL/projects/bert/run_squad.py","call function: 1270:25-1270:80","call in function: main@1126-1276","callee=os.path.join","basic block: 1269:30-1276:67"
"path: /home/sixsquare/codeQL/projects/bert/run_squad.py","call function: 1271:33-1271:80","call in function: main@1126-1276","callee=os.path.join","basic block: 1269:30-1276:67"
