"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/black/scripts/check_pre_commit_rev_in_example.py","call function: 32:24-34:5","call in function: main@20-43","callee=yaml.safe_load","basic block: 20:10-36:32"
"path: /home/sixsquare/codeQL/projects/black/src/black/cache.py","call function: 80:59-80:75","call in function: read@62-85","callee=pickle.load","basic block: 80:71-80:75"
"path: /home/sixsquare/codeQL/projects/black/scripts/diff_shades_gha_helper.py","call function: 75:16-75:49","call in function: http_get@64-84","callee=json.loads","basic block: 75:16-75:12"
"path: /home/sixsquare/codeQL/projects/black/scripts/diff_shades_gha_helper.py","call function: 218:28-218:64","call in function: comment_details@200-227","callee=json.loads","basic block: 206:5-227:36"
"path: /home/sixsquare/codeQL/projects/black/src/black/__init__.py","call function: 1155:10-1155:33","call in function: format_ipynb_string@1144-1173","callee=json.loads","basic block: 1153:24-1157:27"
"path: /home/sixsquare/codeQL/projects/black/src/black/files.py","call function: 38:16-38:30","call in function: _load_toml@36-38","callee=tomli.load","basic block: 36:16-38:30"
"path: /home/sixsquare/codeQL/projects/black/src/black/files.py","call function: 38:16-38:30","call in function: _load_toml@36-38","callee=tomllib.load","basic block: 36:16-38:30"
"path: /home/sixsquare/codeQL/projects/black/src/blib2to3/pgen2/grammar.py","call function: 124:17-124:30","call in function: load@121-125","callee=pickle.load","basic block: 121:14-125:23"
"path: /home/sixsquare/codeQL/projects/black/src/blib2to3/pgen2/grammar.py","call function: 129:22-129:38","call in function: loads@127-129","callee=pickle.loads","basic block: 127:15-129:39"
"path: /home/sixsquare/codeQL/projects/black/gallery/gallery.py","call function: 36:20-36:34","call in function: get_pypi_download_url@34-55","callee=json.load","basic block: 34:27-38:22"
"path: /home/sixsquare/codeQL/projects/black/gallery/gallery.py","call function: 60:18-60:32","call in function: get_top_packages@58-62","callee=json.load","basic block: 59:10-62:61"
"path: /home/sixsquare/codeQL/projects/black/action/main.py","call function: 60:25-60:40","call in function: read_version_specifier_from_pyproject@47-91","callee=tomllib.load","basic block: 60:38-60:40"
"path: /home/sixsquare/codeQL/projects/black/src/black/output.py","call function: 44:12-44:24","call in function: ipynb_diff@42-56","callee=json.loads","basic block: 42:16-56:30"
"path: /home/sixsquare/codeQL/projects/black/src/black/output.py","call function: 45:12-45:24","call in function: ipynb_diff@42-56","callee=json.loads","basic block: 42:16-56:30"
"path: /home/sixsquare/codeQL/projects/black/src/black/schema.py","call function: 15:16-15:27","call in function: get_schema@6-15","callee=json.load","basic block: 8:5-15:27"
