"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/ccxt/python/ccxt/static_dependencies/toolz/_version.py","call function: 141:13-141:38","call in function: git_get_keywords@133-158","callee=open","basic block: 133:22-141:38"
"path: /home/sixsquare/codeQL/projects/ccxt/python/ccxt/static_dependencies/ecdsa/_version.py","call function: 141:13-141:38","call in function: git_get_keywords@133-158","callee=open","basic block: 133:22-141:38"
"path: /home/sixsquare/codeQL/projects/ccxt/examples/py/binance-fetch-ohlcv-to-csv.py","call function: 48:10-48:33","call in function: write_to_csv@47-50","callee=open","basic block: 47:18-50:34"
"path: /home/sixsquare/codeQL/projects/ccxt/examples/py/cli.py","call function: 116:10-116:42","call in function: main@105-259","callee=open","basic block: 113:17-124:27"
"path: /home/sixsquare/codeQL/projects/ccxt/examples/py/cli.py","call function: 213:18-213:40","call in function: main@105-259","callee=open","basic block: 213:18-214:32"
"path: /home/sixsquare/codeQL/projects/ccxt/python/ccxt/static_dependencies/lark/lark.py","call function: 330:32-330:52","call in function: __init__@267-452","callee=tempfile.gettempdir","basic block: 330:32-330:28"
"path: /home/sixsquare/codeQL/projects/ccxt/python/ccxt/static_dependencies/lark/lark.py","call function: 576:14-576:52","call in function: open@562-577","callee=open","basic block: 576:14-577:36"
"path: /home/sixsquare/codeQL/projects/ccxt/python/ccxt/static_dependencies/lark/load_grammar.py","call function: 1317:26-1317:59","call in function: do_import@1306-1335","callee=open","basic block: 1316:21-1317:59"
"path: /home/sixsquare/codeQL/projects/ccxt/python/ccxt/static_dependencies/lark/load_grammar.py","call function: 1338:13-1338:47","call in function: do_import@1306-1335","callee=open","basic block: 1338:13-1339:151"
"path: /home/sixsquare/codeQL/projects/ccxt/python/ccxt/static_dependencies/lark/load_grammar.py","call function: 1393:18-1393:44","call in function: verify_used_files@1389-1405","callee=open","basic block: 1393:18-1394:20"
"path: /home/sixsquare/codeQL/projects/ccxt/examples/py/sample-local-proxy-server-with-cors.py","call function: 40:17-40:32","call in function: send_head@11-51","callee=open","basic block: 35:17-40:32"
"path: /home/sixsquare/codeQL/projects/ccxt/python/ccxt/static_dependencies/lark/tools/standalone.py","call function: 144:14-144:49","call in function: gen_standalone@126-173","callee=open","basic block: 143:9-146:16"
"path: /home/sixsquare/codeQL/projects/ccxt/python/ccxt/test/tests_helpers.py","call function: 159:10-159:42","call in function: io_file_read@158-164","callee=open","basic block: 158:18-161:13"
"path: /home/sixsquare/codeQL/projects/ccxt/examples/ccxt.pro/py/watch-ticker-to-csv.py","call function: 12:10-12:28","call in function: watch_ticker_continuously@8-24","callee=open","basic block: 8:37-14:9"
"path: /home/sixsquare/codeQL/projects/ccxt/examples/ccxt.pro/py/watch-ticker-to-csv.py","call function: 20:18-20:36","call in function: watch_ticker_continuously@8-24","callee=open","basic block: 20:18-20:36"
"path: /home/sixsquare/codeQL/projects/ccxt/python/ccxt/static_dependencies/lark/utils.py","call function: 246:20-246:45","call in function: open@242-246","callee=open","basic block: 246:20-246:45"
