"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/voice/ali/ali_api.py","call function: 50:57-50:72","call in function: text_to_speech_aliyun@26-63","callee=json.dumps","basic block: 26:27-52:34"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/voice/ali/ali_voice.py","call function: 53:16-54:83","call in function: textToVoice@45-63","callee=re.sub","basic block: 45:21-58:19"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/bot/baidu/baidu_unit_bot.py","call function: 19:9-19:24","call in function: reply@11-27","callee=print","basic block: 11:15-22:19"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/bot/baidu/baidu_unit_bot.py","call function: 35:13-35:34","call in function: get_token@29-36","callee=print","basic block: 35:13-36:50"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/bot/baidu/baidu_wenxin.py","call function: 93:76-93:94","call in function: reply_text@77-111","callee=json.dumps","basic block: 93:87-93:94"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/bot/claude/claude_ai_bot.py","call function: 101:19-101:60","call in function: create_new_chat@94-119","callee=json.dumps","basic block: 94:25-119:30"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/bot/claude/claude_ai_bot.py","call function: 151:23-161:14","call in function: _chat@121-222","callee=json.dumps","basic block: 159:17-161:14"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/bot/claude/claude_ai_bot.py","call function: 183:32-183:64","call in function: _chat@121-222","callee=re.sub","basic block: 183:39-183:64"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/channel/chat_channel.py","call function: 122:40-122:68","call in function: _compose_context@37-164","callee=re.sub","basic block: 120:37-123:67"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/channel/chat_channel.py","call function: 126:48-126:81","call in function: _compose_context@37-164","callee=re.sub","basic block: 124:33-126:44"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/channel/chat_channel.py","call function: 130:44-130:72","call in function: _compose_context@37-164","callee=re.sub","basic block: 129:39-130:40"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 43:53-43:68","call in function: update_chatroom@29-77","callee=json.dumps","basic block: 32:11-45:23"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 64:53-64:68","call in function: update_chatroom@29-77","callee=json.dumps","basic block: 51:38-65:71"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 64:53-64:68","call in function: get_detailed_member_info@51-65","callee=json.dumps","basic block: 51:38-65:71"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 93:51-93:66","call in function: update_friend@79-99","callee=json.dumps","basic block: 82:11-99:27"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 335:26-335:61","call in function: set_alias@321-340","callee=json.dumps","basic block: 327:11-338:8"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 371:14-371:49","call in function: accept_friend@354-374","callee=json.dumps","basic block: 354:19-372:17"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 432:14-432:49","call in function: create_chatroom@420-433","callee=json.dumps","basic block: 420:21-433:37"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 446:14-446:49","call in function: set_chatroom_name@435-447","callee=json.dumps","basic block: 435:23-447:37"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 459:31-459:46","call in function: delete_member_from_chatroom@449-460","callee=json.dumps","basic block: 449:33-460:37"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 487:31-487:48","call in function: add_member_into_chatroom@462-488","callee=json.dumps","basic block: 478:11-488:37"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/async_components/contact.py","call function: 487:31-487:48","call in function: add_member_into_chatroom@462-488","callee=json.dumps","basic block: 474:8-488:37"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 47:53-47:68","call in function: update_chatroom@33-83","callee=json.dumps","basic block: 36:11-49:23"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 68:53-68:68","call in function: update_chatroom@33-83","callee=json.dumps","basic block: 55:38-69:93"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 68:53-68:68","call in function: get_detailed_member_info@55-69","callee=json.dumps","basic block: 55:38-69:93"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 100:51-100:66","call in function: update_friend@86-106","callee=json.dumps","basic block: 89:11-106:27"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 355:26-355:61","call in function: set_alias@341-360","callee=json.dumps","basic block: 347:11-358:8"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 393:26-393:61","call in function: accept_friend@376-396","callee=json.dumps","basic block: 376:19-394:17"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 458:26-458:61","call in function: create_chatroom@446-459","callee=json.dumps","basic block: 446:21-459:37"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 473:26-473:61","call in function: set_chatroom_name@462-474","callee=json.dumps","basic block: 462:23-474:37"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 487:31-487:46","call in function: delete_member_from_chatroom@477-488","callee=json.dumps","basic block: 477:33-488:37"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 518:31-518:48","call in function: add_member_into_chatroom@491-519","callee=json.dumps","basic block: 509:11-519:37"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/components/contact.py","call function: 518:31-518:48","call in function: add_member_into_chatroom@491-519","callee=json.dumps","basic block: 505:8-519:37"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/config.py","call function: 255:20-255:55","call in function: drag_sensitive@246-267","callee=json.dumps","basic block: 255:31-255:55"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/channel/dingtalk/dingtalk_channel.py","call function: 90:18-90:36","call in function: setup_logger@89-96","callee=logging.getLogger","basic block: 89:22-96:21"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/channel/dingtalk/dingtalk_channel.py","call function: 91:19-91:41","call in function: setup_logger@89-96","callee=logging.StreamHandler","basic block: 89:22-96:21"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/channel/dingtalk/dingtalk_channel.py","call function: 93:13-93:109","call in function: setup_logger@89-96","callee=logging.Formatter","basic block: 89:22-96:21"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/channel/feishu/feishu_channel.py","call function: 81:28-81:67","call in function: send@53-97","callee=json.dumps","basic block: 78:19-83:15"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/channel/feishu/feishu_channel.py","call function: 90:28-90:67","call in function: send@53-97","callee=json.dumps","basic block: 86:23-92:15"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/channel/feishu/feishu_channel.py","call function: 109:22-109:41","call in function: fetch_access_token@100-119","callee=json.dumps","basic block: 100:28-111:38"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/channel/feishu/feishu_channel.py","call function: 167:24-167:45","call in function: POST@157-226","callee=json.dumps","basic block: 167:35-167:45"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/common/log.py","call function: 12:22-12:54","call in function: _reset_logger@5-27","callee=logging.StreamHandler","basic block: 10:5-27:34"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/common/log.py","call function: 14:9-17:9","call in function: _reset_logger@5-27","callee=logging.Formatter","basic block: 10:5-27:34"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/common/log.py","call function: 19:19-19:66","call in function: _reset_logger@5-27","callee=logging.FileHandler","basic block: 10:5-27:34"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/common/log.py","call function: 21:9-24:9","call in function: _reset_logger@5-27","callee=logging.Formatter","basic block: 10:5-27:34"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/common/log.py","call function: 31:11-31:34","call in function: _get_logger@30-34","callee=logging.getLogger","basic block: 31:11-34:14"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/log.py","call function: 9:23-9:49","call in function: __init__@8-14","callee=logging.getLogger","basic block: 8:18-14:47"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/log.py","call function: 10:32-10:52","call in function: __init__@8-14","callee=logging.NullHandler","basic block: 8:18-14:47"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/log.py","call function: 12:27-12:49","call in function: __init__@8-14","callee=logging.StreamHandler","basic block: 8:18-14:47"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/log.py","call function: 28:36-28:67","call in function: set_logging@15-33","callee=logging.FileHandler","basic block: 28:36-29:56"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/storage/messagequeue.py","call function: 29:26-29:32","call in function: __str__@27-29","callee=repr","basic block: 29:47-29:41"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/storage/messagequeue.py","call function: 29:26-29:32","call in function: listcomp@29-29","callee=repr","basic block: 29:47-29:41"
"path: /home/sixsquare/codeQL/projects/chatgpt-on-wechat/lib/itchat/storage/messagequeue.py","call function: 29:34-29:40","call in function: __str__@27-29","callee=repr","basic block: 29:47-29:41"
