"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/cheat_wrapper.py","call function: 30:16-30:49","call in function: _add_section_name@23-33","callee=re.sub","basic block: 30:16-30:49"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/cheat_wrapper.py","call function: 33:16-33:68","call in function: _add_section_name@23-33","callee=re.sub","basic block: 33:16-33:68"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/cheat_wrapper.py","call function: 66:16-66:41","call in function: cheat_wrapper@36-125","callee=re.sub","basic block: 65:25-66:41"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/cheat_wrapper.py","call function: 66:16-66:41","call in function: _sanitize_query@65-66","callee=re.sub","basic block: 65:25-66:41"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/cheat_wrapper.py","call function: 69:16-69:47","call in function: cheat_wrapper@36-125","callee=re.sub","basic block: 68:26-69:47"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/cheat_wrapper.py","call function: 69:16-69:47","call in function: _strip_hyperlink@68-69","callee=re.sub","basic block: 68:26-69:47"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/adapter/cmd.py","call function: 154:21-154:57","call in function: _get_command@139-156","callee=re.sub","basic block: 154:21-154:17"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/adapter/cmd.py","call function: 180:21-180:54","call in function: _get_command@173-182","callee=re.sub","basic block: 179:21-180:17"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/comments.py","call function: 107:41-107:75","call in function: _line_type@85-112","callee=re.match","basic block: 107:41-107:75"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/frontend/html.py","call function: 139:14-139:71","call in function: _render_html@77-150","callee=re.sub","basic block: 139:14-141:39"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/frontend/html.py","call function: 140:14-140:55","call in function: _render_html@77-150","callee=re.sub","basic block: 139:14-141:39"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 92:12-92:57","call in function: colorize_internal@45-94","callee=re.sub","basic block: 45:23-94:15"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 93:12-93:54","call in function: colorize_internal@45-94","callee=re.sub","basic block: 45:23-94:15"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 106:20-110:13","call in function: colorize_internal_firstpage_v1@97-141","callee=re.sub","basic block: 105:20-111:23"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 106:20-110:13","call in function: _colorize_line@103-132","callee=re.sub","basic block: 105:20-111:23"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 113:16-117:9","call in function: colorize_internal_firstpage_v1@97-141","callee=re.sub","basic block: 113:16-132:19"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 113:16-117:9","call in function: _colorize_line@103-132","callee=re.sub","basic block: 113:16-132:19"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 118:16-125:9","call in function: colorize_internal_firstpage_v1@97-141","callee=re.sub","basic block: 113:16-132:19"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 118:16-125:9","call in function: _colorize_line@103-132","callee=re.sub","basic block: 113:16-132:19"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 126:16-128:9","call in function: colorize_internal_firstpage_v1@97-141","callee=re.sub","basic block: 113:16-132:19"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 126:16-128:9","call in function: _colorize_line@103-132","callee=re.sub","basic block: 113:16-132:19"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 129:16-131:9","call in function: colorize_internal_firstpage_v1@97-141","callee=re.sub","basic block: 113:16-132:19"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/internal.py","call function: 129:16-131:9","call in function: _colorize_line@103-132","callee=re.sub","basic block: 113:16-132:19"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/markdown.py","call function: 25:12-25:34","call in function: _split_into_paragraphs@24-25","callee=re.split","basic block: 24:28-25:34"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/markdown.py","call function: 29:12-42:5","call in function: _colorize@28-42","callee=re.sub","basic block: 28:15-42:5"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/markdown.py","call function: 37:9-41:9","call in function: _colorize@28-42","callee=re.sub","basic block: 28:15-42:5"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/markdown.py","call function: 52:38-58:9","call in function: _format_section@45-95","callee=re.subn","basic block: 51:5-60:27"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/fmt/markdown.py","call function: 66:18-66:50","call in function: _format_section@45-95","callee=re.compile","basic block: 65:5-68:16"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/adapter/learnxiny.py","call function: 95:13-95:42","call in function: _is_block_separator@93-107","callee=re.match","basic block: 93:29-95:42"
"path: /home/sixsquare/codeQL/projects/cheat.sh/lib/adapter/learnxiny.py","call function: 96:17-96:37","call in function: _is_block_separator@93-107","callee=re.match","basic block: 96:17-96:37"
