"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/cli/extras/profiling/benchmarks.py","call function: 66:13-77:13","call in function: start_server@61-86","callee=subprocess.check_call","basic block: 65:13-77:13"
"path: /home/sixsquare/codeQL/projects/cli/extras/profiling/benchmarks.py","call function: 102:20-102:35","call in function: cmd@100-106","callee=shlex.split","basic block: 102:20-102:35"
"path: /home/sixsquare/codeQL/projects/cli/extras/packaging/linux/build.py","call function: 25:9-37:9","call in function: build_binaries@23-44","callee=subprocess.check_call","basic block: 24:9-37:9"
"path: /home/sixsquare/codeQL/projects/cli/extras/packaging/linux/build.py","call function: 75:9-95:9","call in function: build_packages@47-95","callee=subprocess.check_call","basic block: 74:9-95:9"
"path: /home/sixsquare/codeQL/projects/cli/tests/utils/__init__.py","call function: 214:24-214:39","call in function: command@213-216","callee=shlex.quote","basic block: 214:45-214:39"
"path: /home/sixsquare/codeQL/projects/cli/tests/utils/__init__.py","call function: 214:24-214:39","call in function: genexpr@214-214","callee=shlex.quote","basic block: 214:45-214:39"
"path: /home/sixsquare/codeQL/projects/cli/httpie/manager/compat.py","call function: 30:22-30:84","call in function: _check_pip_version@25-31","callee=subprocess.check_output","basic block: 29:14-31:39"
"path: /home/sixsquare/codeQL/projects/cli/httpie/manager/compat.py","call function: 30:22-30:84","call in function: _discover_system_pip@18-42","callee=subprocess.check_output","basic block: 29:14-31:39"
"path: /home/sixsquare/codeQL/projects/cli/httpie/manager/compat.py","call function: 38:24-38:43","call in function: _discover_system_pip@18-42","callee=shutil.which","basic block: 37:9-39:43"
"path: /home/sixsquare/codeQL/projects/cli/httpie/manager/compat.py","call function: 49:19-55:9","call in function: _run_pip_subprocess@45-59","callee=subprocess.run","basic block: 54:13-55:9"
"path: /home/sixsquare/codeQL/projects/cli/httpie/internal/daemons.py","call function: 29:12-29:101","call in function: _start_process@22-29","callee=subprocess.Popen","basic block: 29:12-29:101"
"path: /home/sixsquare/codeQL/projects/cli/docs/contributors/fetch.py","call function: 181:12-181:81","call in function: release_date@180-182","callee=subprocess.check_output","basic block: 180:18-182:70"
"path: /home/sixsquare/codeQL/projects/cli/httpie/output/ui/man_pages.py","call function: 24:19-29:9","call in function: is_available@16-36","callee=subprocess.run","basic block: 28:13-29:9"
"path: /home/sixsquare/codeQL/projects/cli/httpie/output/ui/man_pages.py","call function: 44:5-48:5","call in function: display_for@39-48","callee=subprocess.run","basic block: 39:17-48:5"
"path: /home/sixsquare/codeQL/projects/cli/extras/profiling/run.py","call function: 62:12-62:49","call in function: call@60-62","callee=subprocess.check_call","basic block: 60:11-62:49"
"path: /home/sixsquare/codeQL/projects/cli/extras/profiling/run.py","call function: 136:46-136:81","call in function: on_repo@89-136","callee=shlex.join","basic block: 108:25-136:82"
"path: /home/sixsquare/codeQL/projects/cli/extras/profiling/run.py","call function: 172:12-176:5","call in function: compare@168-176","callee=subprocess.check_output","basic block: 172:12-176:5"
"path: /home/sixsquare/codeQL/projects/cli/tests/test_uploads.py","call function: 96:17-102:5","call in function: stdin_processes@95-122","callee=subprocess.Popen","basic block: 95:21-119:34"
"path: /home/sixsquare/codeQL/projects/cli/tests/test_uploads.py","call function: 103:17-117:5","call in function: stdin_processes@95-122","callee=subprocess.Popen","basic block: 95:21-119:34"
