"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/core/tests/test_block_async_io.py","call function: 215:9-215:53","call in function: test_protect_loop_open@210-218","callee=open","basic block: 210:34-218:72"
"path: /home/sixsquare/codeQL/projects/core/tests/test_block_async_io.py","call function: 226:9-226:58","call in function: test_protect_loop_path_open@221-229","callee=pathlib.Path.open","basic block: 221:39-229:72"
"path: /home/sixsquare/codeQL/projects/core/tests/test_block_async_io.py","call function: 238:9-238:55","call in function: test_protect_open@232-242","callee=open","basic block: 232:29-242:68"
"path: /home/sixsquare/codeQL/projects/core/tests/test_block_async_io.py","call function: 251:9-251:60","call in function: test_protect_path_open@245-255","callee=pathlib.Path.open","basic block: 245:34-255:68"
"path: /home/sixsquare/codeQL/projects/core/tests/test_block_async_io.py","call function: 290:9-290:58","call in function: test_protect_path_write_bytes@284-294","callee=pathlib.Path.write_bytes","basic block: 284:41-294:75"
"path: /home/sixsquare/codeQL/projects/core/tests/test_block_async_io.py","call function: 303:9-303:73","call in function: test_protect_path_write_text@297-307","callee=pathlib.Path.write_text","basic block: 297:40-307:74"
"path: /home/sixsquare/codeQL/projects/core/tests/test_block_async_io.py","call function: 333:50-333:76","call in function: test_protect_open_path@329-336","callee=open","basic block: 329:34-336:68"
"path: /home/sixsquare/codeQL/projects/core/tests/test_block_async_io.py","call function: 457:9-457:55","call in function: test_open_calls_ignored_in_tests@451-461","callee=open","basic block: 453:5-461:72"
"path: /home/sixsquare/codeQL/projects/core/tests/test_config.py","call function: 49:10-49:41","call in function: create_file@47-50","callee=open","basic block: 47:17-50:12"
"path: /home/sixsquare/codeQL/projects/core/tests/test_config.py","call function: 416:10-416:46","call in function: test_load_yaml_config_raises_error_if_not_dict@414-420","callee=open","basic block: 415:5-420:52"
"path: /home/sixsquare/codeQL/projects/core/tests/test_config.py","call function: 425:10-425:46","call in function: test_load_yaml_config_raises_error_if_malformed_yaml@423-429","callee=open","basic block: 424:5-429:52"
"path: /home/sixsquare/codeQL/projects/core/tests/test_config.py","call function: 434:10-434:46","call in function: test_load_yaml_config_raises_error_if_unsafe_yaml@432-453","callee=open","basic block: 433:5-443:43"
"path: /home/sixsquare/codeQL/projects/core/tests/test_config.py","call function: 448:9-448:40","call in function: test_load_yaml_config_raises_error_if_unsafe_yaml@432-453","callee=open","basic block: 443:5-453:43"
"path: /home/sixsquare/codeQL/projects/core/tests/test_config.py","call function: 458:10-458:46","call in function: test_load_yaml_config_preserves_key_order@456-465","callee=open","basic block: 457:5-465:5"
"path: /home/sixsquare/codeQL/projects/core/tests/components/sftp_storage/test_config_flow.py","call function: 42:9-42:28","call in function: mock_process_uploaded_file@35-49","callee=tempfile.NamedTemporaryFile","basic block: 36:5-49:13"
"path: /home/sixsquare/codeQL/projects/core/tests/components/mqtt/test_config_flow.py","call function: 302:18-302:48","call in function: mock_process_uploaded_file@285-325","callee=open","basic block: 302:18-304:37"
"path: /home/sixsquare/codeQL/projects/core/tests/components/mqtt/test_config_flow.py","call function: 302:18-302:48","call in function: _mock_process_uploaded_file@298-314","callee=open","basic block: 302:18-304:37"
"path: /home/sixsquare/codeQL/projects/core/tests/components/mqtt/test_config_flow.py","call function: 306:18-306:52","call in function: mock_process_uploaded_file@285-325","callee=open","basic block: 306:18-308:41"
"path: /home/sixsquare/codeQL/projects/core/tests/components/mqtt/test_config_flow.py","call function: 306:18-306:52","call in function: _mock_process_uploaded_file@298-314","callee=open","basic block: 306:18-308:41"
"path: /home/sixsquare/codeQL/projects/core/tests/components/mqtt/test_config_flow.py","call function: 310:18-310:52","call in function: mock_process_uploaded_file@285-325","callee=open","basic block: 310:18-312:41"
"path: /home/sixsquare/codeQL/projects/core/tests/components/mqtt/test_config_flow.py","call function: 310:18-310:52","call in function: _mock_process_uploaded_file@298-314","callee=open","basic block: 310:18-312:41"
"path: /home/sixsquare/codeQL/projects/core/tests/components/mqtt/test_config_flow.py","call function: 2072:14-2072:34","call in function: test_try_connection_with_advanced_parameters@1975-2105","callee=open","basic block: 2071:19-2073:30"
"path: /home/sixsquare/codeQL/projects/core/tests/components/mqtt/test_config_flow.py","call function: 2072:14-2072:34","call in function: read_file@2071-2073","callee=open","basic block: 2071:19-2073:30"
"path: /home/sixsquare/codeQL/projects/core/tests/components/local_calendar/test_config_flow.py","call function: 48:14-48:52","call in function: mock_process_uploaded_file@38-64","callee=open","basic block: 46:9-50:41"
"path: /home/sixsquare/codeQL/projects/core/tests/components/local_calendar/test_config_flow.py","call function: 48:14-48:52","call in function: _mock_process_uploaded_file@45-50","callee=open","basic block: 46:9-50:41"
"path: /home/sixsquare/codeQL/projects/core/tests/test_core_config.py","call function: 925:10-925:29","call in function: test_config_is_allowed_path@920-952","callee=tempfile.TemporaryDirectory","basic block: 921:5-936:25"
"path: /home/sixsquare/codeQL/projects/core/tests/components/command_line/test_cover.py","call function: 110:10-110:38","call in function: test_state_value@108-164","callee=tempfile.TemporaryDirectory","basic block: 108:28-133:27"
"path: /home/sixsquare/codeQL/projects/core/tests/components/command_line/test_cover.py","call function: 427:10-427:38","call in function: test_icon_template@425-473","callee=tempfile.TemporaryDirectory","basic block: 425:30-462:27"
"path: /home/sixsquare/codeQL/projects/core/tests/components/conversation/test_default_agent.py","call function: 2686:10-2691:5","call in function: test_custom_sentences_priority@2680-2734","callee=tempfile.NamedTemporaryFile","basic block: 2681:5-2706:69"
"path: /home/sixsquare/codeQL/projects/core/tests/components/mqtt/test_discovery.py","call function: 2702:18-2702:44","call in function: test_missing_discover_abbreviations@2689-2714","callee=open","basic block: 2702:18-2710:17"
"path: /home/sixsquare/codeQL/projects/core/tests/components/mqtt/test_discovery.py","call function: 2702:18-2702:44","call in function: _add_missing@2698-2710","callee=open","basic block: 2702:18-2710:17"
"path: /home/sixsquare/codeQL/projects/core/tests/components/esphome/test_ffmpeg_proxy.py","call function: 33:10-33:63","call in function: wav_file_fixture@31-35","callee=tempfile.NamedTemporaryFile","basic block: 31:22-35:28"
"path: /home/sixsquare/codeQL/projects/core/tests/components/esphome/test_ffmpeg_proxy.py","call function: 255:10-255:38","call in function: test_max_conversions_per_device@244-289","callee=tempfile.TemporaryDirectory","basic block: 245:5-259:33"
"path: /home/sixsquare/codeQL/projects/core/tests/components/esphome/test_ffmpeg_proxy.py","call function: 302:10-302:63","call in function: test_abort_on_shutdown@292-334","callee=tempfile.NamedTemporaryFile","basic block: 293:5-326:42"
"path: /home/sixsquare/codeQL/projects/core/tests/util/test_file.py","call function: 20:10-20:41","call in function: test_write_utf8_file_atomic_private@14-32","callee=open","basic block: 14:41-21:45"
"path: /home/sixsquare/codeQL/projects/core/tests/util/test_file.py","call function: 25:10-25:41","call in function: test_write_utf8_file_atomic_private@14-32","callee=open","basic block: 22:5-26:45"
"path: /home/sixsquare/codeQL/projects/core/tests/util/test_file.py","call function: 30:10-30:41","call in function: test_write_utf8_file_atomic_private@14-32","callee=open","basic block: 27:5-31:45"
"path: /home/sixsquare/codeQL/projects/core/tests/components/tts/test_init.py","call function: 2080:10-2080:63","call in function: test_stream_override@2071-2099","callee=tempfile.NamedTemporaryFile","basic block: 2072:5-2094:49"
"path: /home/sixsquare/codeQL/projects/core/tests/components/tts/test_init.py","call function: 2121:10-2121:63","call in function: test_stream_override_with_conversion@2102-2139","callee=tempfile.NamedTemporaryFile","basic block: 2103:5-2134:49"
"path: /home/sixsquare/codeQL/projects/core/tests/components/assist_pipeline/test_init.py","call function: 420:10-420:38","call in function: test_pipeline_save_audio@412-488","callee=tempfile.TemporaryDirectory","basic block: 413:5-427:9"
"path: /home/sixsquare/codeQL/projects/core/tests/components/assist_pipeline/test_init.py","call function: 501:10-501:38","call in function: test_pipeline_saved_audio_with_device_id@491-543","callee=tempfile.TemporaryDirectory","basic block: 492:5-508:9"
"path: /home/sixsquare/codeQL/projects/core/tests/components/assist_pipeline/test_init.py","call function: 554:10-554:38","call in function: test_pipeline_saved_audio_write_error@546-592","callee=tempfile.TemporaryDirectory","basic block: 547:5-561:9"
"path: /home/sixsquare/codeQL/projects/core/tests/components/assist_pipeline/test_init.py","call function: 603:10-603:38","call in function: test_pipeline_saved_audio_empty_queue@595-655","callee=tempfile.TemporaryDirectory","basic block: 596:5-610:9"
"path: /home/sixsquare/codeQL/projects/core/tests/components/shell_command/test_init.py","call function: 36:10-36:38","call in function: test_executing_service@34-47","callee=tempfile.TemporaryDirectory","basic block: 34:34-42:9"
"path: /home/sixsquare/codeQL/projects/core/tests/components/shell_command/test_init.py","call function: 139:10-139:38","call in function: test_subprocess_error@136-154","callee=tempfile.TemporaryDirectory","basic block: 136:33-145:9"
"path: /home/sixsquare/codeQL/projects/core/tests/components/kira/test_init.py","call function: 45:16-45:33","call in function: work_dir@43-47","callee=tempfile.mkdtemp","basic block: 44:5-47:47"
"path: /home/sixsquare/codeQL/projects/core/tests/components/image_upload/test_init.py","call function: 31:9-31:37","call in function: test_upload_image@20-95","callee=tempfile.TemporaryDirectory","basic block: 21:5-34:68"
"path: /home/sixsquare/codeQL/projects/core/tests/components/media_extractor/test_init.py","call function: 300:14-300:55","call in function: test_cookiefile_detection@282-336","callee=open","basic block: 300:14-306:13"
"path: /home/sixsquare/codeQL/projects/core/tests/components/media_extractor/test_init.py","call function: 300:14-300:55","call in function: _write_cookies_file@296-306","callee=open","basic block: 300:14-306:13"
"path: /home/sixsquare/codeQL/projects/core/tests/util/test_json.py","call function: 28:10-28:42","call in function: test_load_bad_data@25-32","callee=open","basic block: 25:24-32:54"
"path: /home/sixsquare/codeQL/projects/core/tests/util/test_json.py","call function: 58:10-58:42","call in function: test_load_json_value_data@55-69","callee=open","basic block: 55:31-61:36"
"path: /home/sixsquare/codeQL/projects/core/tests/util/test_json.py","call function: 75:10-75:42","call in function: test_load_json_object_data@72-83","callee=open","basic block: 72:32-78:51"
"path: /home/sixsquare/codeQL/projects/core/tests/util/test_json.py","call function: 89:10-89:42","call in function: test_load_json_array_data@86-97","callee=open","basic block: 86:31-92:53"
"path: /home/sixsquare/codeQL/projects/core/tests/components/media_source/test_local_source.py","call function: 25:10-25:29","call in function: temp_dir@23-33","callee=tempfile.TemporaryDirectory","basic block: 23:20-31:66"
"path: /home/sixsquare/codeQL/projects/core/tests/components/image_upload/test_media_source.py","call function: 30:9-30:37","call in function: __upload_test_image@25-44","callee=tempfile.TemporaryDirectory","basic block: 26:5-33:68"
"path: /home/sixsquare/codeQL/projects/core/tests/components/command_line/test_notify.py","call function: 76:10-76:38","call in function: test_command_line_output@74-100","callee=tempfile.TemporaryDirectory","basic block: 74:36-95:64"
"path: /home/sixsquare/codeQL/projects/core/tests/components/command_line/test_notify.py","call function: 136:10-136:38","call in function: test_command_template@133-161","callee=tempfile.TemporaryDirectory","basic block: 133:33-156:64"
"path: /home/sixsquare/codeQL/projects/core/tests/components/signal_messenger/test_notify.py","call function: 204:9-206:9","call in function: test_send_message_styled_with_attachment@193-216","callee=tempfile.NamedTemporaryFile","basic block: 194:5-212:50"
"path: /home/sixsquare/codeQL/projects/core/tests/components/signal_messenger/test_notify.py","call function: 179:9-181:9","call in function: test_send_message_with_attachment@168-190","callee=tempfile.NamedTemporaryFile","basic block: 169:5-187:50"
"path: /home/sixsquare/codeQL/projects/core/tests/test_runner.py","call function: 207:14-207:51","call in function: test_ensure_single_execution_success@198-216","callee=open","basic block: 205:9-209:45"
"path: /home/sixsquare/codeQL/projects/core/tests/test_runner.py","call function: 227:10-227:53","call in function: test_ensure_single_execution_blocked@219-249","callee=open","basic block: 220:5-240:38"
"path: /home/sixsquare/codeQL/projects/core/tests/test_runner.py","call function: 259:10-259:53","call in function: test_ensure_single_execution_corrupt_lock_file@252-272","callee=open","basic block: 253:5-266:38"
