"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4120:14-4120:31","call in function: test_write_to_filename@4116-4121","callee=open","basic block: 4116:32-4121:66"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4127:14-4127:31","call in function: test_write_to_filename_with_encoding@4123-4134","callee=open","basic block: 4123:46-4134:55"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4131:14-4131:31","call in function: test_write_to_filename_with_encoding@4123-4134","callee=open","basic block: 4123:46-4134:55"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4138:14-4138:30","call in function: test_write_to_filename_as_unicode@4136-4145","callee=open","basic block: 4136:43-4145:64"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4144:14-4144:31","call in function: test_write_to_filename_as_unicode@4136-4145","callee=open","basic block: 4136:43-4145:64"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4150:14-4150:48","call in function: test_write_to_text_file@4147-4166","callee=open","basic block: 4147:33-4166:64"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4153:14-4153:31","call in function: test_write_to_text_file@4147-4166","callee=open","basic block: 4147:33-4166:64"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4156:14-4156:76","call in function: test_write_to_text_file@4147-4166","callee=open","basic block: 4147:33-4166:64"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4159:14-4159:31","call in function: test_write_to_text_file@4147-4166","callee=open","basic block: 4147:33-4166:64"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4162:14-4162:53","call in function: test_write_to_text_file@4147-4166","callee=open","basic block: 4147:33-4166:64"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4165:14-4165:31","call in function: test_write_to_text_file@4147-4166","callee=open","basic block: 4147:33-4166:64"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4171:14-4171:31","call in function: test_write_to_binary_file@4168-4175","callee=open","basic block: 4168:35-4175:66"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4174:14-4174:31","call in function: test_write_to_binary_file@4168-4175","callee=open","basic block: 4168:35-4175:66"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4180:14-4180:31","call in function: test_write_to_binary_file_with_encoding@4177-4192","callee=open","basic block: 4177:49-4192:54"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4183:14-4183:31","call in function: test_write_to_binary_file_with_encoding@4177-4192","callee=open","basic block: 4177:49-4192:54"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4186:14-4186:31","call in function: test_write_to_binary_file_with_encoding@4177-4192","callee=open","basic block: 4177:49-4192:54"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4189:14-4189:31","call in function: test_write_to_binary_file_with_encoding@4177-4192","callee=open","basic block: 4177:49-4192:54"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4198:14-4198:31","call in function: test_write_to_binary_file_with_bom@4194-4212","callee=open","basic block: 4194:44-4212:61"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4201:14-4201:31","call in function: test_write_to_binary_file_with_bom@4194-4212","callee=open","basic block: 4194:44-4212:61"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4206:14-4206:44","call in function: test_write_to_binary_file_with_bom@4194-4212","callee=open","basic block: 4194:44-4212:61"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4209:14-4209:31","call in function: test_write_to_binary_file_with_bom@4194-4212","callee=open","basic block: 4194:44-4212:61"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4612:30-4612:63","call in function: test_xml_c14n2@4531-4629","callee=open","basic block: 4612:30-4614:33"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4613:34-4613:46","call in function: test_xml_c14n2@4531-4629","callee=open","basic block: 4612:30-4614:33"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 4623:26-4623:84","call in function: test_xml_c14n2@4531-4629","callee=open","basic block: 4616:28-4625:50"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 799:14-799:33","call in function: test_custom_builder@796-855","callee=open","basic block: 796:29-855:14"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 657:14-657:39","call in function: test_iterparse@577-726","callee=open","basic block: 577:24-726:36"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 753:14-753:39","call in function: test_iterparse_close@728-777","callee=open","basic block: 728:30-777:22"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 532:14-532:33","call in function: test_parsefile@510-553","callee=open","basic block: 510:24-553:26"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 602:14-602:39","call in function: test_iterparse@577-726","callee=open","basic block: 577:24-726:36"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 690:14-690:31","call in function: test_iterparse@577-726","callee=open","basic block: 577:24-726:36"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 737:14-737:39","call in function: test_iterparse_close@728-777","callee=open","basic block: 728:30-777:22"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 770:14-770:39","call in function: test_iterparse_close@728-777","callee=open","basic block: 728:30-777:22"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 822:14-822:36","call in function: test_custom_builder@796-855","callee=open","basic block: 796:29-855:14"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 891:14-891:39","call in function: test_children@888-923","callee=open","basic block: 888:23-923:40"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 1954:18-1954:33","call in function: _my_loader@1950-1957","callee=open","basic block: 1954:18-1955:44"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_xml_etree.py","call function: 2453:14-2453:41","call in function: test_expat224_utf8_bug_file@2452-2463","callee=open","basic block: 2452:37-2463:45"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_zoneinfo/test_zoneinfo.py","call function: 1627:14-1627:62","call in function: test_from_file@1625-1642","callee=open","basic block: 1625:24-1638:39"
"path: /home/sixsquare/codeQL/projects/cpython/Lib/test/test_zoneinfo/test_zoneinfo.py","call function: 1658:22-1658:70","call in function: test_pickle_after_from_file@1644-1670","callee=open","basic block: 1649:13-1670:42"
