"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/crawl4ai/deploy/docker/api.py","call function: 576:24-576:30","call in function: handle_crawl_job@563-605","callee=uuid.uuid4","basic block: 564:5-605:31"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/adaptive_crawler copy.py","call function: 830:25-830:72","call in function: select_links_for_expansion@799-917","callee=hashlib.md5","basic block: 830:25-833:54"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/adaptive_crawler copy.py","call function: 849:29-849:71","call in function: select_links_for_expansion@799-917","callee=hashlib.md5","basic block: 848:17-851:46"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/adaptive_crawler.py","call function: 835:25-835:72","call in function: select_links_for_expansion@804-922","callee=hashlib.md5","basic block: 835:25-838:54"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/adaptive_crawler.py","call function: 854:29-854:71","call in function: select_links_for_expansion@804-922","callee=hashlib.md5","basic block: 853:17-856:46"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_crawler_strategy.back.py","call function: 410:54-410:65","call in function: create_session@397-419","callee=uuid.uuid4","basic block: 410:50-410:66"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_crawler_strategy.back.py","call function: 739:33-739:62","call in function: _crawl_web@496-1130","callee=hashlib.sha256","basic block: 739:33-739:62"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_crawler_strategy.back.py","call function: 739:48-739:61","call in function: _crawl_web@496-1130","callee=os.urandom","basic block: 739:59-739:61"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_crawler_strategy.py","call function: 418:54-418:65","call in function: create_session@405-427","callee=uuid.uuid4","basic block: 418:50-418:66"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_crawler_strategy.py","call function: 672:33-672:62","call in function: _crawl_web@504-1073","callee=hashlib.sha256","basic block: 672:33-672:62"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_crawler_strategy.py","call function: 672:48-672:61","call in function: _crawl_web@504-1073","callee=os.urandom","basic block: 672:59-672:61"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_dispatcher.py","call function: 393:31-393:42","call in function: run_urls@374-469","callee=uuid.uuid4","basic block: 393:31-393:42"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_dispatcher.py","call function: 547:31-547:42","call in function: run_urls_stream@530-620","callee=uuid.uuid4","basic block: 547:31-547:42"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_dispatcher.py","call function: 761:31-761:42","call in function: run_urls@746-772","callee=uuid.uuid4","basic block: 761:31-761:42"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_url_seeder.py","call function: 243:13-243:38","call in function: _cache_path@242-244","callee=hashlib.sha1","basic block: 242:21-244:51"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_url_seeder.py","call function: 711:18-711:46","call in function: _from_cc@709-762","callee=hashlib.md5","basic block: 709:24-721:24"
"path: /home/sixsquare/codeQL/projects/crawl4ai/crawl4ai/async_url_seeder.py","call function: 775:18-775:46","call in function: _from_sitemaps@765-828","callee=hashlib.md5","basic block: 765:30-778:24"
"path: /home/sixsquare/codeQL/projects/crawl4ai/docs/examples/url_seeder/bbc_sport_research_assistant.py","call function: 81:12-81:40","call in function: get_cache_key@78-81","callee=hashlib.md5","basic block: 78:19-81:52"
