"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/add_crew_to_flow.py","call function: 11:12-11:42","call in function: add_crew_to_flow@8-30","callee=pathlib.Path.exists","basic block: 8:22-11:42"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/config.py","call function: 102:12-102:32","call in function: __init__@97-110","callee=pathlib.Path.is_file","basic block: 97:18-102:32"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/config.py","call function: 104:22-104:42","call in function: __init__@97-110","callee=pathlib.Path.open","basic block: 104:39-104:42"
"path: /home/sixsquare/codeQL/projects/crewAI/tests/conftest.py","call function: 16:10-16:38","call in function: setup_test_environment@14-42","callee=tempfile.TemporaryDirectory","basic block: 15:5-22:35"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/create_crew.py","call function: 67:8-67:27","call in function: create_folder_structure@16-90","callee=pathlib.Path.exists","basic block: 65:23-67:27"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/create_crew.py","call function: 74:9-74:34","call in function: create_folder_structure@16-90","callee=shutil.rmtree","basic block: 73:9-74:34"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/create_crew.py","call function: 82:5-82:35","call in function: create_folder_structure@16-90","callee=pathlib.Path.mkdir","basic block: 76:5-90:47"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/create_flow.py","call function: 16:8-16:28","call in function: create_flow@8-99","callee=pathlib.Path.exists","basic block: 8:17-16:28"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/create_flow.py","call function: 31:10-31:41","call in function: create_flow@8-99","callee=open","basic block: 21:17-65:40"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/create_flow.py","call function: 51:18-51:54","call in function: create_flow@8-99","callee=open","basic block: 50:9-51:54"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/create_flow.py","call function: 51:18-51:54","call in function: process_file@46-62","callee=open","basic block: 50:9-51:54"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/create_flow.py","call function: 61:14-61:32","call in function: create_flow@8-99","callee=open","basic block: 52:17-62:31"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/cli/create_flow.py","call function: 61:14-61:32","call in function: process_file@46-62","callee=open","basic block: 52:17-62:31"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/project/crew_base.py","call function: 149:22-149:61","call in function: CrewBase@19-298","callee=open","basic block: 147:23-149:61"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/project/crew_base.py","call function: 149:22-149:61","call in function: load_yaml@147-153","callee=open","basic block: 147:23-149:61"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/knowledge/source/crew_docling_source.py","call function: 114:24-114:42","call in function: validate_content@100-121","callee=pathlib.Path.exists","basic block: 113:34-114:42"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/knowledge/source/csv_knowledge_source.py","call function: 15:18-15:55","call in function: load_content@11-21","callee=open","basic block: 14:13-18:33"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/rag/chromadb/factory.py","call function: 27:5-27:43","call in function: create_client@13-44","callee=os.makedirs","basic block: 13:19-44:5"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/rag/chromadb/factory.py","call function: 29:16-29:68","call in function: create_client@13-44","callee=os.path.join","basic block: 13:19-44:5"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/utilities/file_handler.py","call function: 20:26-20:60","call in function: _initialize_path@18-29","callee=os.path.join","basic block: 20:26-20:22"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/utilities/file_handler.py","call function: 38:22-38:60","call in function: log@31-60","callee=open","basic block: 38:39-38:60"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/utilities/file_handler.py","call function: 42:30-42:68","call in function: log@31-60","callee=open","basic block: 42:47-42:68"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/utilities/file_handler.py","call function: 49:26-49:64","call in function: log@31-60","callee=open","basic block: 49:43-49:64"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/utilities/file_handler.py","call function: 56:22-56:60","call in function: log@31-60","callee=open","basic block: 56:39-56:60"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/utilities/file_handler.py","call function: 74:26-74:61","call in function: __init__@63-74","callee=os.path.join","basic block: 74:26-74:22"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/utilities/file_handler.py","call function: 89:14-89:39","call in function: save@82-90","callee=open","basic block: 82:14-90:35"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/utilities/file_handler.py","call function: 99:16-99:45","call in function: load@92-108","callee=os.path.exists","basic block: 92:14-99:45"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/utilities/file_handler.py","call function: 102:14-102:39","call in function: load@92-108","callee=open","basic block: 102:14-104:29"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/flow/flow_visualizer.py","call function: 128:22-128:68","call in function: plot@48-139","callee=open","basic block: 128:47-128:68"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/flow/flow_visualizer.py","call function: 167:27-167:51","call in function: _generate_final_html@141-187","callee=os.path.dirname","basic block: 167:27-167:51"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/flow/flow_visualizer.py","call function: 171:20-171:48","call in function: _generate_final_html@141-187","callee=os.path.exists","basic block: 171:35-171:48"
"path: /home/sixsquare/codeQL/projects/crewAI/src/crewai/flow/flow_visualizer.py","call function: 173:20-173:44","call in function: _generate_final_html@141-187","callee=os.path.exists","basic block: 173:35-173:44"
