"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/d2l-zh/ci/submit-job.py","call function: 175:20-175:40","call in function: main@126-198","callee=random.randint","basic block: 175:9-178:32"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/tensorflow.py","call function: 606:21-606:52","call in function: seq_data_iter_random@601-625","callee=random.randint","basic block: 601:26-620:59"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/tensorflow.py","call function: 632:14-632:41","call in function: seq_data_iter_sequential@627-642","callee=random.randint","basic block: 627:30-639:57"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/torch.py","call function: 634:21-634:52","call in function: seq_data_iter_random@629-653","callee=random.randint","basic block: 629:26-648:59"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/torch.py","call function: 660:14-660:41","call in function: seq_data_iter_sequential@655-669","callee=random.randint","basic block: 655:30-666:57"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/torch.py","call function: 2069:27-2069:60","call in function: get_centers_and_contexts@2058-2075","callee=random.randint","basic block: 2068:13-2074:59"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/torch.py","call function: 2338:8-2338:22","call in function: _get_next_sentence@2336-2344","callee=random.random","basic block: 2336:24-2338:28"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/torch.py","call function: 2372:12-2372:26","call in function: _replace_mlm_tokens@2359-2384","callee=random.random","basic block: 2370:24-2372:32"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/torch.py","call function: 2376:16-2376:30","call in function: _replace_mlm_tokens@2359-2384","callee=random.random","basic block: 2376:16-2376:36"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/paddle.py","call function: 647:21-647:52","call in function: seq_data_iter_random@642-666","callee=random.randint","basic block: 642:26-661:59"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/paddle.py","call function: 673:14-673:41","call in function: seq_data_iter_sequential@668-682","callee=random.randint","basic block: 668:30-679:57"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/paddle.py","call function: 2078:27-2078:60","call in function: get_centers_and_contexts@2067-2084","callee=random.randint","basic block: 2077:13-2083:59"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/paddle.py","call function: 2348:8-2348:22","call in function: _get_next_sentence@2346-2354","callee=random.random","basic block: 2346:24-2348:28"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/paddle.py","call function: 2382:12-2382:26","call in function: _replace_mlm_tokens@2369-2394","callee=random.random","basic block: 2380:24-2382:32"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/paddle.py","call function: 2386:16-2386:30","call in function: _replace_mlm_tokens@2369-2394","callee=random.random","basic block: 2386:16-2386:36"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/mxnet.py","call function: 586:21-586:52","call in function: seq_data_iter_random@581-605","callee=random.randint","basic block: 581:26-600:59"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/mxnet.py","call function: 612:14-612:41","call in function: seq_data_iter_sequential@607-621","callee=random.randint","basic block: 607:30-618:57"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/mxnet.py","call function: 1964:27-1964:60","call in function: get_centers_and_contexts@1953-1970","callee=random.randint","basic block: 1963:13-1969:59"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/mxnet.py","call function: 2209:8-2209:22","call in function: _get_next_sentence@2207-2215","callee=random.random","basic block: 2207:24-2209:28"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/mxnet.py","call function: 2243:12-2243:26","call in function: _replace_mlm_tokens@2230-2255","callee=random.random","basic block: 2241:24-2243:32"
"path: /home/sixsquare/codeQL/projects/d2l-zh/d2l/mxnet.py","call function: 2247:16-2247:30","call in function: _replace_mlm_tokens@2230-2255","callee=random.random","basic block: 2247:16-2247:36"
