"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/devops-exercises/coding/python/binary_search.py","call function: 38:5-38:67","call in function: main@30-38","callee=print","basic block: 31:5-38:67"
"path: /home/sixsquare/codeQL/projects/devops-exercises/topics/flask_container_ci2/app/main.py","call function: 48:30-48:70","call in function: pretty_json@47-50","callee=json.dumps","basic block: 47:17-50:19"
"path: /home/sixsquare/codeQL/projects/devops-exercises/coding/python/merge_sort.py","call function: 41:5-41:42","call in function: main@35-43","callee=print","basic block: 36:5-43:40"
"path: /home/sixsquare/codeQL/projects/devops-exercises/coding/python/merge_sort.py","call function: 43:5-43:40","call in function: main@35-43","callee=print","basic block: 36:5-43:40"
"path: /home/sixsquare/codeQL/projects/devops-exercises/scripts/random_question.py","call function: 44:13-44:27","call in function: main@6-54","callee=print","basic block: 44:13-44:27"
"path: /home/sixsquare/codeQL/projects/devops-exercises/scripts/random_question.py","call function: 45:13-45:53","call in function: main@6-54","callee=print","basic block: 45:13-45:53"
"path: /home/sixsquare/codeQL/projects/devops-exercises/scripts/random_question.py","call function: 47:13-47:32","call in function: main@6-54","callee=print","basic block: 47:13-47:32"
"path: /home/sixsquare/codeQL/projects/devops-exercises/scripts/random_question.py","call function: 48:13-48:64","call in function: main@6-54","callee=print","basic block: 48:13-48:64"
"path: /home/sixsquare/codeQL/projects/devops-exercises/scripts/random_question.py","call function: 54:5-54:42","call in function: main@6-54","callee=print","basic block: 51:9-54:42"
"path: /home/sixsquare/codeQL/projects/devops-exercises/topics/flask_container_ci/app/main.py","call function: 50:30-50:70","call in function: pretty_json@49-52","callee=json.dumps","basic block: 49:17-52:19"
"path: /home/sixsquare/codeQL/projects/devops-exercises/scripts/aws s3 event triggering/s3-lambda/s3-lambda.py","call function: 7:5-7:16","call in function: lambda_handler@5-38","callee=print","basic block: 5:20-38:5"
"path: /home/sixsquare/codeQL/projects/devops-exercises/scripts/aws s3 event triggering/s3-lambda/s3-lambda.py","call function: 14:5-14:72","call in function: lambda_handler@5-38","callee=print","basic block: 5:20-38:5"
"path: /home/sixsquare/codeQL/projects/devops-exercises/scripts/aws s3 event triggering/s3-lambda/s3-lambda.py","call function: 37:17-37:70","call in function: lambda_handler@5-38","callee=json.dumps","basic block: 5:20-38:5"
