"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/__init__.py","call function: 8:17-8:58","call in function: base_dir@7-8","callee=os.path.abspath","basic block: 8:12-8:66"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/__init__.py","call function: 8:33-8:57","call in function: base_dir@7-8","callee=os.path.dirname","basic block: 8:12-8:66"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/__init__.py","call function: 12:12-12:58","call in function: app_root_dir@11-12","callee=os.path.join","basic block: 11:18-12:58"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/__init__.py","call function: 16:12-16:53","call in function: doc_root_dir@15-16","callee=os.path.join","basic block: 16:12-16:53"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/__init__.py","call function: 20:12-20:58","call in function: resource_dir@19-20","callee=os.path.join","basic block: 19:18-20:58"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/__init__.py","call function: 24:12-24:53","call in function: template_dir@23-24","callee=os.path.join","basic block: 24:12-24:53"
"path: /home/sixsquare/codeQL/projects/diagrams/diagrams/__init__.py","call function: 167:9-167:32","call in function: __exit__@164-168","callee=os.remove","basic block: 164:18-168:24"
"path: /home/sixsquare/codeQL/projects/diagrams/diagrams/__init__.py","call function: 434:24-434:65","call in function: _load_icon@433-435","callee=os.path.abspath","basic block: 433:20-435:71"
"path: /home/sixsquare/codeQL/projects/diagrams/diagrams/__init__.py","call function: 434:40-434:64","call in function: _load_icon@433-435","callee=os.path.dirname","basic block: 433:20-435:71"
"path: /home/sixsquare/codeQL/projects/diagrams/diagrams/__init__.py","call function: 435:16-435:71","call in function: _load_icon@433-435","callee=os.path.join","basic block: 433:20-435:71"
"path: /home/sixsquare/codeQL/projects/diagrams/diagrams/cli.py","call function: 27:14-27:41","call in function: run@5-30","callee=open","basic block: 26:9-28:26"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 35:16-35:37","call in function: gen_classes@28-41","callee=os.path.splitext","basic block: 34:25-37:43"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 35:16-35:37","call in function: _gen_class_meta@34-37","callee=os.path.splitext","basic block: 34:25-37:43"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 54:16-54:37","call in function: gen_apidoc@44-67","callee=os.path.splitext","basic block: 53:25-56:19"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 54:16-54:37","call in function: _gen_class_name@53-56","callee=os.path.splitext","basic block: 53:25-56:19"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 63:29-63:61","call in function: gen_apidoc@44-67","callee=os.path.join","basic block: 61:13-66:79"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 72:16-72:59","call in function: make_module@70-74","callee=os.path.join","basic block: 70:17-74:24"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 73:10-73:29","call in function: make_module@70-74","callee=open","basic block: 70:17-74:24"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 79:16-79:56","call in function: make_apidoc@77-81","callee=os.path.join","basic block: 77:17-81:24"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 80:10-80:29","call in function: make_apidoc@77-81","callee=open","basic block: 77:17-81:24"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 88:27-88:52","call in function: generate@84-106","callee=os.walk","basic block: 84:14-88:52"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 95:15-95:36","call in function: generate@84-106","callee=os.path.basename","basic block: 88:9-96:21"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/generate.py","call function: 99:25-99:51","call in function: generate@84-106","callee=os.path.relpath","basic block: 99:25-103:22"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/resource.py","call function: 170:20-170:42","call in function: clean_png@165-176","callee=os.path.join","basic block: 168:17-172:37"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/resource.py","call function: 170:20-170:42","call in function: _rename@168-172","callee=os.path.join","basic block: 168:17-172:37"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/resource.py","call function: 171:20-171:42","call in function: clean_png@165-176","callee=os.path.join","basic block: 168:17-172:37"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/resource.py","call function: 171:20-171:42","call in function: _rename@168-172","callee=os.path.join","basic block: 168:17-172:37"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/resource.py","call function: 172:9-172:37","call in function: clean_png@165-176","callee=os.rename","basic block: 168:17-172:37"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/resource.py","call function: 172:9-172:37","call in function: _rename@168-172","callee=os.rename","basic block: 168:17-172:37"
"path: /home/sixsquare/codeQL/projects/diagrams/scripts/resource.py","call function: 174:27-174:52","call in function: clean_png@165-176","callee=os.walk","basic block: 165:15-174:52"
