"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/django/django/contrib/postgres/fields/array.py","call function: 147:20-147:36","call in function: to_python@144-149","callee=json.loads","basic block: 147:20-148:17"
"path: /home/sixsquare/codeQL/projects/django/django/test/client.py","call function: 952:30-952:63","call in function: _parse_json@945-953","callee=json.loads","basic block: 952:30-952:26"
"path: /home/sixsquare/codeQL/projects/django/django/db/models/fields/composite.py","call function: 151:20-151:36","call in function: to_python@148-156","callee=json.loads","basic block: 151:20-152:17"
"path: /home/sixsquare/codeQL/projects/django/django/contrib/messages/storage/cookie.py","call function: 73:16-73:69","call in function: loads@72-73","callee=json.loads","basic block: 72:15-73:69"
"path: /home/sixsquare/codeQL/projects/django/django/core/cache/backends/db.py","call function: 96:25-96:70","call in function: get_many@55-99","callee=pickle.loads","basic block: 95:25-97:40"
"path: /home/sixsquare/codeQL/projects/django/django/core/cache/backends/filebased.py","call function: 37:28-37:66","call in function: get@32-40","callee=pickle.loads","basic block: 37:28-37:66"
"path: /home/sixsquare/codeQL/projects/django/django/core/cache/backends/filebased.py","call function: 70:42-70:80","call in function: touch@62-77","callee=pickle.loads","basic block: 70:42-70:80"
"path: /home/sixsquare/codeQL/projects/django/django/core/cache/backends/filebased.py","call function: 154:19-154:32","call in function: _is_expired@149-161","callee=pickle.load","basic block: 154:31-154:32"
"path: /home/sixsquare/codeQL/projects/django/django/forms/fields.py","call function: 745:21-745:36","call in function: to_python@721-762","callee=PIL.Image.open","basic block: 745:32-745:36"
"path: /home/sixsquare/codeQL/projects/django/django/forms/fields.py","call function: 1370:25-1370:59","call in function: to_python@1362-1380","callee=json.loads","basic block: 1370:43-1370:59"
"path: /home/sixsquare/codeQL/projects/django/django/forms/fields.py","call function: 1388:20-1388:53","call in function: bound_data@1382-1390","callee=json.loads","basic block: 1388:37-1388:53"
"path: /home/sixsquare/codeQL/projects/django/django/contrib/gis/serializers/geojson.py","call function: 63:32-63:65","call in function: get_dump_object@43-66","callee=json.loads","basic block: 63:32-63:28"
"path: /home/sixsquare/codeQL/projects/django/django/contrib/postgres/forms/hstore.py","call function: 31:25-31:41","call in function: to_python@26-49","callee=json.loads","basic block: 31:36-31:41"
"path: /home/sixsquare/codeQL/projects/django/django/contrib/postgres/fields/hstore.py","call function: 44:21-44:37","call in function: to_python@42-45","callee=json.loads","basic block: 44:21-44:17"
"path: /home/sixsquare/codeQL/projects/django/django/core/serializers/jsonl.py","call function: 66:23-66:38","call in function: _get_lines@61-68","callee=json.loads","basic block: 66:34-66:38"
"path: /home/sixsquare/codeQL/projects/django/django/core/serializers/json.py","call function: 70:23-70:50","call in function: __init__@64-73","callee=json.loads","basic block: 70:34-70:50"
"path: /home/sixsquare/codeQL/projects/django/django/db/models/fields/json.py","call function: 92:20-92:54","call in function: from_db_value@84-94","callee=json.loads","basic block: 92:38-92:54"
"path: /home/sixsquare/codeQL/projects/django/django/db/models/fields/json.py","call function: 512:25-512:41","call in function: resolve_expression_parameter@500-525","callee=json.loads","basic block: 512:25-514:50"
"path: /home/sixsquare/codeQL/projects/django/django/db/models/fields/json.py","call function: 537:25-537:41","call in function: process_rhs@529-551","callee=json.loads","basic block: 536:17-538:50"
"path: /home/sixsquare/codeQL/projects/django/django/db/models/fields/json.py","call function: 614:27-614:43","call in function: process_rhs@611-615","callee=json.loads","basic block: 614:49-614:43"
"path: /home/sixsquare/codeQL/projects/django/django/db/models/fields/json.py","call function: 614:27-614:43","call in function: listcomp@614-614","callee=json.loads","basic block: 614:49-614:43"
"path: /home/sixsquare/codeQL/projects/django/django/core/cache/backends/locmem.py","call function: 43:16-43:36","call in function: get@35-43","callee=pickle.loads","basic block: 41:23-43:36"
"path: /home/sixsquare/codeQL/projects/django/django/core/cache/backends/locmem.py","call function: 73:21-73:41","call in function: incr@66-78","callee=pickle.loads","basic block: 72:23-78:24"
"path: /home/sixsquare/codeQL/projects/django/scripts/manage_translations.py","call function: 56:9-56:57","call in function: get_api_token@51-60","callee=configparser.ConfigParser.read","basic block: 55:18-57:17"
"path: /home/sixsquare/codeQL/projects/django/django/contrib/admin/models.py","call function: 125:34-125:64","call in function: get_change_message@118-180","callee=json.loads","basic block: 125:34-125:64"
"path: /home/sixsquare/codeQL/projects/django/django/core/serializers/pyyaml.py","call function: 77:23-77:58","call in function: __init__@72-80","callee=yaml.load","basic block: 77:41-77:58"
"path: /home/sixsquare/codeQL/projects/django/django/contrib/postgres/fields/ranges.py","call function: 102:20-102:36","call in function: to_python@99-109","callee=json.loads","basic block: 102:20-103:40"
"path: /home/sixsquare/codeQL/projects/django/django/core/cache/backends/redis.py","call function: 28:20-28:37","call in function: loads@24-28","callee=pickle.loads","basic block: 27:9-28:37"
"path: /home/sixsquare/codeQL/projects/django/django/test/runner.py","call function: 206:9-206:39","call in function: _confirm_picklable@200-206","callee=pickle.loads","basic block: 200:28-206:39"
"path: /home/sixsquare/codeQL/projects/django/django/contrib/messages/storage/session.py","call function: 51:20-51:55","call in function: deserialize_messages@49-52","callee=json.loads","basic block: 51:20-51:55"
"path: /home/sixsquare/codeQL/projects/django/django/core/signing.py","call function: 129:16-129:49","call in function: loads@128-129","callee=json.loads","basic block: 128:15-129:49"
"path: /home/sixsquare/codeQL/projects/django/django/contrib/gis/gdal/raster/source.py","call function: 84:24-84:43","call in function: __init__@77-213","callee=json.loads","basic block: 84:24-84:20"
"path: /home/sixsquare/codeQL/projects/django/django/contrib/staticfiles/storage.py","call function: 484:22-484:40","call in function: load_manifest@479-494","callee=json.loads","basic block: 484:33-484:40"
