"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/docling/docling/datamodel/accelerator_options.py","call function: 34:61-36:9","call in function: validate_device@32-40","callee=re.match","basic block: 34:61-36:9"
"path: /home/sixsquare/codeQL/projects/docling/docling/utils/accelerator_utils.py","call function: 44:10-44:46","call in function: decide_device@9-83","callee=str.startswith","basic block: 44:10-44:46"
"path: /home/sixsquare/codeQL/projects/docling/docling/models/factories/base_factory.py","call function: 101:51-103:13","call in function: load_from_plugins@90-115","callee=str.startswith","basic block: 101:51-103:13"
"path: /home/sixsquare/codeQL/projects/docling/docling/backend/asciidoc_backend.py","call function: 291:16-291:37","call in function: _is_title@290-291","callee=re.match","basic block: 290:19-291:37"
"path: /home/sixsquare/codeQL/projects/docling/docling/backend/asciidoc_backend.py","call function: 300:16-300:41","call in function: _is_section_header@299-300","callee=re.match","basic block: 299:28-300:41"
"path: /home/sixsquare/codeQL/projects/docling/docling/backend/asciidoc_backend.py","call function: 304:17-304:47","call in function: _parse_section_header@303-314","callee=re.match","basic block: 303:31-314:9"
"path: /home/sixsquare/codeQL/projects/docling/docling/backend/asciidoc_backend.py","call function: 319:16-319:59","call in function: _is_list_item@318-319","callee=re.match","basic block: 318:23-319:59"
"path: /home/sixsquare/codeQL/projects/docling/docling/backend/asciidoc_backend.py","call function: 325:17-325:60","call in function: _parse_list_item@322-355","callee=re.match","basic block: 322:26-326:16"
"path: /home/sixsquare/codeQL/projects/docling/docling/backend/asciidoc_backend.py","call function: 360:16-360:41","call in function: _is_table_line@359-360","callee=re.match","basic block: 359:24-360:41"
"path: /home/sixsquare/codeQL/projects/docling/docling/backend/asciidoc_backend.py","call function: 401:16-401:42","call in function: _is_picture@400-401","callee=re.match","basic block: 400:21-401:42"
"path: /home/sixsquare/codeQL/projects/docling/docling/backend/asciidoc_backend.py","call function: 409:16-409:55","call in function: _parse_picture@404-424","callee=re.match","basic block: 404:24-410:15"
"path: /home/sixsquare/codeQL/projects/docling/docling/backend/asciidoc_backend.py","call function: 429:16-429:41","call in function: _is_caption@428-429","callee=re.match","basic block: 428:21-429:41"
"path: /home/sixsquare/codeQL/projects/docling/docling/backend/asciidoc_backend.py","call function: 433:16-433:41","call in function: _parse_caption@432-438","callee=re.match","basic block: 432:24-434:15"
"path: /home/sixsquare/codeQL/projects/docling/docling/models/code_formula_model.py","call function: 178:17-178:64","call in function: _extract_code_language@156-184","callee=re.match","basic block: 156:32-179:16"
"path: /home/sixsquare/codeQL/projects/docling/docling/datamodel/document.py","call function: 349:29-349:71","call in function: _guess_from_content@341-374","callee=re.search","basic block: 348:27-350:28"
"path: /home/sixsquare/codeQL/projects/docling/docling/datamodel/document.py","call function: 415:23-415:79","call in function: _detect_html_xhtml@401-437","callee=re.sub","basic block: 402:9-418:43"
"path: /home/sixsquare/codeQL/projects/docling/docling/datamodel/document.py","call function: 418:12-418:43","call in function: _detect_html_xhtml@401-437","callee=re.match","basic block: 402:9-418:43"
"path: /home/sixsquare/codeQL/projects/docling/docling/datamodel/document.py","call function: 424:12-428:9","call in function: _detect_html_xhtml@401-437","callee=re.match","basic block: 424:12-428:9"
"path: /home/sixsquare/codeQL/projects/docling/docling/datamodel/document.py","call function: 431:13-433:9","call in function: _detect_html_xhtml@401-437","callee=re.compile","basic block: 431:13-434:32"
"path: /home/sixsquare/codeQL/projects/docling/docling/utils/glm_utils.py","call function: 106:12-106:59","call in function: to_docling_document@70-329","callee=re.match","basic block: 104:16-106:59"
