"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/face_recognition/examples/blink_detection.py","call function: 74:25-74:44","call in function: main@21-84","callee=print","basic block: 74:25-76:47"
"path: /home/sixsquare/codeQL/projects/face_recognition/examples/blink_detection.py","call function: 78:29-78:48","call in function: main@21-84","callee=print","basic block: 77:38-78:48"
"path: /home/sixsquare/codeQL/projects/face_recognition/face_recognition/face_detection_cli.py","call function: 14:5-14:70","call in function: print_result@12-14","callee=print","basic block: 12:18-14:70"
"path: /home/sixsquare/codeQL/projects/face_recognition/face_recognition/face_recognition_cli.py","call function: 37:9-37:58","call in function: print_result@35-39","callee=print","basic block: 37:9-37:58"
"path: /home/sixsquare/codeQL/projects/face_recognition/face_recognition/face_recognition_cli.py","call function: 39:9-39:45","call in function: print_result@35-39","callee=print","basic block: 39:9-39:45"
"path: /home/sixsquare/codeQL/projects/face_recognition/examples/face_recognition_knn.py","call function: 87:21-87:170","call in function: train@46-108","callee=print","basic block: 87:85-87:170"
"path: /home/sixsquare/codeQL/projects/face_recognition/examples/face_recognition_knn.py","call function: 97:13-97:66","call in function: train@46-108","callee=print","basic block: 97:13-97:66"
"path: /home/sixsquare/codeQL/projects/face_recognition/examples/facerec_from_webcam_multiprocessing.py","call function: 41:5-41:112","call in function: capture@35-54","callee=print","basic block: 35:13-41:112"
"path: /home/sixsquare/codeQL/projects/face_recognition/examples/facerec_ipcamera_knn.py","call function: 92:21-92:170","call in function: train@51-113","callee=print","basic block: 92:85-92:170"
"path: /home/sixsquare/codeQL/projects/face_recognition/examples/facerec_ipcamera_knn.py","call function: 102:13-102:66","call in function: train@51-113","callee=print","basic block: 102:13-102:66"
