"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/gpu_stats/_base.py","call function: 72:14-72:40","call in function: set_exclude_devices@59-76","callee=logging.getLogger","basic block: 59:25-74:18"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/gpu_stats/_base.py","call function: 91:47-91:73","call in function: __init__@88-109","callee=logging.getLogger","basic block: 91:47-91:73"
"path: /home/sixsquare/codeQL/projects/faceswap/plugins/train/trainer/_base.py","call function: 344:13-344:40","call in function: _print_loss@330-347","callee=print","basic block: 344:38-344:40"
"path: /home/sixsquare/codeQL/projects/faceswap/plugins/train/trainer/_base.py","call function: 429:9-429:17","call in function: toggle_mask_display@424-431","callee=print","basic block: 426:12-430:71"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/model/backup_restore.py","call function: 100:9-100:17","call in function: snapshot_models@88-118","callee=print","basic block: 88:25-104:38"
"path: /home/sixsquare/codeQL/projects/faceswap/tools/preview/control_panels.py","call function: 312:16-312:36","call in function: _format_from_display@299-312","callee=str.replace","basic block: 299:30-312:44"
"path: /home/sixsquare/codeQL/projects/faceswap/tools/preview/control_panels.py","call function: 327:16-327:36","call in function: _format_to_display@315-327","callee=str.replace","basic block: 315:28-327:62"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/gui/control_helper.py","call function: 1064:20-1065:50","call in function: _get_multi_help_items@1043-1068","callee=re.sub","basic block: 1065:53-1065:96"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/gui/control_helper.py","call function: 1064:20-1065:50","call in function: dictcomp@1064-1065","callee=re.sub","basic block: 1065:53-1065:96"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/gui/display_analysis.py","call function: 278:13-278:60","call in function: _save_session@273-291","callee=print","basic block: 277:13-279:18"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/gui/display_graph.py","call function: 403:9-403:43","call in function: save_fig@387-405","callee=print","basic block: 387:18-405:26"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/gui/display_command.py","call function: 80:9-80:45","call in function: save_items@71-80","callee=print","basic block: 76:20-80:45"
"path: /home/sixsquare/codeQL/projects/faceswap/tests/lib/gui/stats/event_reader_test.py","call function: 690:16-690:32","call in function: test__parse_outputs@672-698","callee=json.dumps","basic block: 672:29-696:43"
"path: /home/sixsquare/codeQL/projects/faceswap/faceswap.py","call function: 29:5-29:19","call in function: _bad_args@27-31","callee=print","basic block: 27:16-31:15"
"path: /home/sixsquare/codeQL/projects/faceswap/tools/effmpeg/effmpeg.py","call function: 566:21-566:40","call in function: parse_time@564-572","callee=str.replace","basic block: 564:20-572:21"
"path: /home/sixsquare/codeQL/projects/faceswap/plugins/train/model/_base/io.py","call function: 192:9-192:17","call in function: save@170-219","callee=print","basic block: 170:14-194:24"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/image.py","call function: 644:16-644:50","call in function: tiff_write_meta@627-689","callee=json.dumps","basic block: 644:16-644:12"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/logger.py","call function: 180:25-183:33","call in function: format@164-186","callee=re.sub","basic block: 180:25-180:21"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/logger.py","call function: 339:18-339:36","call in function: _set_root_logger@326-341","callee=logging.getLogger","basic block: 326:22-341:21"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/logger.py","call function: 385:9-385:62","call in function: log_setup@344-385","callee=logging.info","basic block: 383:21-385:62"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/logger.py","call function: 419:15-419:76","call in function: _file_handler@388-424","callee=logging.handlers.RotatingFileHandler","basic block: 418:21-420:20"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/logger.py","call function: 452:23-452:55","call in function: _stream_handler@427-457","callee=logging.StreamHandler","basic block: 452:23-452:19"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/logger.py","call function: 477:15-477:47","call in function: _stream_setup_handler@460-480","callee=logging.StreamHandler","basic block: 460:27-480:18"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/logger.py","call function: 497:17-497:52","call in function: _crash_handler@483-500","callee=logging.StreamHandler","basic block: 483:20-500:20"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/training/lr_finder.py","call function: 183:9-183:15","call in function: find@168-195","callee=print","basic block: 179:23-187:24"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/gui/menu.py","call function: 268:9-268:19","call in function: _output_sysinfo@256-269","callee=print","basic block: 266:9-269:35"
"path: /home/sixsquare/codeQL/projects/faceswap/plugins/convert/writer/patch.py","call function: 260:19-261:47","call in function: pre_encode@225-278","callee=json.dumps","basic block: 258:13-262:34"
"path: /home/sixsquare/codeQL/projects/faceswap/plugins/plugin_loader.py","call function: 187:16-187:37","call in function: _import@172-194","callee=str.replace","basic block: 172:17-189:30"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/training/preview_cv.py","call function: 168:13-168:21","call in function: _check_keypress@155-172","callee=print","basic block: 168:13-169:55"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/training/preview_tk.py","call function: 514:9-514:17","call in function: save_preview@494-518","callee=print","basic block: 511:15-517:30"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/training/preview_tk.py","call function: 891:13-891:21","call in function: _on_keypress@877-895","callee=print","basic block: 891:13-892:55"
"path: /home/sixsquare/codeQL/projects/faceswap/lib/serializer.py","call function: 203:16-203:41","call in function: _marshal@202-203","callee=json.dumps","basic block: 202:18-203:57"
"path: /home/sixsquare/codeQL/projects/faceswap/tests/simple_tests.py","call function: 35:5-35:49","call in function: print_colored@28-35","callee=print","basic block: 34:11-35:49"
"path: /home/sixsquare/codeQL/projects/faceswap/tests/simple_tests.py","call function: 57:5-57:34","call in function: run_test@53-66","callee=print","basic block: 53:14-60:18"
"path: /home/sixsquare/codeQL/projects/faceswap/setup.py","call function: 454:22-454:52","call in function: _get_installed_conda_packages@443-461","callee=re.sub","basic block: 454:22-454:52"
"path: /home/sixsquare/codeQL/projects/faceswap/setup.py","call function: 454:22-454:52","call in function: listcomp@454-454","callee=re.sub","basic block: 454:22-454:52"
"path: /home/sixsquare/codeQL/projects/faceswap/setup.py","call function: 1225:9-1225:29","call in function: _display_cursor@1216-1225","callee=print","basic block: 1224:16-1225:29"
"path: /home/sixsquare/codeQL/projects/faceswap/setup.py","call function: 1287:9-1287:21","call in function: __call__@1263-1288","callee=print","basic block: 1282:20-1288:25"
"path: /home/sixsquare/codeQL/projects/faceswap/setup.py","call function: 1292:9-1292:59","call in function: close@1290-1296","callee=print","basic block: 1290:15-1296:18"
"path: /home/sixsquare/codeQL/projects/faceswap/scripts/train.py","call function: 351:17-351:25","call in function: _run_training_cycle@311-368","callee=print","basic block: 351:17-352:48"
