"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/fastapi/tests/test_ambiguous_params.py","call function: 29:47-29:62","call in function: test_no_annotated_defaults@11-30","callee=fastapi.param_functions.Query","basic block: 12:10-29:21"
"path: /home/sixsquare/codeQL/projects/fastapi/tests/test_ambiguous_params.py","call function: 38:39-38:49","call in function: test_multiple_annotations@33-75","callee=fastapi.param_functions.Query","basic block: 34:11-67:38"
"path: /home/sixsquare/codeQL/projects/fastapi/tests/test_ambiguous_params.py","call function: 38:52-38:63","call in function: test_multiple_annotations@33-75","callee=fastapi.param_functions.Query","basic block: 34:11-67:38"
"path: /home/sixsquare/codeQL/projects/fastapi/tests/test_ambiguous_params.py","call function: 62:44-62:62","call in function: test_multiple_annotations@33-75","callee=fastapi.param_functions.Query","basic block: 34:11-67:38"
"path: /home/sixsquare/codeQL/projects/fastapi/tests/test_repeated_cookie_headers.py","call function: 8:5-8:54","call in function: set_cookie@7-9","callee=fastapi.Response.set_cookie","basic block: 7:19-9:13"
"path: /home/sixsquare/codeQL/projects/fastapi/tests/test_repeated_cookie_headers.py","call function: 8:5-8:54","call in function: set_cookie@7-9","callee=starlette.responses.Response.set_cookie","basic block: 7:19-9:13"
"path: /home/sixsquare/codeQL/projects/fastapi/docs_src/response_cookies/tutorial002.py","call function: 8:5-8:77","call in function: create_cookie@7-9","callee=fastapi.Response.set_cookie","basic block: 7:19-9:64"
"path: /home/sixsquare/codeQL/projects/fastapi/docs_src/response_cookies/tutorial002.py","call function: 8:5-8:77","call in function: create_cookie@7-9","callee=starlette.responses.Response.set_cookie","basic block: 7:19-9:64"
"path: /home/sixsquare/codeQL/projects/fastapi/docs_src/additional_responses/tutorial002.py","call function: 28:16-28:64","call in function: read_item@26-30","callee=starlette.responses.FileResponse","basic block: 28:16-28:64"
"path: /home/sixsquare/codeQL/projects/fastapi/docs_src/additional_responses/tutorial004.py","call function: 30:16-30:64","call in function: read_item@28-32","callee=starlette.responses.FileResponse","basic block: 30:16-30:64"
"path: /home/sixsquare/codeQL/projects/fastapi/docs_src/custom_response/tutorial009.py","call function: 10:12-10:39","call in function: main@9-10","callee=starlette.responses.FileResponse","basic block: 10:12-10:39"
