"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/auth.py","call function: 25:20-25:50","call in function: login_required@19-29","callee=flask.redirect","basic block: 25:20-25:50"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/auth.py","call function: 25:20-25:50","call in function: wrapped_view@23-27","callee=flask.redirect","basic block: 25:20-25:50"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/auth.py","call function: 25:29-25:49","call in function: login_required@19-29","callee=flask.url_for","basic block: 25:20-25:50"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/auth.py","call function: 25:29-25:49","call in function: wrapped_view@23-27","callee=flask.url_for","basic block: 25:20-25:50"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/auth.py","call function: 77:24-77:54","call in function: register@47-81","callee=flask.redirect","basic block: 77:24-77:54"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/auth.py","call function: 77:33-77:53","call in function: register@47-81","callee=flask.url_for","basic block: 77:24-77:54"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/auth.py","call function: 105:20-105:45","call in function: login@85-109","callee=flask.redirect","basic block: 103:13-105:45"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/auth.py","call function: 105:29-105:44","call in function: login@85-109","callee=flask.url_for","basic block: 103:13-105:45"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/auth.py","call function: 116:12-116:37","call in function: logout@113-116","callee=flask.redirect","basic block: 114:5-116:37"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/auth.py","call function: 116:21-116:36","call in function: logout@113-116","callee=flask.url_for","basic block: 114:5-116:37"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/blog.py","call function: 81:20-81:50","call in function: create@62-83","callee=flask.redirect","basic block: 75:18-81:50"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/blog.py","call function: 81:29-81:49","call in function: create@62-83","callee=flask.url_for","basic block: 75:18-81:50"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/blog.py","call function: 108:20-108:50","call in function: update@88-110","callee=flask.redirect","basic block: 103:18-108:50"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/blog.py","call function: 108:29-108:49","call in function: update@88-110","callee=flask.url_for","basic block: 103:18-108:50"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/blog.py","call function: 125:12-125:42","call in function: delete@115-125","callee=flask.redirect","basic block: 115:12-125:42"
"path: /home/sixsquare/codeQL/projects/flask/examples/tutorial/flaskr/blog.py","call function: 125:21-125:41","call in function: delete@115-125","callee=flask.url_for","basic block: 115:12-125:42"
"path: /home/sixsquare/codeQL/projects/flask/src/flask/sansio/app.py","call function: 953:16-957:9","call in function: redirect@941-957","callee=werkzeug.utils.redirect","basic block: 941:18-957:9"
"path: /home/sixsquare/codeQL/projects/flask/src/flask/helpers.py","call function: 270:12-270:63","call in function: redirect@249-270","callee=werkzeug.utils.redirect","basic block: 270:12-270:63"
"path: /home/sixsquare/codeQL/projects/flask/src/flask/sessions.py","call function: 370:17-378:17","call in function: save_session@351-399","callee=werkzeug.wrappers.Response.delete_cookie","basic block: 370:17-379:43"
"path: /home/sixsquare/codeQL/projects/flask/src/flask/sessions.py","call function: 388:9-398:9","call in function: save_session@351-399","callee=werkzeug.wrappers.Response.set_cookie","basic block: 386:19-399:35"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_appctx.py","call function: 17:14-17:35","call in function: test_basic_url_generation@8-18","callee=flask.url_for","basic block: 8:31-18:41"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_appctx.py","call function: 24:13-24:34","call in function: test_url_generation_requires_server_name@21-24","callee=flask.url_for","basic block: 21:46-24:34"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_appctx.py","call function: 29:9-29:30","call in function: test_url_generation_without_context_fails@27-29","callee=flask.url_for","basic block: 28:10-29:30"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_converters.py","call function: 26:16-26:47","call in function: test_custom_converters@8-26","callee=flask.url_for","basic block: 23:5-26:59"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_regression.py","call function: 14:27-14:63","call in function: test_aborting@4-30","callee=flask.redirect","basic block: 14:15-14:64"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_regression.py","call function: 14:27-14:63","call in function: index@13-14","callee=flask.redirect","basic block: 14:15-14:64"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_regression.py","call function: 14:42-14:62","call in function: test_aborting@4-30","callee=flask.url_for","basic block: 14:15-14:64"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_regression.py","call function: 14:42-14:62","call in function: index@13-14","callee=flask.url_for","basic block: 14:15-14:64"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 35:14-35:49","call in function: test_send_file@34-43","callee=flask.send_file","basic block: 34:24-36:36"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 54:14-54:49","call in function: test_static_file@45-90","callee=flask.send_file","basic block: 50:9-55:47"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 66:14-66:49","call in function: test_static_file@45-90","callee=flask.send_file","basic block: 62:9-67:47"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 88:18-88:53","call in function: test_static_file@45-90","callee=flask.send_file","basic block: 84:13-89:49"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 108:16-108:52","call in function: test_url_for_with_anchor@103-108","callee=flask.url_for","basic block: 103:34-108:65"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 116:13-116:67","call in function: test_url_for_with_scheme@110-118","callee=flask.url_for","basic block: 110:34-117:35"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 124:15-124:53","call in function: test_url_for_with_scheme_not_external@120-129","callee=flask.url_for","basic block: 120:47-125:42"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 129:13-129:68","call in function: test_url_for_with_scheme_not_external@120-129","callee=flask.url_for","basic block: 125:9-129:68"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 136:16-136:53","call in function: test_url_for_with_alternating_schemes@131-141","callee=flask.url_for","basic block: 131:47-136:76"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 138:13-138:67","call in function: test_url_for_with_alternating_schemes@131-141","callee=flask.url_for","basic block: 136:9-139:35"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 141:16-141:53","call in function: test_url_for_with_alternating_schemes@131-141","callee=flask.url_for","basic block: 137:9-141:76"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 160:16-160:53","call in function: test_url_with_method@143-162","callee=flask.url_for","basic block: 143:30-160:67"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 161:16-161:60","call in function: test_url_with_method@143-162","callee=flask.url_for","basic block: 160:9-161:76"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 162:16-162:54","call in function: test_url_with_method@143-162","callee=flask.url_for","basic block: 161:9-162:74"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 169:16-169:47","call in function: test_url_for_with_self@164-169","callee=flask.url_for","basic block: 164:32-169:55"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 173:16-173:55","call in function: test_redirect_no_app@172-175","callee=flask.redirect","basic block: 173:16-174:51"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_helpers.py","call function: 185:9-185:31","call in function: test_redirect_with_app@178-185","callee=flask.redirect","basic block: 178:28-185:31"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 164:16-164:38","call in function: test_blueprint_url_processors@151-173","callee=flask.url_for","basic block: 164:16-164:38"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 164:16-164:38","call in function: index@163-164","callee=flask.url_for","basic block: 164:16-164:38"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 168:16-168:38","call in function: test_blueprint_url_processors@151-173","callee=flask.url_for","basic block: 168:16-168:38"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 168:16-168:38","call in function: about@167-168","callee=flask.url_for","basic block: 168:16-168:38"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 210:13-210:62","call in function: test_templates_and_static@176-220","callee=flask.url_for","basic block: 206:51-211:39"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 269:16-269:42","call in function: test_dotted_names_from_app@264-278","callee=flask.url_for","basic block: 269:16-269:42"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 269:16-269:42","call in function: app_index@268-269","callee=flask.url_for","basic block: 269:16-269:42"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 273:16-273:41","call in function: test_dotted_names_from_app@264-278","callee=flask.url_for","basic block: 273:16-273:41"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 273:16-273:41","call in function: index@272-273","callee=flask.url_for","basic block: 273:16-273:41"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 862:16-862:37","call in function: test_app_url_processors@847-871","callee=flask.url_for","basic block: 862:16-862:37"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 862:16-862:37","call in function: index@861-862","callee=flask.url_for","basic block: 862:16-862:37"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 866:16-866:37","call in function: test_app_url_processors@847-871","callee=flask.url_for","basic block: 866:16-866:37"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_blueprints.py","call function: 866:16-866:37","call in function: about@865-866","callee=flask.url_for","basic block: 866:16-866:37"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_reqctx.py","call function: 76:13-76:50","call in function: test_proper_test_request_context@63-104","callee=flask.url_for","basic block: 63:38-77:51"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_reqctx.py","call function: 82:13-82:48","call in function: test_proper_test_request_context@63-104","callee=flask.url_for","basic block: 75:9-83:55"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_signals.py","call function: 143:16-143:39","call in function: test_flash_signal@139-160","callee=flask.redirect","basic block: 142:9-143:39"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_signals.py","call function: 143:16-143:39","call in function: index@141-143","callee=flask.redirect","basic block: 142:9-143:39"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_testing.py","call function: 145:16-145:40","call in function: test_redirect_session@141-155","callee=flask.redirect","basic block: 144:37-145:40"
"path: /home/sixsquare/codeQL/projects/flask/tests/test_testing.py","call function: 145:16-145:40","call in function: index@143-145","callee=flask.redirect","basic block: 144:37-145:40"
