"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 64:17-64:36","call in function: load_config@29-74","callee=os.path.exists","basic block: 64:17-64:36"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 66:18-66:45","call in function: load_config@29-74","callee=open","basic block: 65:9-66:45"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 87:12-87:33","call in function: is_rtl_filename@77-88","callee=os.path.basename","basic block: 77:21-88:119"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 213:17-213:44","call in function: lint_file@196-393","callee=open","basic block: 196:15-213:44"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 484:18-484:59","call in function: main@437-594","callee=os.path.dirname","basic block: 438:5-496:98"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 484:34-484:58","call in function: main@437-594","callee=os.path.abspath","basic block: 438:5-496:98"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 487:23-487:71","call in function: main@437-594","callee=os.path.join","basic block: 438:5-496:98"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 496:29-496:47","call in function: main@437-594","callee=os.path.normpath","basic block: 496:53-496:47"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 496:29-496:47","call in function: genexpr@496-496","callee=os.path.normpath","basic block: 496:53-496:47"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 507:10-507:51","call in function: main@437-594","callee=open","basic block: 504:18-510:44"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 513:36-513:63","call in function: main@437-594","callee=os.path.normpath","basic block: 510:13-516:50"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 516:16-516:50","call in function: main@437-594","callee=os.path.isdir","basic block: 510:13-516:50"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 519:39-519:67","call in function: main@437-594","callee=os.walk","basic block: 519:39-519:67"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 526:41-526:80","call in function: main@437-594","callee=os.path.normpath","basic block: 526:41-531:57"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 526:58-526:79","call in function: main@437-594","callee=os.path.join","basic block: 526:41-531:57"
"path: /home/sixsquare/codeQL/projects/free-programming-books/scripts/rtl_ltr_linter.py","call function: 586:13-586:36","call in function: main@437-594","callee=os.remove","basic block: 586:13-586:36"
