"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/freqtrade/freqtrade/freqai/RL/BaseEnvironment.py","call function: 224:30-224:81","call in function: reset@213-244","callee=random.randint","basic block: 223:34-225:32"
"path: /home/sixsquare/codeQL/projects/freqtrade/freqtrade/rpc/api_server/ws/channel.py","call function: 37:57-37:63","call in function: __init__@30-55","callee=uuid.uuid4","basic block: 37:57-37:71"
"path: /home/sixsquare/codeQL/projects/freqtrade/freqtrade/configuration/deploy_config.py","call function: 213:37-213:55","call in function: ask_user_config@44-216","callee=secrets.token_hex","basic block: 211:30-216:18"
"path: /home/sixsquare/codeQL/projects/freqtrade/freqtrade/configuration/deploy_config.py","call function: 214:38-214:62","call in function: ask_user_config@44-216","callee=secrets.token_urlsafe","basic block: 211:30-216:18"
"path: /home/sixsquare/codeQL/projects/freqtrade/freqtrade/rpc/api_server/deps.py","call function: 26:26-26:32","call in function: get_rpc@23-36","callee=uuid.uuid4","basic block: 26:22-30:22"
"path: /home/sixsquare/codeQL/projects/freqtrade/freqtrade/freqai/data_kitchen.py","call function: 172:21-172:42","call in function: make_train_test_datasets@128-211","callee=random.randint","basic block: 172:21-186:24"
"path: /home/sixsquare/codeQL/projects/freqtrade/freqtrade/freqai/data_kitchen.py","call function: 173:21-173:42","call in function: make_train_test_datasets@128-211","callee=random.randint","basic block: 172:21-186:24"
"path: /home/sixsquare/codeQL/projects/freqtrade/tests/conftest.py","call function: 140:13-140:43","call in function: generate_trades_history@126-168","callee=numpy.random.randint","basic block: 140:82-140:76"
"path: /home/sixsquare/codeQL/projects/freqtrade/tests/conftest.py","call function: 140:13-140:43","call in function: listcomp@139-140","callee=numpy.random.randint","basic block: 140:82-140:76"
"path: /home/sixsquare/codeQL/projects/freqtrade/tests/conftest.py","call function: 140:48-140:74","call in function: generate_trades_history@126-168","callee=numpy.random.randint","basic block: 140:82-140:76"
"path: /home/sixsquare/codeQL/projects/freqtrade/tests/conftest.py","call function: 140:48-140:74","call in function: listcomp@139-140","callee=numpy.random.randint","basic block: 140:82-140:76"
