"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/core/default/disk_execution_env.py","call function: 63:13-69:9","call in function: popen@62-70","callee=subprocess.Popen","basic block: 62:15-70:16"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/core/default/disk_execution_env.py","call function: 76:13-83:9","call in function: run@72-111","callee=subprocess.Popen","basic block: 72:13-87:12"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/core/git.py","call function: 11:12-11:30","call in function: is_git_installed@10-11","callee=shutil.which","basic block: 11:12-11:42"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/core/git.py","call function: 16:9-21:9","call in function: is_git_repo@14-23","callee=subprocess.run","basic block: 14:17-23:5"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/core/git.py","call function: 27:5-27:45","call in function: init_git_repo@26-27","callee=subprocess.run","basic block: 26:19-27:45"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/core/git.py","call function: 32:9-37:9","call in function: has_uncommitted_changes@30-38","callee=subprocess.run","basic block: 30:29-38:5"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/core/git.py","call function: 45:9-47:9","call in function: filter_files_with_uncommitted_changes@41-51","callee=subprocess.run","basic block: 42:5-51:65"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/core/git.py","call function: 55:5-55:52","call in function: stage_files@54-55","callee=subprocess.run","basic block: 54:17-55:52"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/core/git.py","call function: 59:11-65:5","call in function: filter_by_gitignore@58-68","callee=subprocess.run","basic block: 58:25-68:51"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/applications/cli/file_selector.py","call function: 236:17-236:58","call in function: open_with_default_editor@212-247","callee=subprocess.run","basic block: 236:33-236:58"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/applications/cli/file_selector.py","call function: 243:17-243:51","call in function: open_with_default_editor@212-247","callee=subprocess.run","basic block: 243:33-243:51"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/scripts/legacy_benchmark.py","call function: 50:23-63:13","call in function: main@22-94","callee=subprocess.Popen","basic block: 46:13-69:19"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/scripts/legacy_benchmark.py","call function: 83:13-92:13","call in function: main@22-94","callee=subprocess.run","basic block: 71:9-92:13"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/gpt_engineer/applications/cli/main.py","call function: 256:18-260:9","call in function: get_installed_packages@254-264","callee=subprocess.run","basic block: 257:30-260:9"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/tests/test_install.py","call function: 35:9-37:9","call in function: venv_setup_teardown@19-49","callee=subprocess.run","basic block: 36:40-37:9"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/tests/test_install.py","call function: 40:9-40:82","call in function: venv_setup_teardown@19-49","callee=subprocess.run","basic block: 40:51-40:82"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/tests/test_install.py","call function: 64:14-64:80","call in function: test_installation@52-69","callee=subprocess.run","basic block: 58:9-68:30"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/tests/test_install.py","call function: 78:14-80:5","call in function: test_cli_execution@72-85","callee=subprocess.run","basic block: 73:5-84:30"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/tests/test_install.py","call function: 96:12-102:5","call in function: test_installed_main_execution@89-107","callee=subprocess.Popen","basic block: 89:35-107:24"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/tests/core/test_git.py","call function: 41:13-45:13","call in function: test_stage_files@28-49","callee=subprocess.run","basic block: 29:10-48:25"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/tests/core/test_git.py","call function: 72:9-72:60","call in function: test_filter_by_uncommitted_changes@63-81","callee=subprocess.run","basic block: 64:10-81:9"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/tests/core/test_git.py","call function: 73:9-73:65","call in function: test_filter_by_uncommitted_changes@63-81","callee=subprocess.run","basic block: 64:10-81:9"
"path: /home/sixsquare/codeQL/projects/gpt-engineer/tests/core/test_git.py","call function: 92:9-92:60","call in function: test_filter_by_uncommitted_changes_ignore_staged_files@84-95","callee=subprocess.run","basic block: 85:10-95:86"
