"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/AIUncensored.py","call function: 34:21-38:9","call in function: calculate_signature@31-39","callee=hmac.new","basic block: 31:29-39:24"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/Ails.py","call function: 33:30-33:41","call in function: create_async_generator@21-77","callee=uuid.uuid4","basic block: 22:9-67:50"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/Ails.py","call function: 83:19-83:54","call in function: _hash@80-83","callee=hashlib.sha256","basic block: 80:11-83:67"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/AmigoChat.py","call function: 145:20-145:31","call in function: generate_chat_id@143-145","callee=uuid.uuid4","basic block: 144:9-145:32"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/AmigoChat.py","call function: 164:27-164:38","call in function: create_async_generator@148-251","callee=uuid.uuid4","basic block: 149:9-166:19"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/AmigoChat.py","call function: 251:35-251:46","call in function: create_async_generator@148-251","callee=uuid.uuid4","basic block: 251:31-251:27"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/AllenAI.py","call function: 23:44-23:50","call in function: __init__@17-23","callee=uuid.uuid4","basic block: 23:40-23:36"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/AllenAI.py","call function: 99:45-99:51","call in function: create_async_generator@70-216","callee=uuid.uuid4","basic block: 95:12-127:42"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/AllenAI.py","call function: 99:45-99:51","call in function: create_async_generator@70-216","callee=uuid.uuid4","basic block: 99:20-127:42"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/hf_space/BlackForestLabs_Flux1KontextDev.py","call function: 79:42-79:53","call in function: create_async_generator@60-147","callee=uuid.uuid4","basic block: 79:42-79:57"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/hf_space/BlackForestLabs_Flux1KontextDev.py","call function: 80:26-80:37","call in function: create_async_generator@60-147","callee=uuid.uuid4","basic block: 79:13-84:20"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/hf_space/BlackForestLabs_Flux1Dev.py","call function: 76:108-76:119","call in function: create_async_generator@54-118","callee=uuid.uuid4","basic block: 55:9-77:49"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/ChatGptt.py","call function: 67:42-67:54","call in function: create_async_generator@25-75","callee=os.urandom","basic block: 55:22-75:36"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/ChatGpt.py","call function: 24:23-24:34","call in function: format_conversation@19-42","callee=uuid.uuid4","basic block: 22:9-40:10"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/ChatGpt.py","call function: 129:33-129:44","call in function: create_completion@108-233","callee=uuid.uuid4","basic block: 120:22-146:38"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/ChatGpt.py","call function: 171:38-171:49","call in function: create_completion@108-233","callee=uuid.uuid4","basic block: 161:22-211:41"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/ChatGpt.py","call function: 189:41-189:52","call in function: create_completion@108-233","callee=uuid.uuid4","basic block: 161:22-211:41"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/ChatGptEs.py","call function: 106:21-106:33","call in function: create_async_generator@33-137","callee=os.urandom","basic block: 106:21-128:38"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/DDG.py","call function: 78:23-78:53","call in function: generate_x_vqd_hash_1@75-90","callee=hashlib.sha256","basic block: 75:31-90:29"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/DDG.py","call function: 86:33-86:60","call in function: generate_x_vqd_hash_1@75-90","callee=hashlib.md5","basic block: 75:31-90:29"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/hf_space/DeepseekAI_JanusPro7b.py","call function: 94:24-94:35","call in function: create_async_generator@69-165","callee=uuid.uuid4","basic block: 94:24-96:30"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/hf_space/DeepseekAI_JanusPro7b.py","call function: 94:108-94:119","call in function: create_async_generator@69-165","callee=uuid.uuid4","basic block: 94:70-96:30"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/FlowGpt.py","call function: 53:21-53:46","call in function: create_async_generator@40-101","callee=hashlib.md5","basic block: 41:9-78:33"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/Free2GPT.py","call function: 67:12-67:35","call in function: generate_signature@65-67","callee=hashlib.sha256","basic block: 65:24-67:47"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/FreeGpt.py","call function: 72:12-72:40","call in function: generate_signature@70-72","callee=hashlib.sha256","basic block: 70:24-72:52"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/GPROChat.py","call function: 24:21-24:62","call in function: generate_signature@21-25","callee=hashlib.sha256","basic block: 21:28-25:24"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/GLM.py","call function: 42:23-42:34","call in function: create_async_generator@31-81","callee=uuid.uuid4","basic block: 32:9-63:49"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/needs_auth/GigaChat.py","call function: 104:63-104:74","call in function: create_async_generator@71-140","callee=uuid.uuid4","basic block: 102:28-110:32"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/needs_auth/Grok.py","call function: 184:89-184:100","call in function: create_authed@159-276","callee=uuid.uuid4","basic block: 179:16-185:41"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/LambdaChat.py","call function: 66:32-66:43","call in function: create_async_generator@41-191","callee=uuid.uuid4","basic block: 66:17-65:19"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/Liaobots.py","call function: 356:35-356:46","call in function: create_async_generator@320-453","callee=uuid.uuid4","basic block: 321:9-374:39"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/LegacyLMArena.py","call function: 460:74-460:85","call in function: create_async_generator@334-617","callee=uuid.uuid4","basic block: 460:74-460:85"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/needs_auth/hf/HuggingChat.py","call function: 86:36-86:47","call in function: on_auth_async@64-90","callee=uuid.uuid4","basic block: 84:19-90:13"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/not_working/MagickPen.py","call function: 41:21-41:58","call in function: fetch_api_credentials@25-50","callee=hashlib.md5","basic block: 33:24-45:40"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/needs_auth/LMArena.py","call function: 585:33-585:44","call in function: create_async_generator@496-674","callee=uuid.uuid4","basic block: 585:29-608:70"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/needs_auth/LMArena.py","call function: 586:35-586:46","call in function: create_async_generator@496-674","callee=uuid.uuid4","basic block: 585:29-608:70"
"path: /home/sixsquare/codeQL/projects/gpt4free/g4f/Provider/needs_auth/LMArena.py","call function: 587:39-587:50","call in function: create_async_generator@496-674","callee=uuid.uuid4","basic block: 585:29-608:70"
