"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Arxiv_Downloader.py","call function: 77:16-77:45","call in function: get_name@64-117","callee=bs4.BeautifulSoup.find_all","basic block: 77:35-77:45"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Arxiv_Downloader.py","call function: 78:16-78:55","call in function: get_name@64-117","callee=re.search","basic block: 78:16-78:55"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Arxiv_Downloader.py","call function: 80:20-80:57","call in function: get_name@64-117","callee=bs4.BeautifulSoup.find_all","basic block: 80:39-80:57"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Arxiv_Downloader.py","call function: 88:19-88:47","call in function: get_name@64-117","callee=bs4.BeautifulSoup.find_all","basic block: 88:38-88:47"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Arxiv_Downloader.py","call function: 97:19-97:49","call in function: get_name@64-117","callee=bs4.BeautifulSoup.find_all","basic block: 97:38-97:49"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Arxiv_Downloader.py","call function: 110:17-111:46","call in function: get_name@64-117","callee=bs4.BeautifulSoup.find","basic block: 110:17-117:42"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Audio_Assistant.py","call function: 32:23-32:64","call in function: visualize_audio@27-33","callee=re.sub","basic block: 29:19-33:19"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Academic_Conversation.py","call function: 159:24-159:60","call in function: 学术对话@22-290","callee=re.sub","basic block: 155:31-161:27"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Academic_Conversation.py","call function: 159:24-159:60","call in function: get_safe_filename@155-163","callee=re.sub","basic block: 155:31-161:27"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Conversation_To_File.py","call function: 221:19-221:66","call in function: gen_file_preview@216-229","callee=re.compile","basic block: 221:51-221:66"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Conversation_To_File.py","call function: 222:24-222:56","call in function: gen_file_preview@216-229","callee=re.sub","basic block: 222:31-222:56"
"path: /home/sixsquare/codeQL/projects/gpt_academic/crazy_functions/Conversation_To_File.py","call function: 239:16-239:51","call in function: read_file_to_chat@231-253","callee=bs4.BeautifulSoup.find_all","basic block: 231:23-240:23"
