"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/gradio/gradio/cli/commands/components/_create_utils.py","call function: 259:20-261:5","call in function: _get_js_dependency_version@258-262","callee=json.loads","basic block: 258:32-262:34"
"path: /home/sixsquare/codeQL/projects/gradio/gradio/cli/commands/components/_create_utils.py","call function: 319:27-319:81","call in function: _create_frontend@289-331","callee=json.loads","basic block: 290:5-331:5"
"path: /home/sixsquare/codeQL/projects/gradio/js/_website/generate_jsons/src/docs/__init__.py","call function: 250:36-250:47","call in function: organize_docs@164-277","callee=json.load","basic block: 249:22-251:57"
"path: /home/sixsquare/codeQL/projects/gradio/gradio/components/annotated_image.py","call function: 166:33-166:56","call in function: postprocess@141-231","callee=PIL.Image.open","basic block: 165:29-166:20"
"path: /home/sixsquare/codeQL/projects/gradio/scripts/benchmark_queue.py","call function: 78:19-78:45","call in function: get_prediction@70-86","callee=json.loads","basic block: 77:9-79:40"
"path: /home/sixsquare/codeQL/projects/gradio/gradio/components/audio.py","call function: 444:33-444:44","call in function: _process_subtitle_file@434-456","callee=json.load","basic block: 444:43-444:44"
"path: /home/sixsquare/codeQL/projects/gradio/gradio/components/base.py","call function: 371:46-371:64","call in function: read_from_flag@366-372","callee=json.loads","basic block: 371:20-371:65"
"path: /home/sixsquare/codeQL/projects/gradio/gradio/themes/base.py","call function: 142:34-142:73","call in function: load@135-142","callee=json.load","basic block: 135:14-142:74"
"path: /home/sixsquare/codeQL/projects/gradio/client/python/gradio_client/compatibility.py","call function: 106:26-106:69","call in function: _predict@80-125","callee=json.loads","basic block: 99:28-106:22"
"path: /home/sixsquare/codeQL/projects/gradio/client/python/gradio_client/compatibility.py","call function: 106:26-106:69","call in function: make_predict@79-127","callee=json.loads","basic block: 99:28-106:22"
"path: /home/sixsquare/codeQL/projects/gradio/gradio/components/dataframe.py","call function: 336:25-336:42","call in function: get_headers@310-343","callee=pandas.read_csv","basic block: 336:20-336:51"
"path: /home/sixsquare/codeQL/projects/gradio/gradio/components/dataframe.py","call function: 367:25-367:42","call in function: get_cell_data@346-394","callee=pandas.read_csv","basic block: 367:25-367:21"
"path: /home/sixsquare/codeQL/projects/gradio/client/python/gradio_client/client.py","call function: 276:40-276:59","call in function: stream_messages@248-314","callee=json.loads","basic block: 276:40-276:59"
"path: /home/sixsquare/codeQL/projects/gradio/client/python/gradio_client/client.py","call function: 968:26-968:52","call in function: _get_config@927-977","callee=json.loads","basic block: 968:26-968:52"
