"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/grok-1/checkpoint.py","call function: 50:20-50:48","call in function: copy_to_shm@43-56","callee=tempfile.mkstemp","basic block: 49:15-52:14"
"path: /home/sixsquare/codeQL/projects/grok-1/checkpoint.py","call function: 52:9-52:39","call in function: copy_to_shm@43-56","callee=shutil.copyfile","basic block: 52:25-52:39"
"path: /home/sixsquare/codeQL/projects/grok-1/checkpoint.py","call function: 55:9-55:27","call in function: copy_to_shm@43-56","callee=os.remove","basic block: 55:9-56:20"
"path: /home/sixsquare/codeQL/projects/grok-1/checkpoint.py","call function: 62:20-62:48","call in function: copy_from_shm@60-68","callee=tempfile.mkstemp","basic block: 60:19-64:22"
"path: /home/sixsquare/codeQL/projects/grok-1/checkpoint.py","call function: 65:9-65:39","call in function: copy_from_shm@60-68","callee=shutil.copyfile","basic block: 65:25-65:39"
"path: /home/sixsquare/codeQL/projects/grok-1/checkpoint.py","call function: 67:9-67:27","call in function: copy_from_shm@60-68","callee=os.remove","basic block: 67:9-68:20"
"path: /home/sixsquare/codeQL/projects/grok-1/checkpoint.py","call function: 73:14-73:33","call in function: fast_unpickle@71-74","callee=open","basic block: 71:19-74:33"
"path: /home/sixsquare/codeQL/projects/grok-1/checkpoint.py","call function: 79:14-79:33","call in function: fast_pickle@77-80","callee=open","basic block: 77:17-80:31"
"path: /home/sixsquare/codeQL/projects/grok-1/checkpoint.py","call function: 101:44-101:94","call in function: load_tensors@83-107","callee=os.path.join","basic block: 97:17-103:23"
"path: /home/sixsquare/codeQL/projects/grok-1/checkpoint.py","call function: 189:17-189:55","call in function: restore@180-221","callee=os.path.join","basic block: 181:5-204:29"
