"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 232:19-232:43","call in function: render@192-308","callee=os.path.dirname","basic block: 231:23-234:24"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 232:19-232:43","call in function: get_image@231-234","callee=os.path.dirname","basic block: 231:23-234:24"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 233:39-233:61","call in function: render@192-308","callee=os.path.join","basic block: 231:23-234:24"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 233:39-233:61","call in function: get_image@231-234","callee=os.path.join","basic block: 231:23-234:24"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 237:19-237:43","call in function: render@192-308","callee=os.path.dirname","basic block: 236:22-239:23"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 237:19-237:43","call in function: get_font@236-239","callee=os.path.dirname","basic block: 236:22-239:23"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 238:37-238:59","call in function: render@192-308","callee=os.path.join","basic block: 236:22-239:23"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 238:37-238:59","call in function: get_font@236-239","callee=os.path.join","basic block: 236:22-239:23"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 242:13-242:49","call in function: render@192-308","callee=os.path.join","basic block: 229:9-292:21"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 254:17-257:17","call in function: render@192-308","callee=os.path.join","basic block: 229:9-292:21"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 268:52-268:82","call in function: render@192-308","callee=os.path.join","basic block: 229:9-292:21"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/blackjack.py","call function: 282:31-282:67","call in function: render@192-308","callee=os.path.join","basic block: 229:9-292:21"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 197:17-197:67","call in function: _render_gui@177-266","callee=os.path.join","basic block: 197:17-202:27"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 197:27-197:48","call in function: _render_gui@177-266","callee=os.path.dirname","basic block: 197:17-202:27"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 198:17-198:70","call in function: _render_gui@177-266","callee=os.path.join","basic block: 197:17-202:27"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 198:27-198:48","call in function: _render_gui@177-266","callee=os.path.dirname","basic block: 197:17-202:27"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 199:17-199:69","call in function: _render_gui@177-266","callee=os.path.join","basic block: 197:17-202:27"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 199:27-199:48","call in function: _render_gui@177-266","callee=os.path.dirname","basic block: 197:17-202:27"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 200:17-200:69","call in function: _render_gui@177-266","callee=os.path.join","basic block: 197:17-202:27"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 200:27-200:48","call in function: _render_gui@177-266","callee=os.path.dirname","basic block: 197:17-202:27"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 207:25-207:74","call in function: _render_gui@177-266","callee=os.path.join","basic block: 207:25-208:26"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 207:35-207:56","call in function: _render_gui@177-266","callee=os.path.dirname","basic block: 207:25-208:26"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 212:25-212:75","call in function: _render_gui@177-266","callee=os.path.join","basic block: 212:25-213:25"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 212:35-212:56","call in function: _render_gui@177-266","callee=os.path.dirname","basic block: 212:25-213:25"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 218:17-218:73","call in function: _render_gui@177-266","callee=os.path.join","basic block: 218:17-221:32"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 218:27-218:48","call in function: _render_gui@177-266","callee=os.path.dirname","basic block: 218:17-221:32"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 219:17-219:73","call in function: _render_gui@177-266","callee=os.path.join","basic block: 218:17-221:32"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 219:27-219:48","call in function: _render_gui@177-266","callee=os.path.dirname","basic block: 218:17-221:32"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 227:17-227:81","call in function: _render_gui@177-266","callee=os.path.join","basic block: 227:17-230:31"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 227:27-227:48","call in function: _render_gui@177-266","callee=os.path.dirname","basic block: 227:17-230:31"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/toy_text/cliffwalking.py","call function: 228:17-228:81","call in function: _render_gui@177-266","callee=os.path.join","basic block: 227:17-230:31"
