"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/gym/gym/envs/mujoco/mujoco_env.py","call function: 42:12-42:37","call in function: __init__@31-75","callee=str.startswith","basic block: 32:9-42:37"
"path: /home/sixsquare/codeQL/projects/gym/tests/vector/test_async_vector_env.py","call function: 191:15-193:9","call in function: test_reset_out_of_order_async_vector_env@185-217","callee=re.escape","basic block: 185:46-217:33"
"path: /home/sixsquare/codeQL/projects/gym/tests/vector/test_async_vector_env.py","call function: 202:15-204:9","call in function: test_reset_out_of_order_async_vector_env@185-217","callee=re.escape","basic block: 185:46-217:33"
"path: /home/sixsquare/codeQL/projects/gym/tests/vector/test_async_vector_env.py","call function: 213:15-215:9","call in function: test_reset_out_of_order_async_vector_env@185-217","callee=re.escape","basic block: 185:46-217:33"
"path: /home/sixsquare/codeQL/projects/gym/tests/vector/test_async_vector_env.py","call function: 227:15-227:86","call in function: test_step_out_of_order_async_vector_env@221-252","callee=re.escape","basic block: 221:45-252:33"
"path: /home/sixsquare/codeQL/projects/gym/tests/vector/test_async_vector_env.py","call function: 238:15-240:9","call in function: test_step_out_of_order_async_vector_env@221-252","callee=re.escape","basic block: 221:45-252:33"
"path: /home/sixsquare/codeQL/projects/gym/tests/vector/test_async_vector_env.py","call function: 248:15-250:9","call in function: test_step_out_of_order_async_vector_env@221-252","callee=re.escape","basic block: 221:45-252:33"
"path: /home/sixsquare/codeQL/projects/gym/tests/spaces/test_box.py","call function: 71:19-73:13","call in function: test_low_high_values@60-75","callee=re.escape","basic block: 69:14-75:38"
"path: /home/sixsquare/codeQL/projects/gym/tests/spaces/test_box.py","call function: 144:41-144:58","call in function: test_init_errors@142-145","callee=re.escape","basic block: 142:22-145:41"
"path: /home/sixsquare/codeQL/projects/gym/tests/spaces/test_box.py","call function: 291:26-291:75","call in function: test_get_inf@286-306","callee=re.escape","basic block: 289:5-295:42"
"path: /home/sixsquare/codeQL/projects/gym/tests/spaces/test_box.py","call function: 298:26-298:75","call in function: test_get_inf@286-306","callee=re.escape","basic block: 296:5-306:33"
"path: /home/sixsquare/codeQL/projects/gym/tests/spaces/test_box.py","call function: 304:15-304:87","call in function: test_get_inf@286-306","callee=re.escape","basic block: 296:5-306:33"
"path: /home/sixsquare/codeQL/projects/gym/tests/spaces/test_box.py","call function: 314:15-314:79","call in function: test_sample_mask@309-316","callee=re.escape","basic block: 310:5-316:61"
"path: /home/sixsquare/codeQL/projects/gym/tests/utils/test_env_checker.py","call function: 113:53-113:70","call in function: test_check_reset_seed@109-118","callee=re.escape","basic block: 112:14-115:59"
"path: /home/sixsquare/codeQL/projects/gym/tests/utils/test_env_checker.py","call function: 117:44-117:61","call in function: test_check_reset_seed@109-118","callee=re.escape","basic block: 117:14-118:59"
"path: /home/sixsquare/codeQL/projects/gym/tests/utils/test_env_checker.py","call function: 181:40-181:57","call in function: test_check_reset_return_type@178-182","callee=re.escape","basic block: 178:34-182:62"
"path: /home/sixsquare/codeQL/projects/gym/tests/utils/test_env_checker.py","call function: 200:56-200:73","call in function: test_check_reset_return_info_deprecation@197-201","callee=re.escape","basic block: 197:46-201:74"
"path: /home/sixsquare/codeQL/projects/gym/tests/utils/test_env_checker.py","call function: 215:49-215:66","call in function: test_check_seed_deprecation@204-228","callee=re.escape","basic block: 205:5-218:33"
"path: /home/sixsquare/codeQL/projects/gym/tests/utils/test_env_checker.py","call function: 235:15-237:9","call in function: test_check_reset_options@231-239","callee=re.escape","basic block: 232:5-239:74"
"path: /home/sixsquare/codeQL/projects/gym/tests/utils/test_env_checker.py","call function: 261:50-261:67","call in function: test_check_env@259-262","callee=re.escape","basic block: 259:20-262:22"
