"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 24:18-24:42","call in function: run@23-43","callee=input","basic block: 23:13-43:9"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 25:15-25:36","call in function: run@23-43","callee=input","basic block: 23:13-43:9"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 26:19-26:44","call in function: run@23-43","callee=input","basic block: 23:13-43:9"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 27:21-27:49","call in function: run@23-43","callee=input","basic block: 23:13-43:9"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 28:20-28:47","call in function: run@23-43","callee=input","basic block: 23:13-43:9"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 29:17-29:41","call in function: run@23-43","callee=input","basic block: 23:13-43:9"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 55:23-55:51","call in function: run@54-56","callee=input","basic block: 54:13-56:50"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 73:23-73:52","call in function: run@72-79","callee=input","basic block: 72:13-79:9"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 74:21-74:48","call in function: run@72-79","callee=input","basic block: 72:13-79:9"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 75:23-75:52","call in function: run@72-79","callee=input","basic block: 72:13-79:9"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/ddos.py","call function: 128:15-128:36","call in function: run@127-132","callee=input","basic block: 127:13-130:14"
"path: /home/sixsquare/codeQL/projects/hackingtool/core.py","call function: 71:24-71:51","call in function: show_options@63-90","callee=input","basic block: 70:33-73:44"
"path: /home/sixsquare/codeQL/projects/hackingtool/core.py","call function: 71:24-71:51","call in function: show_options@63-90","callee=input","basic block: 70:73-73:44"
"path: /home/sixsquare/codeQL/projects/hackingtool/core.py","call function: 77:21-77:57","call in function: show_options@63-90","callee=input","basic block: 77:21-77:57"
"path: /home/sixsquare/codeQL/projects/hackingtool/core.py","call function: 86:13-86:49","call in function: show_options@63-90","callee=input","basic block: 84:9-86:57"
"path: /home/sixsquare/codeQL/projects/hackingtool/core.py","call function: 89:13-89:49","call in function: show_options@63-90","callee=input","basic block: 87:9-89:57"
"path: /home/sixsquare/codeQL/projects/hackingtool/core.py","call function: 159:22-159:56","call in function: show_options@153-176","callee=input","basic block: 158:33-161:40"
"path: /home/sixsquare/codeQL/projects/hackingtool/core.py","call function: 159:22-159:56","call in function: show_options@153-176","callee=input","basic block: 158:73-161:40"
"path: /home/sixsquare/codeQL/projects/hackingtool/core.py","call function: 165:21-165:57","call in function: show_options@153-176","callee=input","basic block: 165:21-165:57"
"path: /home/sixsquare/codeQL/projects/hackingtool/core.py","call function: 172:13-172:49","call in function: show_options@153-176","callee=input","basic block: 170:9-172:57"
"path: /home/sixsquare/codeQL/projects/hackingtool/core.py","call function: 175:13-175:49","call in function: show_options@153-176","callee=input","basic block: 173:9-175:57"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/other_tools.py","call function: 27:16-27:38","call in function: run@26-29","callee=input","basic block: 26:13-29:67"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/information_gathering_tools.py","call function: 48:18-48:46","call in function: run@46-49","callee=input","basic block: 46:13-49:61"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/information_gathering_tools.py","call function: 60:16-60:65","call in function: run@58-62","callee=input","basic block: 58:13-62:18"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/information_gathering_tools.py","call function: 145:16-145:57","call in function: run@144-147","callee=input","basic block: 144:13-147:63"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/information_gathering_tools.py","call function: 188:14-188:34","call in function: run@187-190","callee=input","basic block: 187:13-190:67"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/information_gathering_tools.py","call function: 200:18-200:56","call in function: run@199-202","callee=input","basic block: 199:13-202:64"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/reverse_engineering.py","call function: 29:18-29:47","call in function: run@28-30","callee=input","basic block: 28:13-30:52"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/others/socialmedia.py","call function: 20:16-20:42","call in function: run@19-25","callee=input","basic block: 19:13-25:28"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/others/socialmedia.py","call function: 21:20-21:51","call in function: run@19-25","callee=input","basic block: 19:13-25:28"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/others/socialmedia.py","call function: 50:16-50:42","call in function: run@49-56","callee=input","basic block: 49:13-56:80"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/others/socialmedia.py","call function: 51:20-51:46","call in function: run@49-56","callee=input","basic block: 49:13-56:80"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/others/socialmedia_finder.py","call function: 62:16-62:42","call in function: run@61-64","callee=input","basic block: 61:13-64:66"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/others/socialmedia_finder.py","call function: 75:16-76:97","call in function: run@74-77","callee=input","basic block: 74:13-77:57"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/steganography.py","call function: 14:22-18:18","call in function: run@13-35","callee=input","basic block: 13:13-20:29"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/steganography.py","call function: 28:25-28:77","call in function: run@13-35","callee=input","basic block: 28:25-31:80"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/steganography.py","call function: 29:31-29:74","call in function: run@13-35","callee=input","basic block: 28:25-31:80"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/steganography.py","call function: 34:25-34:69","call in function: run@13-35","callee=input","basic block: 34:25-35:69"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/steganography.py","call function: 46:20-46:45","call in function: run@45-48","callee=input","basic block: 45:13-48:59"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/steganography.py","call function: 47:20-47:54","call in function: run@45-48","callee=input","basic block: 45:13-48:59"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/webattack.py","call function: 97:18-97:39","call in function: run@96-98","callee=input","basic block: 96:13-98:48"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/xss_attack.py","call function: 48:9-48:40","call in function: after_install@42-48","callee=input","basic block: 42:23-48:40"
"path: /home/sixsquare/codeQL/projects/hackingtool/tools/xss_attack.py","call function: 87:19-87:44","call in function: run@86-89","callee=input","basic block: 86:13-89:63"
