"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/callbacks/backup_and_restore.py","call function: 150:37-150:56","call in function: _load_model@130-152","callee=json.loads","basic block: 149:18-152:37"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/datasets/boston_housing.py","call function: 56:10-56:41","call in function: load_data@8-70","callee=numpy.load","basic block: 45:5-70:47"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/datasets/california_housing.py","call function: 81:10-81:41","call in function: load_data@10-104","callee=numpy.load","basic block: 70:5-85:25"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/metrics/confusion_metrics_test.py","call function: 1186:42-1186:75","call in function: test_config@1161-1204","callee=json.loads","basic block: 1161:21-1204:68"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/metrics/confusion_metrics_test.py","call function: 1224:42-1224:75","call in function: test_config_manual_thresholds@1206-1238","callee=json.loads","basic block: 1206:39-1238:68"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/backend/jax/core_test.py","call function: 59:26-59:54","call in function: test_model_saving@55-61","callee=keras.models.load_model","basic block: 55:27-61:63"
"path: /home/sixsquare/codeQL/projects/keras/guides/distributed_training_with_tensorflow.py","call function: 203:16-203:57","call in function: make_or_restore_model@193-205","callee=keras.models.load_model","basic block: 201:29-203:57"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/dtype_policies/dtype_policy_test.py","call function: 197:29-197:42","call in function: test_python_serialization@178-215","callee=pickle.load","basic block: 178:35-215:78"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/dtype_policies/dtype_policy_test.py","call function: 214:29-214:42","call in function: test_python_serialization@178-215","callee=pickle.load","basic block: 178:35-215:78"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/dtype_policies/dtype_policy_test.py","call function: 476:29-476:42","call in function: test_python_serialization@450-479","callee=pickle.load","basic block: 472:20-478:27"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/saving/file_editor.py","call function: 88:27-88:49","call in function: __init__@67-109","callee=json.loads","basic block: 78:18-89:25"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/saving/file_editor.py","call function: 89:29-89:53","call in function: __init__@67-109","callee=json.loads","basic block: 78:18-89:25"
"path: /home/sixsquare/codeQL/projects/keras/keras/src/utils/image_dataset_utils.py","call function: 634:15-634:34","call in function: _load_image_grain@610-681","callee=PIL.Image.open","basic block: 634:15-634:11"
