"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/006b3990db50_add_unique_constraints.py","call function: 39:9-39:16","call in function: upgrade@21-39","callee=print","basic block: 38:5-39:16"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/006b3990db50_add_unique_constraints.py","call function: 62:9-62:16","call in function: downgrade@44-62","callee=print","basic block: 61:5-62:16"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/0882f9657f22_encrypt_existing_mcp_auth_settings_.py","call function: 64:47-64:76","call in function: upgrade@25-72","callee=json.dumps","basic block: 64:58-64:76"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/0882f9657f22_encrypt_existing_mcp_auth_settings_.py","call function: 68:21-68:98","call in function: upgrade@25-72","callee=print","basic block: 68:21-68:98"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/0882f9657f22_encrypt_existing_mcp_auth_settings_.py","call function: 72:9-72:97","call in function: upgrade@25-72","callee=print","basic block: 70:5-72:97"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/0882f9657f22_encrypt_existing_mcp_auth_settings_.py","call function: 114:47-114:76","call in function: downgrade@75-122","callee=json.dumps","basic block: 114:58-114:76"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/0882f9657f22_encrypt_existing_mcp_auth_settings_.py","call function: 118:21-118:98","call in function: downgrade@75-122","callee=print","basic block: 118:21-118:98"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/0882f9657f22_encrypt_existing_mcp_auth_settings_.py","call function: 122:9-122:97","call in function: downgrade@75-122","callee=print","basic block: 120:5-122:97"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/1cb603706752_modify_uniqueness_constraint_on_file_.py","call function: 54:12-54:34","call in function: _escape_like@52-54","callee=str.replace","basic block: 52:18-54:74"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/1cb603706752_modify_uniqueness_constraint_on_file_.py","call function: 60:14-60:36","call in function: _like_for_suffixes@57-63","callee=str.replace","basic block: 60:14-61:32"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/2ac71eb9c3ae_adds_credential_table.py","call function: 41:9-41:16","call in function: upgrade@22-41","callee=print","basic block: 40:5-41:16"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/2ac71eb9c3ae_adds_credential_table.py","call function: 51:9-51:16","call in function: downgrade@46-51","callee=print","basic block: 50:5-51:16"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/67cc006d50bf_add_profile_image_column.py","call function: 39:9-39:16","call in function: upgrade@22-39","callee=print","basic block: 38:5-39:16"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/67cc006d50bf_add_profile_image_column.py","call function: 54:9-54:16","call in function: downgrade@43-54","callee=print","basic block: 53:5-54:16"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/7843803a87b5_store_updates.py","call function: 52:9-52:16","call in function: downgrade@43-52","callee=print","basic block: 51:5-52:16"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/7d2162acc8b2_adds_updated_at_and_folder_cols.py","call function: 34:9-34:16","call in function: upgrade@22-43","callee=print","basic block: 33:5-34:16"
"path: /home/sixsquare/codeQL/projects/langflow/src/backend/base/langflow/alembic/versions/7d2162acc8b2_adds_updated_at_and_folder_cols.py","call function: 43:9-43:16","call in function: upgrade@22-43","callee=print","basic block: 42:5-43:16"
