"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/protocols/llama-index-protocols-ag-ui/llama_index/protocols/ag_ui/agent.py","call function: 129:25-129:41","call in function: chat@115-238","callee=json.loads","basic block: 129:25-130:43"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/graph_stores/llama-index-graph-stores-neptune/llama_index/graph_stores/neptune/analytics.py","call function: 40:20-40:69","call in function: query@30-49","callee=json.loads","basic block: 40:20-40:69"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/graph_stores/llama-index-graph-stores-neptune/llama_index/graph_stores/neptune/analytics_property_graph.py","call function: 64:20-64:69","call in function: structured_query@37-73","callee=json.loads","basic block: 64:20-64:69"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/indices/llama-index-indices-managed-dashscope/llama_index/indices/managed/dashscope/api_utils.py","call function: 48:30-48:62","call in function: get_pipeline_create@30-73","callee=json.loads","basic block: 45:9-51:9"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/indices/llama-index-indices-managed-dashscope/llama_index/indices/managed/dashscope/api_utils.py","call function: 93:30-93:62","call in function: get_doc_insert@76-108","callee=json.loads","basic block: 90:9-96:9"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/vector_stores/llama-index-vector-stores-azureaisearch/llama_index/vector_stores/azureaisearch/azureaisearch_utils.py","call function: 28:16-28:39","call in function: create_node_from_result@13-49","callee=json.loads","basic block: 28:16-28:39"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/agent/llama-index-agent-azure/llama_index/agent/azure_foundry_agent/base.py","call function: 226:43-226:63","call in function: take_step@146-283","callee=json.loads","basic block: 226:54-226:63"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/tools/llama-index-tools-openapi/llama_index/tools/openapi/base.py","call function: 36:20-36:43","call in function: __init__@22-43","callee=yaml.safe_load","basic block: 35:24-43:17"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/storage/kvstore/llama-index-storage-kvstore-s3/llama_index/storage/kvstore/s3/base.py","call function: 110:16-110:31","call in function: get@95-110","callee=json.loads","basic block: 106:13-110:31"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/storage/kvstore/llama-index-storage-kvstore-s3/llama_index/storage/kvstore/s3/base.py","call function: 139:21-139:36","call in function: get_all@125-141","callee=json.loads","basic block: 135:13-140:35"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/readers/llama-index-readers-stackoverflow/llama_index/readers/stackoverflow/base.py","call function: 109:36-109:55","call in function: load_data@94-158","callee=json.loads","basic block: 109:47-109:55"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/llms/llama-index-llms-zhipuai/llama_index/llms/zhipuai/base.py","call function: 236:33-236:72","call in function: get_tool_calls_from_response@215-240","callee=json.loads","basic block: 231:13-238:13"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/readers/llama-index-readers-gcs/llama_index/readers/gcs/base.py","call function: 106:21-106:61","call in function: _get_gcsfs@83-121","callee=json.loads","basic block: 106:21-106:61"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/storage/kvstore/llama-index-storage-kvstore-duckdb/llama_index/storage/kvstore/duckdb/base.py","call function: 277:16-277:40","call in function: get@258-277","callee=json.loads","basic block: 277:16-277:40"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/storage/kvstore/llama-index-storage-kvstore-duckdb/llama_index/storage/kvstore/duckdb/base.py","call function: 306:29-306:52","call in function: get_all@294-306","callee=json.loads","basic block: 306:58-306:52"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/storage/kvstore/llama-index-storage-kvstore-duckdb/llama_index/storage/kvstore/duckdb/base.py","call function: 306:29-306:52","call in function: dictcomp@306-306","callee=json.loads","basic block: 306:58-306:52"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/readers/llama-index-readers-jaguar/llama_index/readers/jaguar/base.py","call function: 213:18-213:31","call in function: _load_store_data@184-230","callee=json.loads","basic block: 212:13-220:40"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/readers/llama-index-readers-jaguar/llama_index/readers/jaguar/base.py","call function: 213:18-213:31","call in function: _load_store_data@184-230","callee=json.loads","basic block: 212:13-228:28"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/readers/llama-index-readers-jaguar/llama_index/readers/jaguar/base.py","call function: 249:20-249:34","call in function: run@232-251","callee=json.loads","basic block: 249:31-249:34"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/voice_agents/llama-index-voice-agents-elevenlabs/llama_index/voice_agents/elevenlabs/base.py","call function: 173:31-173:62","call in function: _run@140-185","callee=json.loads","basic block: 173:31-173:62"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/vector_stores/llama-index-vector-stores-alibabacloud-opensearch/llama_index/vector_stores/alibabacloud_opensearch/base.py","call function: 301:25-301:49","call in function: adelete@289-309","callee=json.loads","basic block: 289:23-303:18"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/vector_stores/llama-index-vector-stores-alibabacloud-opensearch/llama_index/vector_stores/alibabacloud_opensearch/base.py","call function: 349:25-349:49","call in function: aquery@336-392","callee=json.loads","basic block: 347:19-353:18"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/multi_modal_llms/llama-index-multi-modal-llms-nvidia/llama_index/multi_modal_llms/nvidia/base.py","call function: 475:40-475:59","call in function: astream_complete@442-489","callee=json.loads","basic block: 475:40-487:33"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/multi_modal_llms/llama-index-multi-modal-llms-nvidia/llama_index/multi_modal_llms/nvidia/base.py","call function: 475:40-475:59","call in function: gen@462-487","callee=json.loads","basic block: 475:40-487:33"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/multi_modal_llms/llama-index-multi-modal-llms-nvidia/llama_index/multi_modal_llms/nvidia/base.py","call function: 552:40-552:64","call in function: astream_chat@523-572","callee=json.loads","basic block: 552:40-570:33"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/multi_modal_llms/llama-index-multi-modal-llms-nvidia/llama_index/multi_modal_llms/nvidia/base.py","call function: 552:40-552:64","call in function: gen@536-570","callee=json.loads","basic block: 552:40-570:33"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/readers/llama-index-readers-zendesk/llama_index/readers/zendesk/base.py","call function: 88:25-88:49","call in function: get_articles_page@78-94","callee=json.loads","basic block: 86:20-94:61"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/retrievers/llama-index-retrievers-mongodb-atlas-bm25-retriever/llama_index/retrievers/mongodb_atlas_bm25_retriever/base.py","call function: 86:28-88:13","call in function: _retrieve@64-107","callee=json.loads","basic block: 83:13-93:44"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/llms/llama-index-llms-dashscope/llama_index/llms/dashscope/base.py","call function: 354:17-354:62","call in function: get_tool_calls_from_response@336-366","callee=json.loads","basic block: 354:17-354:62"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/readers/llama-index-readers-json/llama_index/readers/json/base.py","call function: 104:38-104:61","call in function: load_data@96-145","callee=json.loads","basic block: 103:21-104:62"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/vector_stores/llama-index-vector-stores-db2/llama_index/vector_stores/db2/base.py","call function: 376:25-376:80","call in function: query@346-406","callee=json.loads","basic block: 376:36-377:68"
"path: /home/sixsquare/codeQL/projects/llama_index/llama-index-integrations/vector_stores/llama-index-vector-stores-db2/llama_index/vector_stores/db2/base.py","call function: 377:24-377:79","call in function: query@346-406","callee=json.loads","basic block: 377:35-379:29"
