"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/run/__main__.py","call function: 251:27-251:74","call in function: run@126-352","callee=os.path.abspath","basic block: 249:22-252:33"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/run/__main__.py","call function: 251:43-251:73","call in function: run@126-352","callee=os.path.join","basic block: 249:22-252:33"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 29:17-29:79","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 25:5-38:10"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 29:30-29:54","call in function: generate_mount_points@24-144","callee=os.path.dirname","basic block: 25:5-38:10"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 30:28-30:83","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 25:5-38:10"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 31:16-31:62","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 25:5-38:10"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 35:17-35:88","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 25:5-38:10"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 43:27-43:64","call in function: generate_mount_points@24-144","callee=os.path.normpath","basic block: 40:9-74:24"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 45:32-45:68","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 40:9-74:24"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 55:27-55:64","call in function: generate_mount_points@24-144","callee=os.path.normpath","basic block: 52:9-74:24"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 57:32-57:89","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 52:9-74:24"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 63:25-63:98","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 40:9-74:24"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 67:27-67:57","call in function: generate_mount_points@24-144","callee=os.path.normpath","basic block: 40:9-74:24"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 69:32-69:83","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 40:9-74:24"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 84:24-86:13","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 75:12-112:13"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 90:31-90:56","call in function: generate_mount_points@24-144","callee=os.path.normpath","basic block: 75:12-112:13"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 92:36-94:21","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 75:12-112:13"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 99:24-101:13","call in function: generate_mount_points@24-144","callee=os.path.join","basic block: 75:12-112:13"
"path: /home/sixsquare/codeQL/projects/localstack/localstack-core/localstack/dev/kubernetes/__main__.py","call function: 105:31-105:56","call in function: generate_mount_points@24-144","callee=os.path.normpath","basic block: 75:12-112:13"
