"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/config.py","call function: 246:34-246:65","call in function: update_window_config@242-248","callee=ast.literal_eval","basic block: 246:34-246:30"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/config.py","call function: 254:50-254:87","call in function: update_camera_config@251-265","callee=ast.literal_eval","basic block: 254:50-254:87"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/config.py","call function: 339:20-339:39","call in function: load_yaml@336-341","callee=yaml.safe_load","basic block: 339:35-339:39"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/config.py","call function: 354:16-354:54","call in function: get_resolution_from_args@350-361","callee=ast.literal_eval","basic block: 354:16-354:54"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/config.py","call function: 356:16-356:54","call in function: get_resolution_from_args@350-361","callee=ast.literal_eval","basic block: 356:16-356:54"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/config.py","call function: 358:16-358:55","call in function: get_resolution_from_args@350-361","callee=ast.literal_eval","basic block: 358:16-358:55"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/config.py","call function: 360:16-360:53","call in function: get_resolution_from_args@350-361","callee=ast.literal_eval","basic block: 360:16-360:53"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/mobject/types/image_mobject.py","call function: 38:22-38:48","call in function: __init__@30-39","callee=PIL.Image.open","basic block: 31:9-39:78"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/mobject/mobject.py","call function: 654:21-654:38","call in function: deserialize@653-655","callee=pickle.loads","basic block: 653:21-655:19"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/utils/shaders.py","call function: 25:10-25:25","call in function: image_path_to_texture@24-30","callee=PIL.Image.open","basic block: 24:27-30:5"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/mobject/svg/svg_mobject.py","call function: 131:39-131:63","call in function: mobjects_from_svg_string@130-141","callee=xml.etree.ElementTree.fromstring","basic block: 130:34-141:42"
"path: /home/sixsquare/codeQL/projects/manim/manimlib/utils/tex_file_writing.py","call function: 23:26-23:59","call in function: get_tex_template_config@19-27","callee=yaml.safe_load","basic block: 19:29-24:33"
