"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown/src/markitdown/__main__.py","call function: 206:14-206:53","call in function: _handle_output@203-214","callee=open","basic block: 206:14-207:36"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown/src/markitdown/_markitdown.py","call function: 326:14-326:29","call in function: convert_local@295-330","callee=open","basic block: 326:14-330:87"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown/tests/test_cli_vectors.py","call function: 86:10-86:31","call in function: test_output_to_file@66-94","callee=open","basic block: 84:5-88:51"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown/tests/test_cli_vectors.py","call function: 102:10-102:71","call in function: test_input_from_stdin_without_hints@98-124","callee=open","basic block: 98:41-119:30"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown/tests/test_cli_vectors.py","call function: 173:10-173:31","call in function: test_output_to_file_with_data_uris@152-181","callee=open","basic block: 171:5-175:51"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown/tests/test_module_vectors.py","call function: 35:10-35:31","call in function: test_guess_stream_info@28-54","callee=open","basic block: 28:28-49:9"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown/tests/test_module_vectors.py","call function: 82:10-82:71","call in function: test_convert_stream_with_hints@72-89","callee=open","basic block: 72:36-86:46"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown/tests/test_module_vectors.py","call function: 97:10-97:71","call in function: test_convert_stream_without_hints@93-102","callee=open","basic block: 93:39-99:46"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown/tests/test_module_vectors.py","call function: 147:10-147:71","call in function: test_convert_data_uri@142-159","callee=open","basic block: 142:27-156:42"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown/tests/test_module_vectors.py","call function: 191:10-191:71","call in function: test_convert_stream_keep_data_uris@181-199","callee=open","basic block: 181:40-196:46"
"path: /home/sixsquare/codeQL/projects/markitdown/packages/markitdown-sample-plugin/tests/test_sample_plugin.py","call function: 17:10-17:61","call in function: test_converter@15-27","callee=open","basic block: 16:5-26:43"
