"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/chat_response.py","call function: 29:16-29:66","call in function: get_answer@14-32","callee=flask.make_response","basic block: 29:63-29:66"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/chat_response.py","call function: 32:16-32:61","call in function: get_answer@14-32","callee=flask.make_response","basic block: 31:5-32:61"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/embedchain/loaders/csv.py","call function: 20:15-20:31","call in function: _get_file_content@19-32","callee=urllib.parse.urlparse","basic block: 19:27-21:40"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/dashboard.py","call function: 19:12-19:76","call in function: set_key@9-19","callee=flask.make_response","basic block: 18:5-19:76"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/dashboard.py","call function: 27:16-27:84","call in function: check_key@24-29","callee=flask.make_response","basic block: 27:16-27:84"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/dashboard.py","call function: 29:16-29:90","call in function: check_key@24-29","callee=flask.make_response","basic block: 29:16-29:90"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/dashboard.py","call function: 40:17-40:73","call in function: create_bot@34-44","callee=flask.make_response","basic block: 40:17-40:75"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/dashboard.py","call function: 44:12-44:74","call in function: create_bot@34-44","callee=flask.make_response","basic block: 41:15-44:74"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/dashboard.py","call function: 56:16-56:78","call in function: delete_bot@49-57","callee=flask.make_response","basic block: 54:9-56:78"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/dashboard.py","call function: 57:12-57:63","call in function: delete_bot@49-57","callee=flask.make_response","basic block: 57:12-57:63"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/embedchain/loaders/docs_site_loader.py","call function: 30:22-30:34","call in function: _get_child_links_recursive@26-48","callee=urllib.parse.urlparse","basic block: 30:22-35:38"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/embedchain/loaders/docs_site_loader.py","call function: 53:56-53:69","call in function: _get_all_urls@50-54","callee=urllib.parse.urlparse","basic block: 53:26-53:100"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/embedchain/loaders/docs_site_loader.py","call function: 53:56-53:69","call in function: listcomp@53-53","callee=urllib.parse.urlparse","basic block: 53:26-53:100"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/embedchain/loaders/docs_site_loader.py","call function: 53:81-53:93","call in function: _get_all_urls@50-54","callee=urllib.parse.urlparse","basic block: 53:26-53:100"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/embedchain/loaders/docs_site_loader.py","call function: 53:81-53:93","call in function: listcomp@53-53","callee=urllib.parse.urlparse","basic block: 53:26-53:100"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/embedchain/utils/misc.py","call function: 194:15-194:30","call in function: detect_datatype@170-377","callee=urllib.parse.urlparse","basic block: 194:15-194:30"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/embedchain/loaders/openapi.py","call function: 14:15-14:31","call in function: _get_file_content@13-26","callee=urllib.parse.urlparse","basic block: 13:27-15:40"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/sources.py","call function: 25:16-25:80","call in function: add_sources@14-27","callee=flask.make_response","basic block: 25:77-25:80"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/examples/full_stack/backend/routes/sources.py","call function: 27:16-27:85","call in function: add_sources@14-27","callee=flask.make_response","basic block: 26:5-27:85"
"path: /home/sixsquare/codeQL/projects/mem0/embedchain/embedchain/loaders/sitemap.py","call function: 40:12-40:35","call in function: load_data@33-79","callee=urllib.parse.urlparse","basic block: 33:19-40:63"
"path: /home/sixsquare/codeQL/projects/mem0/mem0/vector_stores/weaviate.py","call function: 60:22-60:42","call in function: __init__@32-84","callee=urllib.parse.urlparse","basic block: 60:22-61:39"
