"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/api/a2a/agent.py","call function: 39:24-39:99","call in function: invoke@33-88","callee=requests.post","basic block: 39:79-39:99"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/api/a2a/agent.py","call function: 93:20-93:75","call in function: streaming_invoke@90-108","callee=httpx.AsyncClient","basic block: 90:32-96:56"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/api/a2a/agent.py","call function: 94:24-94:95","call in function: streaming_invoke@90-108","callee=httpx.AsyncClient.stream","basic block: 90:32-96:56"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/airtable_handler/airtable_handler.py","call function: 62:20-62:53","call in function: connect@49-85","callee=requests.get","basic block: 59:15-66:19"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/airtable_handler/airtable_handler.py","call function: 71:32-71:80","call in function: connect@49-85","callee=requests.get","basic block: 71:45-71:80"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/sap_erp_handler/api.py","call function: 46:20-46:60","call in function: _request@43-55","callee=urllib.parse.urljoin","basic block: 43:18-53:27"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/sap_erp_handler/api.py","call function: 55:16-55:41","call in function: _request@43-55","callee=requests.request","basic block: 55:16-55:41"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/npm_handler/api.py","call function: 7:16-7:77","call in function: __init__@6-10","callee=requests.get","basic block: 6:18-8:19"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/npm_handler/api.py","call function: 17:24-17:79","call in function: is_connected@16-17","callee=requests.get","basic block: 17:24-17:98"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/pypi_handler/api.py","call function: 38:19-38:55","call in function: recent@23-42","callee=requests.get","basic block: 38:19-42:17"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/pypi_handler/api.py","call function: 59:19-59:55","call in function: overall@44-62","callee=requests.get","basic block: 59:19-62:17"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/pypi_handler/api.py","call function: 79:19-79:55","call in function: python_major@64-82","callee=requests.get","basic block: 79:19-82:17"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/pypi_handler/api.py","call function: 99:19-99:55","call in function: python_minor@84-102","callee=requests.get","basic block: 99:19-102:17"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/pypi_handler/api.py","call function: 119:19-119:55","call in function: system@104-122","callee=requests.get","basic block: 119:19-122:17"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/pypi_handler/api.py","call function: 149:17-149:52","call in function: is_connected@147-152","callee=requests.get","basic block: 149:51-149:52"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/lightdash_handler/api.py","call function: 8:25-8:48","call in function: __init__@7-9","callee=urllib.parse.urljoin","basic block: 7:18-9:20"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/lightdash_handler/api.py","call function: 14:20-14:60","call in function: _request@11-21","callee=urllib.parse.urljoin","basic block: 11:18-19:27"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/lightdash_handler/api.py","call function: 21:16-21:41","call in function: _request@11-21","callee=requests.request","basic block: 21:16-21:41"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/handlers/aqicn_handler/aqicn.py","call function: 12:16-12:50","call in function: make_request@10-19","callee=requests.get","basic block: 10:22-15:32"
"path: /home/sixsquare/codeQL/projects/mindsdb/mindsdb/integrations/libs/api_handler_generator.py","call function: 87:24-87:54","call in function: __init__@85-96","callee=requests.get","basic block: 87:24-90:50"
