"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/mitmproxy/mitmproxy/tools/web/app.py","call function: 922:27-922:49","call in function: __init__@911-928","callee=secrets.token_bytes","basic block: 912:9-928:9"
"path: /home/sixsquare/codeQL/projects/mitmproxy/mitmproxy/certs.py","call function: 235:19-238:5","call in function: create_ca@228-277","callee=cryptography.hazmat.primitives.asymmetric.rsa.generate_private_key","basic block: 229:5-277:28"
"path: /home/sixsquare/codeQL/projects/mitmproxy/mitmproxy/http.py","call function: 990:52-990:65","call in function: _set_multipart_form@980-992","callee=os.urandom","basic block: 984:13-991:45"
"path: /home/sixsquare/codeQL/projects/mitmproxy/release/selftest.py","call function: 39:19-39:59","call in function: make_request@34-51","callee=ssl.create_default_context","basic block: 39:53-39:59"
"path: /home/sixsquare/codeQL/projects/mitmproxy/test/mitmproxy/addons/test_clientplayback.py","call function: 86:34-86:84","call in function: test_playback@59-123","callee=ssl.create_default_context","basic block: 86:34-106:33"
"path: /home/sixsquare/codeQL/projects/mitmproxy/test/mitmproxy/proxy/layers/test_tls.py","call function: 99:20-101:9","call in function: __init__@89-132","callee=ssl.SSLContext","basic block: 100:13-109:15"
"path: /home/sixsquare/codeQL/projects/mitmproxy/mitmproxy/net/tls.py","call function: 75:5-75:50","call in function: is_supported_version@71-86","callee=OpenSSL.SSL.Context.set_cipher_list","basic block: 71:26-82:24"
"path: /home/sixsquare/codeQL/projects/mitmproxy/mitmproxy/net/tls.py","call function: 76:5-76:51","call in function: is_supported_version@71-86","callee=OpenSSL.SSL.Context.set_min_proto_version","basic block: 71:26-82:24"
"path: /home/sixsquare/codeQL/projects/mitmproxy/mitmproxy/net/tls.py","call function: 77:5-77:51","call in function: is_supported_version@71-86","callee=OpenSSL.SSL.Context.set_max_proto_version","basic block: 71:26-82:24"
"path: /home/sixsquare/codeQL/projects/mitmproxy/mitmproxy/net/tls.py","call function: 155:13-155:79","call in function: _create_ssl_context@124-163","callee=OpenSSL.SSL.Context.set_cipher_list","basic block: 155:13-155:79"
"path: /home/sixsquare/codeQL/projects/mitmproxy/test/mitmproxy/proxy/layers/test_websocket.py","call function: 51:12-51:33","call in function: masked_bytes@47-53","callee=secrets.token_bytes","basic block: 49:5-53:40"
"path: /home/sixsquare/codeQL/projects/mitmproxy/mitmproxy/tools/web/webaddons.py","call function: 28:24-28:46","call in function: __init__@26-28","callee=argon2.PasswordHasher","basic block: 26:18-28:20"
"path: /home/sixsquare/codeQL/projects/mitmproxy/mitmproxy/tools/web/webaddons.py","call function: 27:26-27:46","call in function: __init__@26-28","callee=secrets.token_hex","basic block: 26:18-28:20"
"path: /home/sixsquare/codeQL/projects/mitmproxy/mitmproxy/tools/web/webaddons.py","call function: 57:58-57:78","call in function: configure@43-57","callee=secrets.token_hex","basic block: 57:58-57:78"
