"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/models/official/legacy/detection/modeling/base_model.py","call function: 46:13-46:52","call in function: _make_filter_trainable_variables_fn@30-50","callee=re.match","basic block: 46:13-46:52"
"path: /home/sixsquare/codeQL/projects/models/official/legacy/detection/modeling/base_model.py","call function: 46:13-46:52","call in function: listcomp@44-45","callee=re.match","basic block: 46:13-46:52"
"path: /home/sixsquare/codeQL/projects/models/official/legacy/detection/modeling/base_model.py","call function: 46:13-46:52","call in function: _filter_trainable_variables@33-48","callee=re.match","basic block: 46:13-46:52"
"path: /home/sixsquare/codeQL/projects/models/official/legacy/detection/modeling/base_model.py","call function: 116:9-116:56","call in function: listcomp@113-114","callee=re.match","basic block: 116:9-116:56"
"path: /home/sixsquare/codeQL/projects/models/official/legacy/detection/modeling/base_model.py","call function: 116:9-116:56","call in function: weight_decay_loss@112-120","callee=re.match","basic block: 116:9-116:56"
"path: /home/sixsquare/codeQL/projects/models/official/nlp/metrics/bleu.py","call function: 36:30-36:75","call in function: __init__@34-38","callee=re.compile","basic block: 34:16-38:18"
"path: /home/sixsquare/codeQL/projects/models/official/nlp/metrics/bleu.py","call function: 37:30-37:75","call in function: __init__@34-38","callee=re.compile","basic block: 34:16-38:18"
"path: /home/sixsquare/codeQL/projects/models/official/nlp/metrics/bleu.py","call function: 38:22-38:71","call in function: __init__@34-38","callee=re.compile","basic block: 34:16-38:18"
"path: /home/sixsquare/codeQL/projects/models/official/projects/videoglue/tools/checkpoint_loader.py","call function: 115:23-115:57","call in function: _remap_variable_name@110-116","callee=re.sub","basic block: 114:9-115:19"
"path: /home/sixsquare/codeQL/projects/models/official/legacy/detection/modeling/checkpoint_utils.py","call function: 70:33-70:72","call in function: _build_assignment_map@32-99","callee=re.match","basic block: 70:33-70:72"
"path: /home/sixsquare/codeQL/projects/models/research/object_detection/metrics/coco_tools_test.py","call function: 100:17-100:75","call in function: testExportGroundtruthToCOCO@81-103","callee=re.compile","basic block: 81:35-103:52"
"path: /home/sixsquare/codeQL/projects/models/research/object_detection/metrics/coco_tools_test.py","call function: 126:17-126:75","call in function: testExportDetectionsToCOCO@105-129","callee=re.compile","basic block: 105:34-129:52"
"path: /home/sixsquare/codeQL/projects/models/official/legacy/transformer/compute_bleu.py","call function: 42:30-42:75","call in function: __init__@40-44","callee=re.compile","basic block: 40:16-44:18"
"path: /home/sixsquare/codeQL/projects/models/official/legacy/transformer/compute_bleu.py","call function: 43:30-43:75","call in function: __init__@40-44","callee=re.compile","basic block: 40:16-44:18"
"path: /home/sixsquare/codeQL/projects/models/official/legacy/transformer/compute_bleu.py","call function: 44:22-44:71","call in function: __init__@40-44","callee=re.compile","basic block: 40:16-44:18"
"path: /home/sixsquare/codeQL/projects/models/research/object_detection/dataset_tools/create_pet_tf_record.py","call function: 72:11-72:66","call in function: get_class_name_from_filename@62-73","callee=re.match","basic block: 62:34-73:26"
"path: /home/sixsquare/codeQL/projects/models/official/nlp/data/create_xlnet_pretraining_data.py","call function: 342:31-342:51","call in function: _is_functional_piece@341-342","callee=str.startswith","basic block: 342:31-342:51"
"path: /home/sixsquare/codeQL/projects/models/official/nlp/data/create_xlnet_pretraining_data.py","call function: 342:57-342:75","call in function: _is_functional_piece@341-342","callee=str.endswith","basic block: 342:57-342:75"
"path: /home/sixsquare/codeQL/projects/models/official/nlp/data/create_xlnet_pretraining_data.py","call function: 347:7-347:27","call in function: _is_start_piece@345-350","callee=str.startswith","basic block: 345:21-347:27"
"path: /home/sixsquare/codeQL/projects/models/research/adversarial_text/data/data_utils.py","call function: 309:22-309:46","call in function: split_by_punct@307-309","callee=re.split","basic block: 307:20-309:72"
"path: /home/sixsquare/codeQL/projects/models/research/vid2depth/dataset/dataset_loader.py","call function: 612:28-612:51","call in function: natural_keys@611-612","callee=re.split","basic block: 611:18-612:52"
"path: /home/sixsquare/codeQL/projects/models/research/cvt_text/base/embeddings.py","call function: 167:10-167:55","call in function: normalize_word@166-167","callee=re.sub","basic block: 166:20-167:55"
"path: /home/sixsquare/codeQL/projects/models/official/projects/triviaqa/evaluation.py","call function: 31:12-31:47","call in function: remove_articles@30-31","callee=re.sub","basic block: 30:23-31:47"
"path: /home/sixsquare/codeQL/projects/models/official/projects/triviaqa/evaluation.py","call function: 31:12-31:47","call in function: normalize_answer@27-47","callee=re.sub","basic block: 30:23-31:47"
"path: /home/sixsquare/codeQL/projects/models/research/object_detection/eval_util.py","call function: 403:13-403:60","call in function: _run_checkpoint_once@246-412","callee=re.search","basic block: 403:13-404:16"
"path: /home/sixsquare/codeQL/projects/models/orbit/actions/export_saved_model.py","call function: 30:6-30:32","call in function: safe_normpath@28-32","callee=str.startswith","basic block: 28:19-30:32"
"path: /home/sixsquare/codeQL/projects/models/orbit/actions/export_saved_model.py","call function: 42:24-42:66","call in function: _find_managed_files@40-45","callee=re.compile","basic block: 40:25-45:39"
"path: /home/sixsquare/codeQL/projects/models/orbit/actions/export_saved_model.py","call function: 42:39-42:58","call in function: _find_managed_files@40-45","callee=re.escape","basic block: 40:25-45:39"
"path: /home/sixsquare/codeQL/projects/models/research/attention_ocr/python/datasets/fsns.py","call function: 73:13-73:38","call in function: read_charset@59-86","callee=re.compile","basic block: 59:18-76:31"
"path: /home/sixsquare/codeQL/projects/models/research/lstm_object_detection/builders/graph_rewriter_builder.py","call function: 94:16-94:51","call in function: _get_context_from_op@92-97","callee=re.search","basic block: 92:26-95:15"
"path: /home/sixsquare/codeQL/projects/models/research/object_detection/utils/json_utils.py","call function: 25:13-25:35","call in function: FormatFloat@24-29","callee=re.compile","basic block: 24:17-29:42"
