"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/odoo/odoo/tools/xml_utils.py","call function: 236:20-236:65","call in function: load_xsd_files_from_url@207-312","callee=requests.get","basic block: 236:33-236:65"
"path: /home/sixsquare/codeQL/projects/odoo/addons/bus/websocket.py","call function: 1042:22-1042:52","call in function: _handle_public_configuration@1038-1056","callee=urllib.parse.urlparse","basic block: 1041:19-1043:51"
"path: /home/sixsquare/codeQL/projects/odoo/addons/account_edi_proxy_client/models/account_edi_proxy_user.py","call function: 111:24-116:70","call in function: _make_request@96-146","callee=requests.post","basic block: 116:17-116:70"
"path: /home/sixsquare/codeQL/projects/odoo/addons/l10n_es_edi_sii/models/account_edi_format.py","call function: 441:19-441:36","call in function: _l10n_es_edi_call_web_service_sign_common@415-566","callee=requests.Session","basic block: 438:33-447:41"
"path: /home/sixsquare/codeQL/projects/odoo/addons/l10n_sa_edi/models/account_journal.py","call function: 530:32-534:62","call in function: _l10n_sa_call_api@522-584","callee=requests.request","basic block: 531:57-534:62"
"path: /home/sixsquare/codeQL/projects/odoo/addons/l10n_jo_edi/models/account_move.py","call function: 209:24-209:92","call in function: _send_l10n_jo_edi_request@204-221","callee=requests.post","basic block: 209:57-209:92"
"path: /home/sixsquare/codeQL/projects/odoo/addons/l10n_rs_edi/models/account_move.py","call function: 132:24-132:99","call in function: _l10n_rs_edi_send@115-148","callee=requests.post","basic block: 132:42-132:99"
"path: /home/sixsquare/codeQL/projects/odoo/addons/l10n_vn_edi_viettel/models/account_move.py","call function: 24:20-24:139","call in function: _l10n_vn_edi_send_request@21-32","callee=requests.request","basic block: 24:115-24:139"
"path: /home/sixsquare/codeQL/projects/odoo/addons/l10n_tr_nilvera_einvoice/models/account_move.py","call function: 114:16-114:33","call in function: _l10n_tr_nilvera_post_series@112-135","callee=urllib.parse.urlparse","basic block: 112:38-115:39"
"path: /home/sixsquare/codeQL/projects/odoo/addons/l10n_ro_edi/models/account_move.py","call function: 163:19-163:36","call in function: _l10n_ro_edi_fetch_invoice_sent_documents@151-228","callee=requests.Session","basic block: 151:51-168:40"
"path: /home/sixsquare/codeQL/projects/odoo/addons/l10n_ro_edi/models/account_move.py","call function: 235:21-235:38","call in function: _l10n_ro_edi_fetch_invoices@231-280","callee=requests.Session","basic block: 231:37-237:28"
"path: /home/sixsquare/codeQL/projects/odoo/addons/l10n_tw_edi_ecpay/models/account_move.py","call function: 642:42-644:116","call in function: _l10n_tw_edi_generate_issue_allowance_json@631-662","callee=urllib.parse.urljoin","basic block: 642:42-642:38"
"path: /home/sixsquare/codeQL/projects/odoo/addons/website/models/assets.py","call function: 250:36-253:21","call in function: make_scss_customization@189-315","callee=requests.get","basic block: 249:47-291:55"
"path: /home/sixsquare/codeQL/projects/odoo/addons/website/models/assets.py","call function: 258:31-258:81","call in function: make_scss_customization@189-315","callee=requests.get","basic block: 255:43-274:25"
"path: /home/sixsquare/codeQL/projects/odoo/addons/website/models/assets.py","call function: 258:31-258:81","call in function: fetch_google_font@255-274","callee=requests.get","basic block: 255:43-274:25"
