"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/core/archived_server_2.py","call function: 92:25-92:41","call in function: input@82-104","callee=json.loads","basic block: 92:36-92:41"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/core/archived_server_1.py","call function: 113:33-113:48","call in function: server@11-162","callee=json.loads","basic block: 113:44-113:48"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/core/archived_server_1.py","call function: 113:33-113:48","call in function: i_test@104-145","callee=json.loads","basic block: 113:44-113:48"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/core/async_core.py","call function: 214:21-214:37","call in function: accumulate@209-276","callee=json.loads","basic block: 214:21-214:17"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/core/async_core.py","call function: 456:40-456:63","call in function: create_router@297-948","callee=json.loads","basic block: 456:40-456:63"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/core/async_core.py","call function: 456:40-456:63","call in function: websocket_endpoint@438-631","callee=json.loads","basic block: 456:40-456:63"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/core/async_core.py","call function: 456:40-456:63","call in function: receive_input@443-506","callee=json.loads","basic block: 456:40-456:63"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/core/async_core.py","call function: 471:40-471:63","call in function: create_router@297-948","callee=json.loads","basic block: 471:40-471:63"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/core/async_core.py","call function: 471:40-471:63","call in function: websocket_endpoint@438-631","callee=json.loads","basic block: 471:40-471:63"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/core/async_core.py","call function: 471:40-471:63","call in function: receive_input@443-506","callee=json.loads","basic block: 471:40-471:63"
"path: /home/sixsquare/codeQL/projects/open-interpreter/interpreter/terminal_interface/contributing_conversations.py","call function: 135:32-135:46","call in function: get_contribute_cache_contents@123-136","callee=json.load","basic block: 134:14-136:35"
