"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/agnos.py","call function: 98:18-98:84","call in function: get_target_slot_number@97-99","callee=subprocess.check_output","basic block: 98:18-99:34"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/agnos.py","call function: 267:11-267:132","call in function: swap@260-272","callee=subprocess.check_output","basic block: 266:3-268:46"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/agnos.py","call function: 281:3-281:59","call in function: flash_agnos_update@275-301","callee=os.system","basic block: 275:24-283:25"
"path: /home/sixsquare/codeQL/projects/openpilot/system/manager/build.py","call function: 38:31-38:151","call in function: build@20-87","callee=subprocess.Popen","basic block: 36:7-39:35"
"path: /home/sixsquare/codeQL/projects/openpilot/system/updated/casync/common.py","call function: 15:10-15:37","call in function: run@14-15","callee=subprocess.check_output","basic block: 14:9-15:37"
"path: /home/sixsquare/codeQL/projects/openpilot/conftest.py","call function: 83:3-83:33","call in function: tici_setup_fixture@77-83","callee=os.system","basic block: 81:3-83:33"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/esim.py","call function: 18:8-18:27","call in function: __init__@10-19","callee=shutil.which","basic block: 10:16-18:35"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/esim.py","call function: 94:12-94:125","call in function: _invoke@93-122","callee=subprocess.Popen","basic block: 93:15-96:33"
"path: /home/sixsquare/codeQL/projects/openpilot/tools/lib/framereader.py","call function: 57:9-57:51","call in function: decompress_video_data@45-66","callee=subprocess.check_output","basic block: 45:27-60:23"
"path: /home/sixsquare/codeQL/projects/openpilot/tools/lib/framereader.py","call function: 77:24-77:71","call in function: ffprobe@68-80","callee=subprocess.check_output","basic block: 77:53-77:71"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/hardware.py","call function: 109:5-109:47","call in function: reboot@108-109","callee=subprocess.check_output","basic block: 108:14-109:47"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/hardware.py","call function: 321:5-321:30","call in function: shutdown@320-321","callee=os.system","basic block: 320:16-321:30"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/hardware.py","call function: 410:5-410:41","call in function: initialize_hardware@405-453","callee=os.system","basic block: 410:5-449:22"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/hardware.py","call function: 449:13-449:77","call in function: initialize_hardware@405-453","callee=subprocess.check_output","basic block: 449:38-449:77"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/hardware.py","call function: 450:7-450:61","call in function: initialize_hardware@405-453","callee=subprocess.call","basic block: 450:24-450:61"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/hardware.py","call function: 451:7-451:59","call in function: initialize_hardware@405-453","callee=subprocess.call","basic block: 451:24-451:59"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/hardware.py","call function: 468:7-468:77","call in function: configure_modem@455-519","callee=os.system","basic block: 468:7-470:10"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/hardware.py","call function: 518:9-518:46","call in function: configure_modem@455-519","callee=os.system","basic block: 511:12-519:46"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/hardware.py","call function: 519:7-519:46","call in function: configure_modem@455-519","callee=os.system","basic block: 511:12-519:46"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/hardwared.py","call function: 133:17-133:75","call in function: hw_state_thread@99-161","callee=os.system","basic block: 133:27-133:75"
"path: /home/sixsquare/codeQL/projects/openpilot/system/manager/helpers.py","call function: 63:5-63:86","call in function: save_bootlog@53-67","callee=subprocess.call","basic block: 60:10-64:25"
"path: /home/sixsquare/codeQL/projects/openpilot/system/manager/helpers.py","call function: 63:5-63:86","call in function: fn@60-64","callee=subprocess.call","basic block: 60:10-64:25"
"path: /home/sixsquare/codeQL/projects/openpilot/system/hardware/tici/iwlist.py","call function: 7:9-7:79","call in function: scan@4-35","callee=subprocess.check_output","basic block: 7:34-7:79"
